mode,metric,n,mean,std,median,q25,q75,min,max,positive_frac,negative_frac,nonzero_frac,t_stat,t_pvalue,sign_pvalue
frozen_baseline,support_jaccard,20,0.5686696445966625,0.07237124266977862,0.5535444947209653,0.5094339622641509,0.6081632653061224,0.48148148148148145,0.7021276595744681,1.0,0.0,1.0,35.140587204253755,9.43278343282338e-19,1.9073486328125e-06
frozen_perturbed,delta_edge_mean,20,-0.04433846380362446,0.04270108304833842,-0.040355579119666585,-0.07303848714010701,-0.00976952919491457,-0.14415583678271274,0.023102403124003412,0.15,0.85,1.0,-4.643620817326133,0.00017709785638186516,0.0025768280029296875
frozen_perturbed,delta_node_mean,20,-0.041225755394546496,0.04550919088598583,-0.03735922765499476,-0.08001807979405677,0.0044366078186094254,-0.136172117814617,0.032735906213156,0.3,0.7,1.0,-4.0512076655870315,0.0006816173761651385,0.11531829833984375
frozen_perturbed,delta_near_edge_mean,20,-0.04318676695963512,0.05858817271288061,-0.03278786614873483,-0.0922481670071362,-0.010289417462529746,-0.1521644302758974,0.07896576299070723,0.2,0.8,1.0,-3.2965201739072314,0.0037949809079438094,0.01181793212890625
frozen_perturbed,delta_far_edge_mean,20,-0.04285264939837431,0.05175177587207496,-0.03720479534928621,-0.0948491938036689,-0.009711551487266372,-0.11778647275117704,0.06362905681679698,0.15,0.85,1.0,-3.70311686723915,0.0015089842495810222,0.0025768280029296875
frozen_perturbed,delta_near_minus_far,20,-0.0003341175612608119,0.08068528540899035,0.0016313129723453529,-0.061841420508604035,0.04485635059829217,-0.10249240849070759,0.18785558716267006,0.5,0.5,1.0,-0.01851910359289326,0.9854178312017078,1.0
frozen_perturbed,common_edge_delta_mean,20,-0.04433846380362445,0.042701083048338424,-0.04035557911966658,-0.07303848714010694,-0.009769529194914533,-0.14415583678271277,0.023102403124003423,0.15,0.85,1.0,-4.643620817326132,0.00017709785638186573,0.0025768280029296875
frozen_perturbed,common_edge_delta_mean_near,20,-0.0431867669596351,0.0585881727128806,-0.03278786614873481,-0.09224816700713619,-0.010289417462529716,-0.15216443027589738,0.0789657629907072,0.2,0.8,1.0,-3.29652017390723,0.003794980907943822,0.01181793212890625
frozen_perturbed,common_edge_delta_mean_far,20,-0.04285264939837431,0.05175177587207495,-0.03720479534928621,-0.0948491938036689,-0.009711551487266348,-0.117786472751177,0.06362905681679694,0.15,0.85,1.0,-3.7031168672391512,0.0015089842495810129,0.0025768280029296875
frozen_perturbed,edge_jaccard,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,inf,0.0,1.9073486328125e-06
frozen_perturbed,edges_only_baseline,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
frozen_perturbed,edges_only_perturbed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
frozen_perturbed,n_common_edges,20,40.0,0.0,40.0,40.0,40.0,40.0,40.0,1.0,0.0,1.0,inf,0.0,1.9073486328125e-06
frozen_perturbed,support_jaccard,20,0.5686696445966625,0.07237124266977862,0.5535444947209653,0.5094339622641509,0.6081632653061224,0.48148148148148145,0.7021276595744681,1.0,0.0,1.0,35.140587204253755,9.43278343282338e-19,1.9073486328125e-06
frozen_intersection,delta_edge_mean,20,0.017691597798119612,0.029088392845822084,0.018164316044480638,0.001920783446382246,0.03309811521586891,-0.03889704403548458,0.07793845172298511,0.75,0.25,1.0,2.719958817722233,0.013590716515486738,0.04138946533203125
frozen_intersection,delta_node_mean,20,0.02009087353813669,0.03435617218220099,0.01644308444378407,0.0044287245176363,0.040558914547823136,-0.04357765577624455,0.08639238628231077,0.8,0.2,1.0,2.615224927874798,0.0170226269431877,0.01181793212890625
frozen_intersection,delta_near_edge_mean,20,0.03417113922948724,0.04895308936229253,0.023725339609266614,0.002496452485235518,0.05975550505997084,-0.042451961149693546,0.15957443723581885,0.75,0.25,1.0,3.121722905790677,0.005616307445471568,0.04138946533203125
frozen_intersection,delta_far_edge_mean,20,-0.003680178211779872,0.05593182475209634,-0.014337738291802474,-0.03110005228893453,0.03340774906977645,-0.11979119397822514,0.12895501145193367,0.4,0.6,1.0,-0.2942556831402137,0.7717531613851832,0.5034446716308594
frozen_intersection,delta_near_minus_far,20,0.037851317441267116,0.07938605811588198,0.04333381526734421,-0.02266513240647823,0.08148196442232665,-0.10899025006864724,0.19401716827528245,0.65,0.35,1.0,2.13231695452237,0.046248118605096915,0.26317596435546875
frozen_intersection,common_edge_delta_mean,20,0.017691597798119615,0.029088392845822084,0.01816431604448063,0.0019207834463822507,0.033098115215868903,-0.038897044035484586,0.07793845172298511,0.75,0.25,1.0,2.7199588177222336,0.013590716515486694,0.04138946533203125
frozen_intersection,common_edge_delta_mean_near,20,0.03417113922948725,0.048953089362292534,0.02372533960926662,0.002496452485235522,0.05975550505997081,-0.04245196114969353,0.15957443723581888,0.75,0.25,1.0,3.1217229057906777,0.0056163074454715495,0.04138946533203125
frozen_intersection,common_edge_delta_mean_far,20,-0.003680178211779867,0.05593182475209635,-0.014337738291802439,-0.03110005228893453,0.033407749069776456,-0.11979119397822513,0.12895501145193367,0.4,0.6,1.0,-0.2942556831402133,0.7717531613851836,0.5034446716308594
