seed,mode,status,delta_edge_mean,delta_node_mean,delta_near_edge_mean,delta_far_edge_mean,delta_near_minus_far,common_edge_delta_mean,common_edge_delta_mean_near,common_edge_delta_mean_far,edge_jaccard,edges_only_baseline,edges_only_perturbed,n_common_edges,support_jaccard
44,free,ok,0.04856766058145805,0.047878199788091186,0.05353080372485092,0.05188443999482001,0.0016463637300309086,0.033087782483870606,0.09021490433802032,-0.04601130931418284,0.6326530612244898,9.0,9.0,31.0,0.6326530612244898
44,frozen_baseline,ok,0.07915903566063541,0.07657999646930749,0.14833291759576514,-0.049306745076034074,0.19763966267179922,0.0791590356606354,0.1483329175957651,-0.049306745076034074,1.0,0.0,0.0,40.0,0.6326530612244898
44,frozen_perturbed,ok,-0.017579529352434564,0.00562468936159774,-0.003722088855274641,-0.028917435213747317,0.025195346358472676,-0.017579529352434616,-0.0037220888552746043,-0.028917435213747355,1.0,0.0,0.0,40.0,0.6326530612244898
44,frozen_intersection,ok,0.022364848994995287,0.0380812441390453,0.10493765029684164,-0.023050191721020186,0.12798784201786184,0.022364848994995284,0.10493765029684163,-0.023050191721020206,1.0,0.0,0.0,31.0,0.6326530612244898
44,frozen_union,ok,0.043857884031746314,0.052766275165397225,0.10172573540714197,-0.07549455943000744,0.1772202948371494,0.04385788403174627,0.10172573540714197,-0.07549455943000741,1.0,0.0,0.0,49.0,0.6326530612244898
45,free,ok,0.06496953164134633,0.09840768099984301,0.06923045270284986,-0.015987968527218843,0.08521842123006867,0.10194370387246038,0.11137823766443472,-0.015987968527218843,0.5094339622641509,13.0,13.0,27.0,0.5094339622641509
45,frozen_baseline,ok,0.11566086365942416,0.12275283788185365,0.12215809092024854,-0.007786454296238587,0.12994454521648713,0.11566086365942416,0.1221580909202485,-0.007786454296238587,1.0,0.0,0.0,40.0,0.5094339622641509
45,frozen_perturbed,ok,-0.08886517173014244,-0.08438643150609923,-0.07329216348804674,-0.11778647275117704,0.044494309263130305,-0.08886517173014237,-0.07329216348804679,-0.117786472751177,1.0,0.0,0.0,40.0,0.5094339622641509
45,frozen_intersection,ok,0.025889804871834732,0.0431112001236002,0.04953592831283793,-0.030269738300547744,0.07980566661338567,0.025889804871834773,0.04953592831283794,-0.030269738300547758,1.0,0.0,0.0,27.0,0.5094339622641509
45,frozen_union,ok,0.016807957507347204,0.026782924246459894,0.0176470082921642,-0.004587837505486636,0.022234845797650837,0.016807957507347253,0.01764700829216427,-0.004587837505486636,1.0,0.0,0.0,53.0,0.5094339622641509
46,free,ok,0.0716636566020866,0.07462553437128344,0.06728256120459533,0.07748114537694145,-0.01019858417234612,0.06180541664237052,0.06368024533653471,0.059353717580771195,0.6,10.0,10.0,30.0,0.6
46,frozen_baseline,ok,0.07218836376302742,0.06960820600869833,0.07708056170316091,0.06485006685282735,0.012230494850333562,0.07218836376302748,0.0770805617031609,0.06485006685282738,1.0,0.0,0.0,40.0,0.6
46,frozen_perturbed,ok,-0.01121003054436151,0.009543759332590662,-0.012478526998281447,-0.009941534090441545,-0.0025369929078399023,-0.011210030544361477,-0.01247852699828142,-0.009941534090441528,1.0,0.0,0.0,40.0,0.6
46,frozen_intersection,ok,0.0037928027016165544,0.020962958807049417,0.04034179308507944,-0.02057319088735872,0.060914983972438164,0.00379280270161656,0.04034179308507944,-0.02057319088735869,1.0,0.0,0.0,30.0,0.6
46,frozen_union,ok,0.050254387572878034,0.050149624815086,0.07597654246905,-0.015888296445850075,0.09186483891490008,0.050254387572878007,0.07597654246905002,-0.015888296445850023,1.0,0.0,0.0,50.0,0.6
47,free,ok,0.10163659998038901,0.12117631577571808,0.07016017395558158,0.20005686065104325,-0.12989668669546167,0.08695241225611258,0.04223095097282663,0.24667191683927664,0.6666666666666666,8.0,8.0,32.0,0.6666666666666666
47,frozen_baseline,ok,0.1161710152435271,0.12358583715669663,0.09277698976632684,0.18635309167512773,-0.09357610190880089,0.11617101524352709,0.09277698976632684,0.18635309167512779,1.0,0.0,0.0,40.0,0.6666666666666666
47,frozen_perturbed,ok,0.0025316464310508047,-0.0041364701205845456,-0.023563373480985028,0.03783667337086408,-0.061400046851849105,0.0025316464310508545,-0.02356337348098499,0.03783667337086406,1.0,0.0,0.0,40.0,0.6666666666666666
47,frozen_intersection,ok,0.065822410491087,0.07032971983269592,0.05753718900773905,0.07647483811253436,-0.018937649104795312,0.06582241049108699,0.05753718900773901,0.07647483811253439,1.0,0.0,0.0,32.0,0.6666666666666666
47,frozen_union,ok,0.06660896369967273,0.07176459866593526,0.040260017797909775,0.14565580140496162,-0.10539578360705185,0.06660896369967274,0.040260017797909775,0.1456558014049617,1.0,0.0,0.0,48.0,0.6666666666666666
48,free,ok,0.0459649245607594,0.04444917670470916,0.04566130607944338,0.05245998665968901,-0.006798680580245631,-0.005680516460969245,-0.031893114422846876,0.1384887723293577,0.48148148148148145,14.0,14.0,26.0,0.48148148148148145
48,frozen_baseline,ok,0.11507243463452996,0.11258159107205307,0.11873905538051219,0.08940608941265366,0.029332965967858532,0.1150724346345299,0.11873905538051226,0.08940608941265364,1.0,0.0,0.0,40.0,0.48148148148148145
48,frozen_perturbed,ok,-0.04913679799490625,-0.04779614775144325,-0.06632902413083419,-0.009021603677740853,-0.05730742045309334,-0.04913679799490619,-0.06632902413083422,-0.009021603677740806,1.0,0.0,0.0,40.0,0.48148148148148145
48,frozen_intersection,ok,0.05769215563781817,0.06482019968647437,0.019964761383286414,0.12895501145193367,-0.10899025006864724,0.05769215563781818,0.01996476138328643,0.12895501145193367,1.0,0.0,0.0,26.0,0.48148148148148145
48,frozen_union,ok,0.014770229023363668,0.016514643610849422,0.007317044989624821,0.14147435759692545,-0.13415731260730063,0.014770229023363791,0.007317044989624865,0.14147435759692548,1.0,0.0,0.0,54.0,0.48148148148148145
49,free,ok,-0.01977179142493979,-0.01972483735579067,0.0027751727941319193,-0.0974335570684089,0.10020872986254081,-0.022119085257303592,0.006111983917739533,-0.0997545254886722,0.6,10.0,10.0,30.0,0.6
49,frozen_baseline,ok,0.04990875969192854,0.0407474855488687,0.05981681755898502,0.0157810048165119,0.04403581274247312,0.04990875969192855,0.059816817558985005,0.015781004816511915,1.0,0.0,0.0,40.0,0.6
49,frozen_perturbed,ok,-0.032701987040512664,-0.0356630044015569,-0.018959197666169214,-0.0974894226624176,0.07853022499624839,-0.03270198704051265,-0.018959197666169172,-0.09748942266241763,1.0,0.0,0.0,40.0,0.6
49,frozen_intersection,ok,0.008038018976173344,0.010703179548044048,0.024987198594926527,-0.017385750451956422,0.04237294904688295,0.00803801897617336,0.024987198594926523,-0.017385750451956384,1.0,0.0,0.0,30.0,0.6
49,frozen_union,ok,0.002515618224820243,-0.0032323640854218794,0.015805423718875083,-0.20569133451537192,0.221496758234247,0.002515618224820255,0.015805423718875083,-0.20569133451537192,1.0,0.0,0.0,50.0,0.6
50,free,ok,0.07467089539640273,0.07308376773821836,0.03480260756628009,0.12584235030931334,-0.09103974274303325,-0.005688352993424599,0.05673994331860371,-0.0729188259448397,0.5094339622641509,13.0,13.0,27.0,0.5094339622641509
50,frozen_baseline,ok,0.08565227479061438,0.08180634137541544,0.14068388469644133,-0.006067075052430551,0.14675095974887187,0.08565227479061435,0.14068388469644127,-0.006067075052430545,1.0,0.0,0.0,40.0,0.5094339622641509
50,frozen_perturbed,ok,-0.02781026170952522,-0.03257453334801236,-0.024910452283259887,-0.030710071135790495,0.005799618852530608,-0.02781026170952519,-0.024910452283259853,-0.030710071135790534,1.0,0.0,0.0,40.0,0.5094339622641509
50,frozen_intersection,ok,0.0166468264502432,0.010774125557631485,0.08860406536102526,-0.04091896467838244,0.1295230300394077,0.016646826450243197,0.08860406536102527,-0.04091896467838248,1.0,0.0,0.0,27.0,0.5094339622641509
50,frozen_union,ok,0.03585075438113555,0.04770708585198258,0.08275981157076817,-0.055361301265372254,0.13812111283614043,0.035850754381135524,0.08275981157076817,-0.05536130126537237,1.0,0.0,0.0,53.0,0.5094339622641509
