feature,variant,amp_mode,loo_improvement_pct,loo_rmse_log,loo_pearson_C,loo_spearman_C,full_improvement_pct,full_pearson_C
rawL_zS_amp_sqrtMstar_force_inner_minus_outer,rawL_zS,amp_sqrtMstar,6.7462314372448535,0.47771613833215476,0.3795279611547456,0.43060099728807627,10.048289782085043,0.43678130430658624
rawL_zS_amp_sqrtMstar_force_outer_mean,rawL_zS,amp_sqrtMstar,6.746158767995971,0.4777165105988576,0.37952723047254605,0.43060099728807627,10.048294736187788,0.43678140634394574
rawL_zS_amp_sqrtMstar_force_mid_minus_outer,rawL_zS,amp_sqrtMstar,6.7342494163706865,0.4777775192803957,0.3793952942929247,0.4296911906219928,10.04800267589599,0.436775390863074
rawL_zS_amp_logMstar_force_mid_mean,rawL_zS,amp_logMstar,6.69862328518174,0.47796002319501063,0.3771584889317209,0.40873064473799325,9.889704024943631,0.4334997801817653
rawL_zS_amp_logMstar_grad_rms,rawL_zS,amp_logMstar,6.686351339807086,0.4780228893552158,0.3770339219397641,0.4077508529437494,9.8905519509929,0.4335174073082235
rawL_zS_amp_logMstar_force_inner_minus_outer,rawL_zS,amp_logMstar,6.683716572401823,0.4780363866211134,0.37700714896732285,0.4077508529437494,9.890731183369763,0.4335211331708292
rawL_zS_amp_logMstar_force_outer_mean,rawL_zS,amp_logMstar,6.683648609627774,0.47803673477770237,0.3770065518190291,0.4077508529437494,9.890744088176351,0.43352140143298384
rawL_zS_amp_logMstar_force_mid_minus_outer,rawL_zS,amp_logMstar,6.672307731009503,0.47809483131173325,0.37689046227211676,0.4083457265331117,9.891438891132344,0.43353584453541544
norm_rawS_shape_norm_S_std,norm_rawS,shape_norm,6.4983854688672045,0.4789857923176115,0.3658066557470777,0.36967894322456474,9.480274354342002,0.42488315800691373
rawL_rawS_shape_norm_S_std,rawL_rawS,shape_norm,6.4983854688672045,0.4789857923176115,0.3658066557470777,0.36967894322456474,9.480274354342002,0.42488315800691373
norm_rawS_amp_Mstar_phi_mid_mean,norm_rawS,amp_Mstar,6.266706789244325,0.48017262525604504,0.3561547545743319,0.49498731519552097,8.85728876945514,0.4113479259003301
rawL_zS_amp_sqrtMstar_force_inner_mean,rawL_zS,amp_sqrtMstar,6.247284022857218,0.48027212331491365,0.3741527276382426,0.4324556031843233,10.042160283410633,0.436655035290396
rawL_zS_amp_logMstar_force_inner_mean,rawL_zS,amp_logMstar,6.199139755892812,0.4805187545626534,0.37213489188652993,0.412369871402327,9.919273915688334,0.43411397383091965
norm_rawS_shape_norm_force_outer_mean,norm_rawS,shape_norm,6.176838505785003,0.480632998386208,0.36045868341132153,0.38595048552182665,9.201247346755768,0.41888644433575256
norm_rawS_amp_Mstar_phi_inner_minus_outer,norm_rawS,amp_Mstar,6.046875345415524,0.4812987677170782,0.3506661127423878,0.4925378357099116,8.652249396547418,0.4067737970741564
rawL_zS_amp_logMstar_phi_mid_mean,rawL_zS,amp_logMstar,5.895979749707391,0.48207176876984004,0.3414220805238885,0.31446067710611497,7.713716344846724,0.3850043129765293
rawL_zS_amp_logMstar_phi_inner_minus_outer,rawL_zS,amp_logMstar,5.790122328541213,0.4826140503229901,0.3384710273439041,0.3105065173650599,7.607961924187277,0.3824592086537321
norm_rawS_shape_norm_force_mid_mean,norm_rawS,shape_norm,5.733746896563588,0.48290284780620424,0.35117137332012455,0.3897646750065611,8.974394542118306,0.41393314969030665
rawL_zS_amp_Mstar_phi_inner_minus_outer,rawL_zS,amp_Mstar,5.266445515623918,0.48529671793692775,0.37611571295669993,0.5084944449304521,10.830426378649047,0.4525364248837098
rawL_zS_amp_Mstar_phi_mid_mean,rawL_zS,amp_Mstar,5.182990590155787,0.48572423701024653,0.37527917044591086,0.5080745341614907,10.819574280359927,0.45232250318633654
rawL_rawS_amp_Mstar_S_std,rawL_rawS,amp_Mstar,5.141906935061361,0.48593469847859,0.32741455019418986,0.4665383605983729,7.83767284385748,0.3879625481482183
norm_rawS_amp_Mstar_S_std,norm_rawS,amp_Mstar,5.141906935061361,0.48593469847859,0.32741455019418986,0.4665383605983729,7.83767284385748,0.3879625481482183
norm_rawS_amp_Mstar_force_outer_mean,norm_rawS,amp_Mstar,5.076937576735768,0.48626752053444433,0.3206824831615116,0.34885836759688565,7.450553007675113,0.3786338267111144
norm_rawS_amp_logMstar_phi_mid_mean,norm_rawS,amp_logMstar,4.793344998115156,0.48772029561910085,0.31149835444295676,0.3341264981191497,7.107788000401598,0.37014398294702944
norm_rawS_amp_Mstar_force_mid_mean,norm_rawS,amp_Mstar,4.766653796532916,0.48785702808518594,0.31162747264901286,0.3425247134983816,7.128300271822344,0.37065840740447786
