topology,seed,n,hilbert_dim,subsystem_size,d_A,A_sites,n_edges_input,ground_energy,mean_hz_random,std_hz_random,mean_single_entropy,mean_MI,max_MI,K_gap_ratio,g2_plateau,C_modular,candidate_L,family,spearman_lambda_kappa,beta_pred_from_alpha,abs_beta_minus_pred,fit_ok,r2,A_fit,beta,B_fit
grid,1,16,65536,4,16,"1,9,11,13",24,-35.78279466650081,-0.010031520987214647,0.410721801843931,0.08110068454928832,0.010792205497482185,0.0836167701628644,0.48819880218291806,0.05817755965035169,0.9308409544056271,mi_normalized,pos,1.0,,,1,0.9572251177906196,7.787600524173739,0.9511235560932614,0.6162641231879301
grid,1,16,65536,4,16,"1,9,11,13",24,-35.78279466650081,-0.010031520987214647,0.410721801843931,0.08110068454928832,0.010792205497482185,0.0836167701628644,0.48819880218291806,0.05817755965035169,0.9308409544056271,mi_normalized,neg,1.0,,,1,-1.0658141036401503e-14,0.0784328373928925,1.248491718111482e-13,8.302585358755291
grid,2,16,65536,4,16,"4,12,13,14",24,-35.37274996356426,-0.015518124929956356,0.3880186356394826,0.08192340069378978,0.010882524769904407,0.11274745527968646,0.588674074968356,0.07286766294905749,1.1658826071849198,induced,pos,1.0,,,1,0.9785874707346891,23.517999411779765,0.22824986158192487,-0.9222194732295252
grid,2,16,65536,4,16,"4,12,13,14",24,-35.37274996356426,-0.015518124929956356,0.3880186356394826,0.08192340069378978,0.010882524769904407,0.11274745527968646,0.588674074968356,0.07286766294905749,1.1658826071849198,induced,neg,1.0,,,1,0.0,0.127144951282185,4.594081785159014e-17,9.117390869729132
grid,2,16,65536,4,16,"4,12,13,14",24,-35.37274996356426,-0.015518124929956356,0.3880186356394826,0.08192340069378978,0.010882524769904407,0.11274745527968646,0.588674074968356,0.07286766294905749,1.1658826071849198,schur,pos,1.0,,,1,0.9814759221543491,41.994926770991576,0.655631942560364,0.05506571023014396
grid,2,16,65536,4,16,"4,12,13,14",24,-35.37274996356426,-0.015518124929956356,0.3880186356394826,0.08192340069378978,0.010882524769904407,0.11274745527968646,0.588674074968356,0.07286766294905749,1.1658826071849198,schur,neg,1.0,,,1,0.0,0.1458939144039702,3.4258905160287157e-18,9.09864190646901
grid,2,16,65536,4,16,"4,12,13,14",24,-35.37274996356426,-0.015518124929956356,0.3880186356394826,0.08192340069378978,0.010882524769904407,0.11274745527968646,0.588674074968356,0.07286766294905749,1.1658826071849198,input_induced,pos,1.0,,,1,0.8567706639166446,6.413782777172927,0.4332312378898516,4.790492722028172
grid,2,16,65536,4,16,"4,12,13,14",24,-35.37274996356426,-0.015518124929956356,0.3880186356394826,0.08192340069378978,0.010882524769904407,0.11274745527968646,0.588674074968356,0.07286766294905749,1.1658826071849198,input_induced,neg,1.0,,,1,0.0,0.06947877568717467,8.32564529534861e-18,9.175057045185806
grid,2,16,65536,4,16,"4,12,13,14",24,-35.37274996356426,-0.015518124929956356,0.3880186356394826,0.08192340069378978,0.010882524769904407,0.11274745527968646,0.588674074968356,0.07286766294905749,1.1658826071849198,mi_normalized,pos,1.0,,,1,0.9848440699222598,8.8613423381776,0.8472587681733987,0.530264018976108
grid,2,16,65536,4,16,"4,12,13,14",24,-35.37274996356426,-0.015518124929956356,0.3880186356394826,0.08192340069378978,0.010882524769904407,0.11274745527968646,0.588674074968356,0.07286766294905749,1.1658826071849198,mi_normalized,neg,1.0,,,1,-2.4424906541753444e-15,0.07742106716378852,2.666694097928743e-14,9.167114753864603
