E0,J_ratio,J_xy,J_zz,category,dim_lie,gap,h_scale,mean_commutator,n_lie_vecs,op_mean,order_parameter,ratio_s_mean,ratio_singular,seed,sigma_angles,sigma_mean,u1_axis_fraction,u1_fraction,u1_like,verdict
-16.522096487934814,,0.5,2.0,seed,1,0.9963178071205139,0.1,0.07376773323535547,16,,0.996875617041229,,14.21337814029055,18,0.050773207094327456,,1.0,,True,
-16.055763285546366,,0.5,2.0,seed,1,0.09005360776931326,0.1,0.020125648905675145,15,,0.9986831163967573,,20.71931280875305,19,0.03600407427773355,,1.0,,True,
,,,,h_scan,,,0.01,,,0.9959201012095209,,57.686498930796446,,,,0.04164141816811914,,1.0,,U(1)-like
,,,,h_scan,,,0.03,,,0.9939902873414201,,19.88622115091054,,,,0.06515489350587603,,1.0,,U(1)-like
,,,,h_scan,,,0.05,,,0.9897364015677192,,12.438382637571483,,,,0.09105184390943721,,1.0,,U(1)-like
,,,,h_scan,,,0.08,,,0.9820730061582589,,8.189845306279675,,,,0.12572010466520947,,1.0,,U(1)-like
,,,,h_scan,,,0.1,,,0.9765168334539658,,6.759207676468816,,,,0.14570147328549293,,1.0,,U(1)-like
,,,,h_scan,,,0.15,,,0.9629278570614452,,4.975583536293704,,,,0.1871211551356065,,1.0,,U(1)-like
,,,,h_scan,,,0.2,,,0.9489757230463886,,4.054514080982298,,,,0.22074727451490897,,1.0,,U(1)-like
,,,,h_scan,,,0.3,,,0.9212132588858066,,3.1260130714176557,,,,0.27676462394464363,,0.8,,U(1)-like
,,,,h_scan,,,0.5,,,0.8585698003576381,,2.3205272164732476,,,,0.3660883284468107,,0.2,,SO(3)-like
,,,,h_scan,,,0.7,,,0.8200490325464838,,2.0630369276418037,,,,0.40204944888716054,,0.1,,SO(3)-like
,,,,h_scan,,,1.0,,,0.834484813034137,,2.0625884181005176,,,,0.3382386556207756,,0.2,,SO(3)-like
,,,,h_scan,,,1.5,,,0.8536514404017067,,2.3840319683916498,,,,0.2904377469295271,,0.4,,SO(3)-like
,,,,h_scan,,,2.0,,,0.846339726123937,,2.2068737217875602,,,,0.29273835251221836,,0.2,,SO(3)-like
,0.1,0.5,0.1,J_scan,,,,,,0.793784221521327,,1.6566948163139898,,,,,,0.1,,SO(3)-like
,0.3,0.5,0.3,J_scan,,,,,,0.7785343422191466,,1.544380768106137,,,,,,0.0,,SO(3)-like
,0.5,0.5,0.5,J_scan,,,,,,0.8066655980096401,,2.148660609954428,,,,,,0.2,,SO(3)-like
,1.0,0.5,1.0,J_scan,,,,,,0.9457786036953975,,3.946653061958486,,,,,,0.9,,U(1)-like
,2.0,0.5,2.0,J_scan,,,,,,0.9765168334539658,,6.759207676468816,,,,,,1.0,,U(1)-like
,4.0,0.5,4.0,J_scan,,,,,,0.9827166970738002,,10.624104789231534,,,,,,1.0,,U(1)-like
,8.0,0.5,8.0,J_scan,,,,,,0.9897942542789762,,19.094092780219615,,,,,,1.0,,U(1)-like
