geometry,N_input,N_actual,target_dim,expected_curvature,k,kernel_factor,epsilon,density,alpha_idleness,i,j,edge_weight,intrinsic_edge_length,graph_distance,kappa_OR
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,107,110,0.8824969025845948,0.14726215563702194,0.14726215563702194,0.06556642363036425
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,51,57,0.6065306597126336,0.294524311274043,0.294524311274043,0.032783211815181845
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,0,3,0.8824969025845955,0.14726215563702155,0.14726215563702155,-0.13113284726072605
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,52,57,0.7066482778577171,0.2454369260617022,0.2454369260617022,0.07867970835643545
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,93,96,0.8824969025845948,0.14726215563702194,0.14726215563702194,8.881784197001252e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,3,126,0.7066482778577161,0.24543692606170264,0.24543692606170192,-1.1102230246251565e-15
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,32,35,0.8824969025845955,0.1472621556370215,0.1472621556370215,-6.661338147750939e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,28,29,0.9862071167439161,0.04908738521234057,0.04908738521234057,-0.39339854178217815
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,87,92,0.7066482778577161,0.24543692606170264,0.24543692606170264,3.3306690738754696e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,68,71,0.8824969025845955,0.1472621556370215,0.1472621556370215,2.220446049250313e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,116,121,0.7066482778577161,0.24543692606170264,0.24543692606170264,0.03933985417821806
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,69,74,0.7066482778577161,0.24543692606170264,0.24543692606170264,2.220446049250313e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,101,104,0.8824969025845948,0.14726215563702194,0.14726215563702194,1.1102230246251565e-15
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,36,41,0.7066482778577167,0.24543692606170242,0.24543692606170242,0.0786797083564359
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,46,48,0.9459594689067653,0.09817477042468115,0.09817477042468115,1.1102230246251565e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,54,57,0.8824969025845955,0.1472621556370215,0.1472621556370215,0.13113284726072616
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,34,36,0.9459594689067656,0.09817477042468092,0.09817477042468092,-4.440892098500626e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,96,101,0.7066482778577161,0.24543692606170264,0.24543692606170264,-0.0786797083564359
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,117,121,0.8007374029168077,0.1963495408493623,0.1963495408493623,5.551115123125783e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,97,103,0.6065306597126336,0.294524311274043,0.294524311274043,0.03278321181518129
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,98,102,0.8007374029168077,0.1963495408493623,0.1963495408493623,-0.09834963544554443
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,63,66,0.8824969025845955,0.1472621556370215,0.1472621556370215,-4.440892098500626e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,52,53,0.9862071167439164,0.04908738521234035,0.04908738521234035,0.19669927089108874
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,20,24,0.8007374029168081,0.19634954084936207,0.19634954084936207,-0.04917481772277266
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,36,38,0.9459594689067656,0.09817477042468092,0.09817477042468092,0.09834963544554431
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,19,22,0.8824969025845955,0.1472621556370215,0.1472621556370215,-0.06556642363036347
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,79,80,0.9862071167439164,0.04908738521234035,0.04908738521234035,0.39339854178217915
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,43,48,0.7066482778577161,0.24543692606170264,0.24543692606170264,0.03933985417821817
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,20,23,0.8824969025845955,0.1472621556370215,0.1472621556370215,-4.440892098500626e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,27,31,0.8007374029168081,0.19634954084936207,0.19634954084936207,0.0
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,76,77,0.986207116743916,0.049087385212340795,0.049087385212340795,0.3933985417821789
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,78,79,0.986207116743916,0.049087385212340795,0.049087385212340795,-0.39339854178217504
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,61,63,0.9459594689067653,0.09817477042468115,0.09817477042468115,-0.09834963544554398
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,31,35,0.8007374029168081,0.19634954084936207,0.19634954084936207,-0.04917481772277221
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,51,52,0.986207116743916,0.049087385212340795,0.049087385212340795,-0.1966992708910862
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,65,69,0.8007374029168077,0.1963495408493623,0.1963495408493623,-0.04917481772277177
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,32,34,0.9459594689067653,0.09817477042468115,0.09817477042468115,-0.0983496354455442
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,1,6,0.7066482778577162,0.2454369260617026,0.2454369260617026,-0.03933985417821795
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,107,112,0.7066482778577161,0.24543692606170264,0.24543692606170264,-0.039339854178217726
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,74,78,0.8007374029168085,0.19634954084936185,0.19634954084936185,0.04917481772277188
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,9,14,0.7066482778577162,0.2454369260617026,0.2454369260617026,-2.220446049250313e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,69,72,0.8824969025845955,0.1472621556370215,0.1472621556370215,2.220446049250313e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,21,25,0.8007374029168081,0.19634954084936207,0.19634954084936207,3.3306690738754696e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,95,100,0.7066482778577161,0.24543692606170264,0.24543692606170264,-0.03933985417821817
