n,hilbert_dim,subsystem_size,d_A,topology,seed,eta_zz,hx,hz,hz_random,j_disorder,j,A_sites,n_edges_input,ground_energy,mean_hz_random,std_hz_random,mean_single_entropy,mean_MI,max_MI,K_gap_ratio,candidate_L,g2_plateau,C_modular,t_dip,g2_dip,t_ramp,g2_ramp,slope_ramp,log_t_dip,log_t_ramp,delta3_proxy,family,spearman_lambda_kappa,fit_ok,r2,A_fit,beta,B_fit
9,512,4,16,chain,1,0.5,0.8,0.0,0.2,0.2,1.0,"0,3,6,8",8,-15.870613074167984,-0.04591845113290821,0.08028422955595402,0.062914976393535,0.014955345379120003,0.12354248903793294,0.32256987474962184,input_induced,0.08222505347594503,1.3156008556151204,89.8533724340176,4.238029433125318e-05,90.67448680351907,0.08381551962474668,0.10202371611311228,4.498179146571022,4.507276025417853,0.004079488238886077,neg,,1,0.0,8.053451077527685,0.45905905846706263,-4563.168983868968
9,512,4,16,chain,1,0.5,0.8,0.0,0.2,0.2,1.0,"0,3,6,8",8,-15.870613074167984,-0.04591845113290821,0.08028422955595402,0.062914976393535,0.014955345379120003,0.12354248903793294,0.32256987474962184,mi_normalized,0.08222505347594503,1.3156008556151204,89.8533724340176,4.238029433125318e-05,90.67448680351907,0.08381551962474668,0.10202371611311228,4.498179146571022,4.507276025417853,0.004079488238886077,pos,1.0,1,0.8517983985319595,10.682054046745586,0.2804997813897652,0.1413072246712048
9,512,4,16,chain,1,0.5,0.8,0.0,0.2,0.2,1.0,"0,3,6,8",8,-15.870613074167984,-0.04591845113290821,0.08028422955595402,0.062914976393535,0.014955345379120003,0.12354248903793294,0.32256987474962184,mi_normalized,0.08222505347594503,1.3156008556151204,89.8533724340176,4.238029433125318e-05,90.67448680351907,0.08381551962474668,0.10202371611311228,4.498179146571022,4.507276025417853,0.004079488238886077,neg,1.0,1,0.0,0.08741578608666384,8.197413386724314e-23,9.068769026593689
9,512,4,16,chain,2,0.5,0.8,0.0,0.2,0.2,1.0,"1,3,5,7",8,-15.596161815043198,-0.01669086332771392,0.11692510351272631,0.06449205888084729,0.01541323685716461,0.1241753486488468,0.3996244453782105,induced,0.06473551501963369,1.035768240314139,3.0498533724340176,0.00011585915244638369,4.926686217008798,0.05029197554062569,0.026734462013076787,1.1150935148522294,1.594666595113991,0.0034896873295041154,pos,1.0,1,0.9453564504567453,127.3574509200705,0.44436860955548296,0.3247908042485258
9,512,4,16,chain,2,0.5,0.8,0.0,0.2,0.2,1.0,"1,3,5,7",8,-15.596161815043198,-0.01669086332771392,0.11692510351272631,0.06449205888084729,0.01541323685716461,0.1241753486488468,0.3996244453782105,induced,0.06473551501963369,1.035768240314139,3.0498533724340176,0.00011585915244638369,4.926686217008798,0.05029197554062569,0.026734462013076787,1.1150935148522294,1.594666595113991,0.0034896873295041154,neg,1.0,1,0.0,0.24217236307825118,3.751951064351403e-17,8.366764120596729
9,512,4,16,chain,2,0.5,0.8,0.0,0.2,0.2,1.0,"1,3,5,7",8,-15.596161815043198,-0.01669086332771392,0.11692510351272631,0.06449205888084729,0.01541323685716461,0.1241753486488468,0.3996244453782105,schur,0.06473551501963369,1.035768240314139,3.0498533724340176,0.00011585915244638369,4.926686217008798,0.05029197554062569,0.026734462013076787,1.1150935148522294,1.594666595113991,0.0034896873295041154,pos,1.0,1,0.909215175710729,40.935882844268406,0.4299286256690692,0.43159731210179964
9,512,4,16,chain,2,0.5,0.8,0.0,0.2,0.2,1.0,"1,3,5,7",8,-15.596161815043198,-0.01669086332771392,0.11692510351272631,0.06449205888084729,0.01541323685716461,0.1241753486488468,0.3996244453782105,schur,0.06473551501963369,1.035768240314139,3.0498533724340176,0.00011585915244638369,4.926686217008798,0.05029197554062569,0.026734462013076787,1.1150935148522294,1.594666595113991,0.0034896873295041154,neg,1.0,1,-8.881784197001252e-16,0.16694864889274424,4.688733598896003e-15,8.441987835028058
9,512,4,16,chain,2,0.5,0.8,0.0,0.2,0.2,1.0,"1,3,5,7",8,-15.596161815043198,-0.01669086332771392,0.11692510351272631,0.06449205888084729,0.01541323685716461,0.1241753486488468,0.3996244453782105,input_induced,0.06473551501963369,1.035768240314139,3.0498533724340176,0.00011585915244638369,4.926686217008798,0.05029197554062569,0.026734462013076787,1.1150935148522294,1.594666595113991,0.0034896873295041154,pos,,1,0.0,35.37379625947593,0.9999113792637763,8.608901031128624
9,512,4,16,chain,2,0.5,0.8,0.0,0.2,0.2,1.0,"1,3,5,7",8,-15.596161815043198,-0.01669086332771392,0.11692510351272631,0.06449205888084729,0.01541323685716461,0.1241753486488468,0.3996244453782105,input_induced,0.06473551501963369,1.035768240314139,3.0498533724340176,0.00011585915244638369,4.926686217008798,0.05029197554062569,0.026734462013076787,1.1150935148522294,1.594666595113991,0.0034896873295041154,neg,,1,0.0,7.583398356120259,0.46074937867497373,-4398.564494655243
9,512,4,16,chain,2,0.5,0.8,0.0,0.2,0.2,1.0,"1,3,5,7",8,-15.596161815043198,-0.01669086332771392,0.11692510351272631,0.06449205888084729,0.01541323685716461,0.1241753486488468,0.3996244453782105,mi_normalized,0.06473551501963369,1.035768240314139,3.0498533724340176,0.00011585915244638369,4.926686217008798,0.05029197554062569,0.026734462013076787,1.1150935148522294,1.594666595113991,0.0034896873295041154,pos,1.0,1,0.9109236417461468,9.054645763186226,0.4826640948689771,0.528305077337662
9,512,4,16,chain,2,0.5,0.8,0.0,0.2,0.2,1.0,"1,3,5,7",8,-15.596161815043198,-0.01669086332771392,0.11692510351272631,0.06449205888084729,0.01541323685716461,0.1241753486488468,0.3996244453782105,mi_normalized,0.06473551501963369,1.035768240314139,3.0498533724340176,0.00011585915244638369,4.926686217008798,0.05029197554062569,0.026734462013076787,1.1150935148522294,1.594666595113991,0.0034896873295041154,neg,1.0,1,0.0,0.08028476599038004,2.2100727120671867e-25,8.5286517176846
9,512,4,16,chain,3,0.5,0.8,0.0,0.2,0.2,1.0,"0,1,4,5",8,-14.842385561804448,-0.030437274928817967,0.11215110281549298,0.07221363788020353,0.017443749194318448,0.24036428728954762,0.5025412058537352,induced,0.08932661719220653,1.4292258750753044,111.0850439882698,3.840599689294564e-05,113.5483870967742,0.0940129996891093,0.03814921005838775,4.710296070016507,4.732229064107005,0.004085489346422208,pos,0.9970544855015814,1,0.9247509249961329,31.01412749576853,0.1617252809249004,1.2549998332489114
9,512,4,16,chain,3,0.5,0.8,0.0,0.2,0.2,1.0,"0,1,4,5",8,-14.842385561804448,-0.030437274928817967,0.11215110281549298,0.07221363788020353,0.017443749194318448,0.24036428728954762,0.5025412058537352,induced,0.08932661719220653,1.4292258750753044,111.0850439882698,3.840599689294564e-05,113.5483870967742,0.0940129996891093,0.03814921005838775,4.710296070016507,4.732229064107005,0.004085489346422208,neg,0.9970544855015814,1,0.0,0.15303203351632494,4.9257066146111625e-19,16.797685128795884
9,512,4,16,chain,3,0.5,0.8,0.0,0.2,0.2,1.0,"0,1,4,5",8,-14.842385561804448,-0.030437274928817967,0.11215110281549298,0.07221363788020353,0.017443749194318448,0.24036428728954762,0.5025412058537352,schur,0.08932661719220653,1.4292258750753044,111.0850439882698,3.840599689294564e-05,113.5483870967742,0.0940129996891093,0.03814921005838775,4.710296070016507,4.732229064107005,0.004085489346422208,pos,0.9970544855015814,1,0.9497334700148754,40.13340046070929,0.2075701400693706,-4.041128314851124
9,512,4,16,chain,3,0.5,0.8,0.0,0.2,0.2,1.0,"0,1,4,5",8,-14.842385561804448,-0.030437274928817967,0.11215110281549298,0.07221363788020353,0.017443749194318448,0.24036428728954762,0.5025412058537352,schur,0.08932661719220653,1.4292258750753044,111.0850439882698,3.840599689294564e-05,113.5483870967742,0.0940129996891093,0.03814921005838775,4.710296070016507,4.732229064107005,0.004085489346422208,neg,0.9970544855015814,1,0.0,0.18305697910917004,1.1011336225839273e-20,16.767660183203038
