state,group,cell_index,n_rows,n_cols,kind,n_coeff,n_positive,beta_min_positive,beta_max,beta_mean,beta_cv,beta_edge_to_center,rho_edge_fraction,rho_center_fraction,rho_edge_to_center,r2_flat,r2_parabola,r2_triangle
ground,dataedges,1,6,4,experimental,6,5,3.43982442748253,6.69275906868236,5.755757532146769,0.2040071490100363,0.7208226708683673,0.48952924335869236,0.16190155108080964,1.5118114684224195,-2.220446049250313e-16,0.44123773858328663,0.4061356141509652
ground,dataedges,2,8,4,experimental,8,7,3.87652442302381,10.242895897292,7.889369946483852,0.2393156549186196,0.5671406355243874,0.39963340414021165,0.10078131176700642,1.9826761387275513,4.440892098500626e-16,0.6388665826566036,0.6519712365688601
ground,dataedges,3,10,4,experimental,10,9,4.75186069335523,14.7941978317166,11.222301359456743,0.2861839372049898,0.4577054564356129,0.3627696117246435,0.07636356725373708,2.3752793692786156,1.1102230246251565e-16,0.9066868108881285,0.8625944731404052
ground,dataedges,4,12,4,experimental,12,11,4.62145043378596,23.0940702718845,15.513923557195865,0.36582733445273913,0.3257231834924656,0.3550628079299408,0.04922669294439474,3.6064052518316743,-2.220446049250313e-16,0.8972455770301956,0.9031885984849745
ground,dataedges,5,14,4,experimental,14,13,5.3890441546101,31.9023022051295,21.109626217789604,0.3979262813908233,0.25763873408167637,0.34808686655995685,0.039888399170201656,4.363259416286536,2.220446049250313e-16,0.9342435763074888,0.921892050893309
excited,dataMPS,0,5,2,mps_or_fit,5,3,0.986075164756715,1.11444808406676,1.0336573756482885,0.05555829762630678,0.8912591224658177,0.6917513073407826,0.3082486926592173,1.122066895682741,0.0,0.9895591553464756,0.9895591553464756
excited,dataMPS,1,7,2,mps_or_fit,7,5,0.997814513908333,1.26898398275446,1.1473406361533924,0.09161078847715344,0.8062741944156863,0.44493211382491243,0.17925866575578214,1.241033765226942,0.0,0.97152658775628,0.8852373419775852
excited,dataMPS,2,9,2,mps_or_fit,9,7,1.07775816253267,1.37056180060117,1.2570042564690842,0.09259285726548135,0.7928123187011914,0.329543995529339,0.13063280699376315,1.2613370374299335,0.0,0.9672802080905386,0.8176835295385182
excited,dataMPS,3,11,2,mps_or_fit,11,9,1.08674434893807,1.4817464125932,1.3562839663609878,0.10296985023925577,0.7551399408813692,0.2674356585037443,0.10091377072035922,1.325070189106458,0.0,0.9212416785462729,0.76985622998773
excited,databulk,1,5,4,experimental,5,3,1.12762874034061,1.27571919088668,1.1769922238559667,0.059312633047557954,0.8839161066134462,0.693501449440074,0.306498550559926,1.131329084873571,0.0,1.0,1.0
excited,databulk,2,7,4,experimental,7,5,1.08329961050898,1.5254457873647,1.3253691372311842,0.14998247465746928,0.7101528087605432,0.4777099389840127,0.16962352747116213,1.4081476376124433,1.1102230246251565e-16,0.9872494631657491,0.8462590044156202
excited,databulk,3,9,4,experimental,9,7,1.15740942265283,1.74849978598384,1.4399508782815826,0.1387788068722689,0.6619442747038042,0.34826291457089487,0.11526532119593197,1.5107011846993665,-2.220446049250313e-16,0.9473539909108507,0.9453902276399003
excited,databulk,4,11,4,experimental,11,9,1.19251817586821,1.78667950646824,1.55299516911985,0.137766547172886,0.7307738241951065,0.2832179126269398,0.10348411854547217,1.3684124511457787,1.1102230246251565e-16,0.9165032359259863,0.7213004992859509
excited,databulk,5,13,4,experimental,13,11,1.27191280286353,1.91455907264992,1.6777000280543772,0.12880543861352856,0.7452528285136661,0.2352576864655544,0.08766322813401783,1.341826507380592,0.0,0.829981240295379,0.5986430649569973
excited,dataedges,0,4,2,mps_or_fit,4,3,1.09231548634939,1.50019682201817,1.3464015093849369,0.13442415650211173,0.8960137729740517,0.6959342178931007,0.30406578210689916,1.1443810169478952,0.0,0.1535280026393525,0.1535280026393525
excited,dataedges,1,6,2,mps_or_fit,6,5,1.30635194511943,1.61092038086777,1.466195437846292,0.07594702783289645,1.0129808340854196,0.408554441750028,0.20515857513454638,0.9957040340187857,1.1102230246251565e-16,0.015247623868002491,0.0003921804932698336
excited,dataedges,2,8,2,mps_or_fit,8,7,1.12405660328496,1.69834891071912,1.5039280010042844,0.11561639534095605,0.8842714674037545,0.3197676050078426,0.13697601666781797,1.1672393926570173,2.220446049250313e-16,0.2085196181941973,0.14838291069132714
excited,dataedges,3,10,2,mps_or_fit,10,10,3.8235469712441e-08,1.71043409673637,1.402551074195831,0.34149689337421835,0.47261944262305094,0.9999998017114594,2.235424404804554e-08,22367112.91963574,0.0,0.2935865393337729,0.23840129572142166
excited,dataedges,4,12,2,mps_or_fit,12,11,1.07340962431509,1.73592621572957,1.5765240157141316,0.11252419311680853,0.8250017589673735,0.21825455403652208,0.08630786891857685,1.2643954529941193,0.0,0.2619919264154169,0.1896336380394642
