sigma,chi,omega,normalize_components,T00_sum,Taa_sum,Tgrad_sum,Taa_over_T00,Tgrad_over_T00,center,pearson_full_abs_delta_R,pearson_full_abs_delta_R_p,spearman_full_abs_delta_R,spearman_full_abs_delta_R_p,pearson_full_delta_R,pearson_full_delta_R_p,spearman_full_delta_R,spearman_full_delta_R_p,spearman_fluid_abs_delta_R,spearman_fluid_abs_delta_R_p,spearman_fluid_delta_R,spearman_fluid_delta_R_p,spearman_grad_abs_delta_R,spearman_grad_abs_delta_R_p,spearman_grad_delta_R,spearman_grad_delta_R_p
0.01,10.0,-0.5,True,2.1069171053776782e-05,4.05086380079311e-05,5.450802669873956e-10,1.9226498235045497,2.587098778571483e-05,12,0.1664876771490817,0.48296966595685104,0.509789156626506,0.021664541755555686,-0.25245716174788674,0.28289374587323934,-0.16641566265060243,0.4831616865279996,0.16242230958858758,0.4938686193721939,0.13649574373876608,0.5660902079869379,0.5124342072946383,0.020881036076308264,-0.16428037822092814,0.48887240843404717
0.02,-10.0,-0.5,True,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,1.6951886337367112,0.00012904389699571855,12,-0.3683761962885622,0.1100109909152729,-0.4984941172334824,0.025276918082193667,-0.23809923137498448,0.3120719817434969,-0.326807321569987,0.15960881518894693,0.17921691828031544,0.44963211677943893,0.49247001914002647,0.02738919870002783,0.4996232102486812,0.024895744285072963,0.32780708364732475,0.15826062784094927
0.02,-5.0,-0.5,True,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,1.6951886337367112,0.00012904389699571855,12,-0.3777633391903138,0.10056140109348856,-0.5421688284110383,0.013528522998801171,-0.23496009729932285,0.31868394670593037,-0.30722900276625503,0.18762441075532435,0.17921691828031544,0.44963211677943893,0.49247001914002647,0.02738919870002783,0.4996232102486812,0.024895744285072963,0.32780708364732475,0.15826062784094927
0.02,-3.0,-0.5,True,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,1.6951886337367112,0.00012904389699571855,12,-0.39165236750191057,0.08768396326878658,-0.5421688284110383,0.013528522998801171,-0.23000169360285302,0.3292970658187489,-0.30722900276625503,0.18762441075532435,0.17921691828031544,0.44963211677943893,0.49247001914002647,0.02738919870002783,0.4996232102486812,0.024895744285072963,0.32780708364732475,0.15826062784094927
0.02,-1.0,-0.5,True,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,1.6951886337367112,0.00012904389699571855,12,-0.4919605366793056,0.027574025956534343,-0.4743977248596585,0.03456907572179785,-0.178623121753758,0.4511601879449526,-0.1822289673270434,0.44192239851658044,0.17921691828031544,0.44963211677943893,0.49247001914002647,0.02738919870002783,0.4996232102486812,0.024895744285072963,0.32780708364732475,0.15826062784094927
0.02,-0.5,-0.5,True,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,1.6951886337367112,0.00012904389699571855,12,-0.4579201356403667,0.04232217364613094,-0.42744066361024763,0.060127759405513424,0.1347879452950701,0.571004539843692,-0.029400680565784224,0.9020725361787814,0.17921691828031544,0.44963211677943893,0.49247001914002647,0.02738919870002783,0.4996232102486812,0.024895744285072963,0.32780708364732475,0.15826062784094927
0.02,0.0,-0.5,True,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,1.6951886337367112,0.00012904389699571855,12,0.181651070512238,0.4433962118085997,0.17921691828031544,0.44963211677943893,0.27434788352761263,0.24177973430964714,0.49247001914002647,0.02738919870002783,0.17921691828031544,0.44963211677943893,0.49247001914002647,0.02738919870002783,0.4996232102486812,0.024895744285072963,0.32780708364732475,0.15826062784094927
0.02,0.5,-0.5,True,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,1.6951886337367112,0.00012904389699571855,12,0.27245025842839843,0.24518257738073174,0.4578314551026546,0.04236724809774765,0.2621390161529542,0.2642072339501326,0.2861446594391591,0.2213087437147841,0.17921691828031544,0.44963211677943893,0.49247001914002647,0.02738919870002783,0.4996232102486812,0.024895744285072963,0.32780708364732475,0.15826062784094927
0.02,1.0,-0.5,True,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,1.6951886337367112,0.00012904389699571855,12,0.3024127535167008,0.19499395528575283,0.4578314551026546,0.04236724809774765,0.2560324480632923,0.27590036756720043,0.2861446594391591,0.2213087437147841,0.17921691828031544,0.44963211677943893,0.49247001914002647,0.02738919870002783,0.4996232102486812,0.024895744285072963,0.32780708364732475,0.15826062784094927
0.02,3.0,-0.5,True,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,1.6951886337367112,0.00012904389699571855,12,0.3357287552124834,0.14785600674681132,0.5000001417568464,0.02476951142560396,0.24781662863293133,0.29213288367631435,0.32831334609335094,0.15758094189501204,0.17921691828031544,0.44963211677943893,0.49247001914002647,0.02738919870002783,0.4996232102486812,0.024895744285072963,0.32780708364732475,0.15826062784094927
0.02,5.0,-0.5,True,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,1.6951886337367112,0.00012904389699571855,12,0.34457836468157677,0.13680829056331614,0.5000001417568464,0.02476951142560396,0.24535632779337677,0.2971054679821363,0.32831334609335094,0.15758094189501204,0.17921691828031544,0.44963211677943893,0.49247001914002647,0.02738919870002783,0.4996232102486812,0.024895744285072963,0.32780708364732475,0.15826062784094927
0.02,10.0,-0.5,True,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,1.6951886337367112,0.00012904389699571855,12,0.3518614384086607,0.12816312804791224,0.5000001417568464,0.02476951142560396,0.24323728720861992,0.3014294970852036,0.32831334609335094,0.15758094189501204,0.17921691828031544,0.44963211677943893,0.49247001914002647,0.02738919870002783,0.4996232102486812,0.024895744285072963,0.32780708364732475,0.15826062784094927
0.03,-10.0,-0.5,True,0.0006368607359732701,0.0008536495128729839,1.2058336487507952e-07,1.3404021706070646,0.00018934024043859498,12,-0.2514346195194447,0.28491386671638075,-0.3416103299635718,0.14044656274197892,-0.10809893376763433,0.650089044763342,-0.09330326192837646,0.6956103898115952,0.16102337139252065,0.4976466632035798,0.4213695699991195,0.06426627960863322,0.30339700408018117,0.193472387285668,0.05584919975605325,0.8150898237995222
0.03,-5.0,-0.5,True,0.0006368607359732701,0.0008536495128729839,1.2058336487507952e-07,1.3404021706070646,0.00018934024043859498,12,-0.25861966413766735,0.27090751148529524,-0.3416103299635718,0.14044656274197892,-0.09418966274316593,0.692852934434839,-0.09330326192837646,0.6956103898115952,0.16102337139252065,0.4976466632035798,0.4213695699991195,0.06426627960863322,0.30339700408018117,0.193472387285668,0.05584919975605325,0.8150898237995222
0.03,-3.0,-0.5,True,0.0006368607359732701,0.0008536495128729839,1.2058336487507952e-07,1.3404021706070646,0.00018934024043859498,12,-0.2690137792133995,0.2514226638554647,-0.370203265070655,0.10812340896087201,-0.07306115384073508,0.7595208409580051,-0.07373967474984591,0.7573514314901444,0.16102337139252065,0.4976466632035798,0.4213695699991195,0.06426627960863322,0.30339700408018117,0.193472387285668,0.05584919975605325,0.8150898237995222
0.03,-1.0,-0.5,True,0.0006368607359732701,0.0008536495128729839,1.2058336487507952e-07,1.3404021706070646,0.00018934024043859498,12,-0.3312662445056014,0.15365674936012536,-0.45447717907047885,0.04409954390605124,0.09907772061596591,0.6777144776614602,-0.133935327606863,0.5734649410038376,0.16102337139252065,0.4976466632035798,0.4213695699991195,0.06426627960863322,0.30339700408018117,0.193472387285668,0.05584919975605325,0.8150898237995222
0.03,-0.5,-0.5,True,0.0006368607359732701,0.0008536495128729839,1.2058336487507952e-07,1.3404021706070646,0.00018934024043859498,12,-0.26124110859085575,0.26590669159631486,-0.3910425568638448,0.08822245994592345,0.4543603247003406,0.044160861303300505,0.048551000804076976,0.8389277429310726,0.16102337139252065,0.4976466632035798,0.4213695699991195,0.06426627960863322,0.30339700408018117,0.193472387285668,0.05584919975605325,0.8150898237995222
0.03,0.0,-0.5,True,0.0006368607359732701,0.0008536495128729839,1.2058336487507952e-07,1.3404021706070646,0.00018934024043859498,12,0.09977749204793354,0.6755568039796312,0.16102337139252065,0.4976466632035798,0.32111774111245484,0.16743240713944757,0.4213695699991195,0.06426627960863322,0.16102337139252065,0.4976466632035798,0.4213695699991195,0.06426627960863322,0.30339700408018117,0.193472387285668,0.05584919975605325,0.8150898237995222
0.03,0.5,-0.5,True,0.0006368607359732701,0.0008536495128729839,1.2058336487507952e-07,1.3404021706070646,0.00018934024043859498,12,0.17373368445377824,0.46384410719549535,0.267870655213726,0.2535206156287251,0.23260394571398907,0.32370132267478025,0.16704293667822237,0.481490386200818,0.16102337139252065,0.4976466632035798,0.4213695699991195,0.06426627960863322,0.30339700408018117,0.193472387285668,0.05584919975605325,0.8150898237995222
