sigma,omega,chi,psi,normalize_components,center,T00_sum,Taa_sum,Tgrad_sum,Fflux_sum,Taa_over_T00,Tgrad_over_T00,Fflux_over_T00,pearson_flux_abs_delta_R,pearson_flux_abs_delta_R_p,spearman_flux_abs_delta_R,spearman_flux_abs_delta_R_p,pearson_flux_delta_R,pearson_flux_delta_R_p,spearman_flux_delta_R,spearman_flux_delta_R_p,spearman_full_abs_delta_R,spearman_full_abs_delta_R_p,spearman_full_delta_R,spearman_full_delta_R_p,spearman_Fflux_abs_delta_R,spearman_Fflux_abs_delta_R_p,spearman_Fflux_delta_R,spearman_Fflux_delta_R_p
0.02,-0.5,0.5,10.0,True,12,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,0.0003615232417567076,1.6951886337367112,0.00012904389699571855,2.262441493240986,0.2091675835163478,0.3761337491886959,0.4066266213082787,0.0752073206040131,0.2696851660245045,0.25019565519306475,0.3554217875139029,0.1240812408070003,0.4578314551026546,0.04236724809774765,0.2861446594391591,0.2213087437147841,0.1837349918504074,0.43809364553034597,0.49397604366339043,0.02684855018705229
0.05,-0.5,0.5,-10.0,True,12,0.003612486370379981,0.004217469494250693,9.596176239237324e-07,0.00489183052007229,1.1674700086984902,0.0002656390988190205,1.3541450454130683,-0.22361545984288855,0.3432703986382633,-0.032367352208747396,0.8922437700483515,-0.577587066874681,0.007654616983368361,-0.42980832816732006,0.058569679713527924,0.1919459258890834,0.41752877676260464,0.07150926650769775,0.76448911389023,0.16484767752827162,0.4873519586880316,0.3846445808993004,0.09401987293488487
0.05,-0.5,0.5,-5.0,True,12,0.003612486370379981,0.004217469494250693,9.596176239237324e-07,0.00489183052007229,1.1674700086984902,0.0002656390988190205,1.3541450454130683,-0.21591096023106848,0.3605806105182138,-0.01580731154380687,0.947262902285637,-0.591005632690954,0.006067127972036489,-0.41927012047144885,0.06574624917614312,0.1919459258890834,0.41752877676260464,0.07150926650769775,0.76448911389023,0.16484767752827162,0.4873519586880316,0.3846445808993004,0.09401987293488487
0.05,-0.5,0.5,-3.0,True,12,0.003612486370379981,0.004217469494250693,9.596176239237324e-07,0.00489183052007229,1.1674700086984902,0.0002656390988190205,1.3541450454130683,-0.20325100256607864,0.3900859843423885,-0.02032368627060883,0.9322246439248846,-0.6058203699856254,0.004639338011560391,-0.42980832816732006,0.058569679713527924,0.1919459258890834,0.41752877676260464,0.07150926650769775,0.76448911389023,0.16484767752827162,0.4873519586880316,0.3846445808993004,0.09401987293488487
0.05,-0.5,0.5,-1.0,True,12,0.003612486370379981,0.004217469494250693,9.596176239237324e-07,0.00489183052007229,1.1674700086984902,0.0002656390988190205,1.3541450454130683,-0.10133926256749184,0.6707500414411309,-0.014301853301539548,0.9522797171936661,-0.5873225131564798,0.006473103015279986,-0.3846445808993004,0.09401987293488487,0.1919459258890834,0.41752877676260464,0.07150926650769775,0.76448911389023,0.16484767752827162,0.4873519586880316,0.3846445808993004,0.09401987293488487
0.05,-0.5,0.5,-0.5,True,12,0.003612486370379981,0.004217469494250693,9.596176239237324e-07,0.00489183052007229,1.1674700086984902,0.0002656390988190205,1.3541450454130683,0.046395159374281264,0.8459961910722787,-0.1708695104973409,0.4713575212022473,-0.3707130184856944,0.10760097562107022,-0.4749720754353397,0.034320374499277814,0.1919459258890834,0.41752877676260464,0.07150926650769775,0.76448911389023,0.16484767752827162,0.4873519586880316,0.3846445808993004,0.09401987293488487
0.05,-0.5,0.5,0.0,True,12,0.003612486370379981,0.004217469494250693,9.596176239237324e-07,0.00489183052007229,1.1674700086984902,0.0002656390988190205,1.3541450454130683,0.20488236850101033,0.38621058556462373,0.1919459258890834,0.41752877676260464,0.0836489822099876,0.7258752638214774,0.07150926650769775,0.76448911389023,0.1919459258890834,0.41752877676260464,0.07150926650769775,0.76448911389023,0.16484767752827162,0.4873519586880316,0.3846445808993004,0.09401987293488487
0.05,-0.5,0.5,0.5,True,12,0.003612486370379981,0.004217469494250693,9.596176239237324e-07,0.00489183052007229,1.1674700086984902,0.0002656390988190205,1.3541450454130683,0.2446751146073414,0.2984913699723483,0.1497930951055984,0.5284765504910204,0.32239118518055315,0.16565891373927802,0.28528433690965727,0.2227619922751782,0.1919459258890834,0.41752877676260464,0.07150926650769775,0.76448911389023,0.16484767752827162,0.4873519586880316,0.3846445808993004,0.09401987293488487
0.05,-0.5,0.5,1.0,True,12,0.003612486370379981,0.004217469494250693,9.596176239237324e-07,0.00489183052007229,1.1674700086984902,0.0002656390988190205,1.3541450454130683,0.24938771181405373,0.28898441894696175,0.1482876368633311,0.5326757813928673,0.4155160674594872,0.06845634793471107,0.3680845402343599,0.11031449346282542,0.1919459258890834,0.41752877676260464,0.07150926650769775,0.76448911389023,0.16484767752827162,0.4873519586880316,0.3846445808993004,0.09401987293488487
0.05,-0.5,0.5,3.0,True,12,0.003612486370379981,0.004217469494250693,9.596176239237324e-07,0.00489183052007229,1.1674700086984902,0.0002656390988190205,1.3541450454130683,0.2431100384878322,0.3016903677614103,0.1768913434664102,0.4556320260930124,0.5100045787841405,0.02159986978729787,0.39668824683743903,0.08332916923315557,0.1919459258890834,0.41752877676260464,0.07150926650769775,0.76448911389023,0.16484767752827162,0.4873519586880316,0.3846445808993004,0.09401987293488487
0.05,-0.5,0.5,5.0,True,12,0.003612486370379981,0.004217469494250693,9.596176239237324e-07,0.00489183052007229,1.1674700086984902,0.0002656390988190205,1.3541450454130683,0.23908270684976446,0.31001761258029337,0.16484767752827162,0.4873519586880316,0.5313252411708715,0.015918029940855893,0.3846445808993004,0.09401987293488487,0.1919459258890834,0.41752877676260464,0.07150926650769775,0.76448911389023,0.16484767752827162,0.4873519586880316,0.3846445808993004,0.09401987293488487
0.05,-0.5,0.5,10.0,True,12,0.003612486370379981,0.004217469494250693,9.596176239237324e-07,0.00489183052007229,1.1674700086984902,0.0002656390988190205,1.3541450454130683,0.23503732460958304,0.3185202847201264,0.16484767752827162,0.4873519586880316,0.547280604019329,0.012507175675921828,0.3846445808993004,0.09401987293488487,0.1919459258890834,0.41752877676260464,0.07150926650769775,0.76448911389023,0.16484767752827162,0.4873519586880316,0.3846445808993004,0.09401987293488487
0.08,-0.5,0.5,-10.0,True,12,0.009155715161822611,0.010271661818310827,3.405852829245241e-06,0.012203640233400606,1.121885252737162,0.0003719920037974668,1.3328986340998457,0.2013284831567716,0.39468063364294503,-0.20692255669599616,0.3813943741837413,0.0985825671356242,0.6792426948505568,0.08502635966053661,0.7215321705666362,0.30398804692793624,0.19256252343081348,-0.2799097857851294,0.23198173549852916,0.26335598124944964,0.26191484740659116,-0.21068478499955975,0.3726018938767668
0.08,-0.5,0.5,-5.0,True,12,0.009155715161822611,0.010271661818310827,3.405852829245241e-06,0.012203640233400606,1.121885252737162,0.0003719920037974668,1.3328986340998457,0.22212157945001368,0.3465882529971494,-0.11888641439260872,0.6176254047722861,0.08923610846015378,0.7083094240159166,0.007524456607127134,0.974883616086954,0.30398804692793624,0.19256252343081348,-0.2799097857851294,0.23198173549852916,0.26335598124944964,0.26191484740659116,-0.21068478499955975,0.3726018938767668
