geometry,N_actual,k,epsilon,density,sigma,perturbation_strength,i,j,edge_distance_to_source,phi_edge,edge_weight_before,edge_weight_after,edge_factor,kappa_before,kappa_after,delta_kappa,abs_delta_kappa
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,178,194,0.4192627457812106,0.08983640138809915,0.9048374180359596,0.8804512167926647,0.9730490795835702,0.14070075908765545,0.1414085787424838,0.0007078196548283566,0.0007078196548283566
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,56,87,0.19764235376052372,0.4465177282864118,0.6065306597126334,0.5252826520193503,0.8660446815140764,-0.005179787825860815,-0.0034618970217186185,0.001717890804142197,0.001717890804142197
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,64,78,0.45069390943299864,0.04629460855153406,0.6703200460356393,0.6610103847949995,0.9861116174345398,-0.006831921142882669,-0.003808670760072852,0.0030232503828098167,0.0030232503828098167
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,97,112,0.4550068680800324,0.05471271044607584,0.8187307530779818,0.8052922594900459,0.9835861868661773,0.030000887603340298,0.03148171887569262,0.0014808312723523231,0.0014808312723523231
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,145,161,0.4419417382415922,0.07636810584216422,0.9048374180359596,0.8841072021228034,0.9770895682473507,-0.02071915130344304,-0.022135022062049092,-0.0014158707586060526,0.0014158707586060526
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,68,99,0.3365728004459065,0.21823340304422656,0.6065306597126334,0.5668210847367091,0.9345299790867321,-0.010359575651721187,-0.012637201686872768,-0.002277626035151581,0.002277626035151581
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,2,242,0.5762215285808054,0.01050109045404237,0.9048374180359596,0.9019868841640604,0.9968496728637873,0.08660147966505027,0.08747957125891526,0.0008780915938649825,0.0008780915938649825
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,127,141,0.3125,0.18429489774204447,0.6065306597126334,0.5729965079398871,0.9447115306773867,-0.003935088781842566,-5.132923981654436e-05,0.003883759542026022,0.003883759542026022
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,149,180,0.19764235376052372,0.4465177282864118,0.6065306597126334,0.5252826520193503,0.8660446815140764,-0.024317802852825254,-0.023745570452029963,0.0005722324007952917,0.0005722324007952917
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,238,254,0.5303300858899106,0.02079397817814593,0.9048374180359596,0.8991928671783367,0.9937618065465562,-0.09080875274848399,-0.09002710355207455,0.0007816491964094396,0.0007816491964094396
