geometry,perturbation_strength,r_min,r_max,r_mid,n_edges,mean_delta_kappa,median_delta_kappa,mean_abs_delta_kappa,mean_phi_edge
flat_torus2d,0.3,0.3986304679775494,0.46506887930714097,0.43184967364234517,190,-0.0014255353639618337,-0.0013821824640102287,0.0016826806223106518,0.07009501601807443
flat_torus2d,0.3,0.46506887930714097,0.5315072906367325,0.4982880849719368,100,-0.0010615300242353032,-0.0010425479555057904,0.0011640737988373962,0.032715633688743376
flat_torus2d,0.3,0.5315072906367325,0.5979457019663241,0.5647264963015284,56,-0.0007013449080309189,-0.00045430288504832994,0.0007029266499279671,0.015522455744138217
flat_torus2d,0.3,0.5979457019663241,0.6643841132959156,0.6311649076311199,17,-0.0005123520153442425,-0.0005341294600623714,0.0005123520153442425,0.0059540896199660066
sphere,-0.3,0.0,0.29436271943901393,0.14718135971950697,39,-0.007846194502886084,-0.00811419792739776,0.007846194502886084,0.8821922417562197
sphere,-0.3,0.29436271943901393,0.5887254388780279,0.4415440791585209,70,-0.0045698862082542745,-0.004224605879440846,0.004710823605382545,0.7143840655378279
sphere,-0.3,0.5887254388780279,0.8830881583170418,0.7359067985975348,96,-0.00014009740997013875,0.0004674369976425119,0.0029285287501931282,0.4870780851940544
sphere,-0.3,0.8830881583170418,1.1774508777560557,1.0302695180365489,131,0.00046001197695272377,0.0005827485963811885,0.0019358335668369358,0.3075908132704062
sphere,-0.3,1.1774508777560557,1.4718135971950697,1.3246322374755626,122,0.0019006789905626317,0.0020433726702121513,0.002129909427382349,0.15177690374152691
sphere,-0.3,1.4718135971950697,1.7661763166340836,1.6189949569145767,130,0.0013172490949208077,0.0013669336578840952,0.001348230851756953,0.06524393298299432
sphere,-0.3,1.7661763166340836,2.0605390360730977,1.9133576763535907,122,0.0008309658004342767,0.0008615880434591494,0.0008310304372494009,0.024010148054880793
sphere,-0.3,2.0605390360730977,2.3549017555121114,2.2077203957926046,90,0.0004305754213547644,0.00042468045441257374,0.0004305754213547644,0.008445517042705231
sphere,-0.3,2.3549017555121114,2.649264474951125,2.5020831152316183,69,0.0002007372124219238,0.00018226721417879954,0.0002007372124219238,0.0023258979551024754
sphere,-0.3,2.649264474951125,2.9436271943901393,2.7964458346706325,30,8.754161751215462e-05,8.855384604899985e-05,8.754161751215462e-05,0.0006244398562743901
sphere,-0.15,0.0,0.29436271943901393,0.14718135971950697,35,-0.0034469121949768367,-0.0033999360743242057,0.0034469121949768367,0.8919141791002986
sphere,-0.15,0.29436271943901393,0.5887254388780279,0.4415440791585209,73,-0.0023152506002154954,-0.0023164043703085557,0.002331400255204643,0.7205523405121453
sphere,-0.15,0.5887254388780279,0.8830881583170418,0.7359067985975348,120,-0.00030305695537713727,-0.00019290780839775756,0.0012058278757985717,0.5033699020392647
sphere,-0.15,0.8830881583170418,1.1774508777560557,1.0302695180365489,124,0.0002792824937605046,0.0004780919106535664,0.0008508216798370162,0.2984289596290216
sphere,-0.15,1.1774508777560557,1.4718135971950697,1.3246322374755626,108,0.0006825258967045189,0.0008416716754713338,0.0008521911582052556,0.15638169104002664
sphere,-0.15,1.4718135971950697,1.7661763166340836,1.6189949569145767,131,0.0006404945287099994,0.0006377744439145516,0.0006543964125030346,0.06651126305677779
sphere,-0.15,1.7661763166340836,2.0605390360730977,1.9133576763535907,120,0.00041494375297828343,0.0004150027389163147,0.00041494375297828343,0.022898776398042046
