geometry,N_input,N_actual,dim,ricci_target,k,epsilon,density,alpha_idleness,i,j,edge_length,edge_length2,edge_weight,kappa_OR,kappa_over_l2,kappa_over_epsilon
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,89,98,0.18181818181818177,0.0330578512396694,0.6065306597126338,-0.011766463900349855,-0.35593553298558334,-0.7118710659711658
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,89,99,0.12856486930664504,0.01652892561983472,0.7788007830714049,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,89,100,0.09090909090909094,0.00826446280991736,0.8824969025845955,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,89,101,0.12856486930664504,0.01652892561983472,0.7788007830714049,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,89,111,0.18181818181818188,0.03305785123966944,0.6065306597126334,0.029850447840091388,0.9029760471627639,1.8059520943255278
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,90,91,0.09090909090909088,0.00826446280991735,0.8824969025845956,-0.029679819731484258,-3.5912581875095975,-1.7956290937547965
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,90,92,0.18181818181818182,0.03305785123966942,0.6065306597126336,0.017913355831134292,0.5418790138918124,1.083758027783624
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,90,100,0.12856486930664504,0.01652892561983472,0.7788007830714049,-0.1013332430560212,-6.130661204889279,-6.130661204889279
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,90,101,0.09090909090909094,0.00826446280991736,0.8824969025845955,-0.14330684664907434,-17.340128444537985,-8.670064222268993
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,90,102,0.128564869306645,0.016528925619834715,0.778800783071405,-0.10133324305602143,-6.130661204889295,-6.130661204889292
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,91,92,0.09090909090909094,0.00826446280991736,0.8824969025845955,-0.029679819731483592,-3.591258187509512,-1.795629093754756
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,91,93,0.18181818181818188,0.03305785123966944,0.6065306597126334,0.0018757142728558218,0.056740356753888575,0.11348071350777715
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,91,101,0.128564869306645,0.016528925619834715,0.778800783071405,-0.05066662152801049,-3.065330602444634,-3.0653306024446327
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,91,102,0.09090909090909094,0.00826446280991736,0.8824969025845955,-0.08360595096889156,-10.116320067235872,-5.058160033617936
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,91,103,0.12856486930664504,0.01652892561983472,0.7788007830714049,-0.05066662152801027,-3.0653306024446194,-3.0653306024446194
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,91,113,0.18181818181818188,0.03305785123966944,0.6065306597126334,0.016715624138597618,0.5056476301925776,1.0112952603851553
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,92,93,0.09090909090909094,0.00826446280991736,0.8824969025845955,-0.05935963946296763,-7.182516375019079,-3.5912581875095393
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,92,94,0.18181818181818177,0.0330578512396694,0.6065306597126338,-0.011766463900349855,-0.35593553298558334,-0.7118710659711658
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,92,102,0.12856486930664504,0.01652892561983472,0.7788007830714049,-0.1013332430560212,-6.130661204889279,-6.130661204889279
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,92,103,0.09090909090909094,0.00826446280991736,0.8824969025845955,-0.14330684664907434,-17.340128444537985,-8.670064222268993
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,92,104,0.12856486930664504,0.01652892561983472,0.7788007830714049,-0.1013332430560212,-6.130661204889279,-6.130661204889279
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,93,94,0.09090909090909083,0.00826446280991734,0.8824969025845957,-2.220446049250313e-16,-2.686739719592884e-14,-1.3433698597964385e-14
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,93,95,0.18181818181818177,0.0330578512396694,0.6065306597126338,-0.011766463900349633,-0.3559355329855766,-0.7118710659711524
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,93,103,0.12856486930664504,0.01652892561983472,0.7788007830714049,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,93,104,0.09090909090909094,0.00826446280991736,0.8824969025845955,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,93,105,0.12856486930664496,0.016528925619834697,0.7788007830714051,-2.220446049250313e-16,-1.3433698597964405e-14,-1.3433698597964385e-14
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,93,115,0.18181818181818188,0.03305785123966944,0.6065306597126334,0.029850447840091388,0.9029760471627639,1.8059520943255278
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,94,95,0.09090909090909094,0.00826446280991736,0.8824969025845955,-0.05935963946296785,-7.182516375019105,-3.5912581875095526
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,94,96,0.18181818181818188,0.03305785123966944,0.6065306597126334,0.01791335583113418,0.5418790138918086,1.0837580277836172
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,94,104,0.12856486930664496,0.016528925619834697,0.7788007830714051,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,94,105,0.09090909090909094,0.00826446280991736,0.8824969025845955,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,94,106,0.12856486930664504,0.01652892561983472,0.7788007830714049,2.220446049250313e-16,1.3433698597964385e-14,1.3433698597964385e-14
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,94,116,0.18181818181818188,0.03305785123966944,0.6065306597126334,0.029850447840091388,0.9029760471627639,1.8059520943255278
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,95,96,0.09090909090909094,0.00826446280991736,0.8824969025845955,-0.05935963946296785,-7.182516375019105,-3.5912581875095526
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,95,97,0.18181818181818188,0.03305785123966944,0.6065306597126334,0.0018757142728554888,0.0567403567538785,0.113480713507757
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,95,105,0.12856486930664504,0.01652892561983472,0.7788007830714049,-0.10133324305602098,-6.1306612048892655,-6.1306612048892655
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,95,106,0.09090909090909094,0.00826446280991736,0.8824969025845955,-0.14330684664907434,-17.340128444537985,-8.670064222268993
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,95,107,0.12856486930664504,0.01652892561983472,0.7788007830714049,-0.050666621528010714,-3.065330602444646,-3.065330602444646
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,96,97,0.09090909090909094,0.00826446280991736,0.8824969025845955,-0.029679819731483814,-3.5912581875095393,-1.7956290937547696
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,96,98,0.18181818181818188,0.03305785123966944,0.6065306597126334,-0.011766463900349633,-0.3559355329855762,-0.7118710659711524
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,96,106,0.12856486930664504,0.01652892561983472,0.7788007830714049,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,96,107,0.09090909090909094,0.00826446280991736,0.8824969025845955,0.05970089568018255,7.223808377302084,3.611904188651042
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,96,108,0.12856486930664504,0.01652892561983472,0.7788007830714049,0.020986801796526566,1.2697015086898564,1.2697015086898564
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,96,118,0.18181818181818188,0.03305785123966944,0.6065306597126334,0.029850447840091388,0.9029760471627639,1.8059520943255278
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,97,98,0.09090909090909094,0.00826446280991736,0.8824969025845955,-0.029679819731483814,-3.5912581875095393,-1.7956290937547696
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,97,107,0.12856486930664504,0.01652892561983472,0.7788007830714049,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,97,108,0.09090909090909094,0.00826446280991736,0.8824969025845955,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,97,109,0.12856486930664504,0.01652892561983472,0.7788007830714049,2.220446049250313e-16,1.3433698597964385e-14,1.3433698597964385e-14
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,97,119,0.18181818181818188,0.03305785123966944,0.6065306597126334,0.01671562413859773,0.505647630192581,1.011295260385162
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,98,99,0.12856486930664496,0.016528925619834697,0.7788007830714051,-0.10133324305602165,-6.130661204889314,-6.130661204889305
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,98,108,0.12856486930664504,0.01652892561983472,0.7788007830714049,-0.050666621528010714,-3.065330602444646,-3.065330602444646
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,98,109,0.09090909090909094,0.00826446280991736,0.8824969025845955,-0.08360595096889156,-10.116320067235872,-5.058160033617936
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,99,100,0.09090909090909091,0.008264462809917356,0.8824969025845955,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,99,101,0.18181818181818182,0.03305785123966942,0.6065306597126336,0.017913355831134292,0.5418790138918124,1.083758027783624
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,99,108,0.18181818181818177,0.0330578512396694,0.6065306597126338,0.0018757142728554888,0.05674035675387857,0.113480713507757
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,99,109,0.09090909090909083,0.00826446280991734,0.8824969025845957,-0.029679819731484258,-3.591258187509602,-1.7956290937547965
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,99,110,0.09090909090909094,0.00826446280991736,0.8824969025845955,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,99,111,0.12856486930664504,0.01652892561983472,0.7788007830714049,0.020986801796526344,1.2697015086898429,1.2697015086898429
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,99,120,0.12856486930664496,0.016528925619834697,0.7788007830714051,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,100,101,0.09090909090909091,0.008264462809917356,0.8824969025845955,-2.220446049250313e-16,-2.6867397195928788e-14,-1.3433698597964385e-14
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,100,102,0.1818181818181818,0.033057851239669415,0.6065306597126336,0.017913355831134292,0.5418790138918125,1.083758027783624
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,100,109,0.18181818181818177,0.0330578512396694,0.6065306597126338,0.0018757142728555998,0.05674035675388193,0.11348071350776372
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,100,110,0.12856486930664504,0.01652892561983472,0.7788007830714049,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,100,111,0.09090909090909094,0.00826446280991736,0.8824969025845955,0.059700895680182664,7.223808377302098,3.611904188651049
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,100,112,0.12856486930664504,0.01652892561983472,0.7788007830714049,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,101,102,0.09090909090909088,0.00826446280991735,0.8824969025845956,-2.220446049250313e-16,-2.6867397195928804e-14,-1.3433698597964385e-14
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,101,103,0.18181818181818182,0.03305785123966942,0.6065306597126336,0.017913355831134514,0.541879013891819,1.0837580277836374
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,101,111,0.12856486930664504,0.01652892561983472,0.7788007830714049,0.020986801796526566,1.2697015086898564,1.2697015086898564
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,101,112,0.09090909090909094,0.00826446280991736,0.8824969025845955,1.1102230246251565e-16,1.3433698597964385e-14,6.716849298982192e-15
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,101,113,0.128564869306645,0.016528925619834715,0.778800783071405,0.02098680179652679,1.2697015086898704,1.2697015086898698
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,102,103,0.09090909090909094,0.00826446280991736,0.8824969025845955,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,102,104,0.18181818181818188,0.03305785123966944,0.6065306597126334,0.01791335583113418,0.5418790138918086,1.0837580277836172
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,102,112,0.128564869306645,0.016528925619834715,0.778800783071405,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,102,113,0.09090909090909094,0.00826446280991736,0.8824969025845955,0.059700895680182886,7.223808377302125,3.6119041886510623
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,102,114,0.12856486930664504,0.01652892561983472,0.7788007830714049,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,103,104,0.09090909090909094,0.00826446280991736,0.8824969025845955,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,103,105,0.18181818181818177,0.0330578512396694,0.6065306597126338,0.01791335583113418,0.5418790138918093,1.0837580277836172
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,103,113,0.12856486930664504,0.01652892561983472,0.7788007830714049,0.02098680179652679,1.2697015086898698,1.2697015086898698
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,103,114,0.09090909090909094,0.00826446280991736,0.8824969025845955,1.1102230246251565e-16,1.3433698597964385e-14,6.716849298982192e-15
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,103,115,0.12856486930664504,0.01652892561983472,0.7788007830714049,0.02098680179652679,1.2697015086898698,1.2697015086898698
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,104,105,0.09090909090909083,0.00826446280991734,0.8824969025845957,-4.440892098500626e-16,-5.373479439185768e-14,-2.686739719592877e-14
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,104,106,0.18181818181818177,0.0330578512396694,0.6065306597126338,0.01791335583113418,0.5418790138918093,1.0837580277836172
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,104,114,0.12856486930664504,0.01652892561983472,0.7788007830714049,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,104,115,0.09090909090909094,0.00826446280991736,0.8824969025845955,0.059700895680183,7.223808377302138,3.611904188651069
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,104,116,0.12856486930664496,0.016528925619834697,0.7788007830714051,0.020986801796526566,1.2697015086898582,1.2697015086898564
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,105,106,0.09090909090909094,0.00826446280991736,0.8824969025845955,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,105,107,0.18181818181818188,0.03305785123966944,0.6065306597126334,0.0018757142728554888,0.0567403567538785,0.113480713507757
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,105,115,0.12856486930664496,0.016528925619834697,0.7788007830714051,0.020986801796526566,1.2697015086898582,1.2697015086898564
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,105,116,0.09090909090909094,0.00826446280991736,0.8824969025845955,0.059700895680182886,7.223808377302125,3.6119041886510623
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,105,117,0.12856486930664504,0.01652892561983472,0.7788007830714049,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,106,107,0.09090909090909094,0.00826446280991736,0.8824969025845955,-0.029679819731483814,-3.5912581875095393,-1.7956290937547696
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,106,108,0.18181818181818188,0.03305785123966944,0.6065306597126334,0.0018757142728554888,0.0567403567538785,0.113480713507757
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,106,116,0.12856486930664504,0.01652892561983472,0.7788007830714049,0.020986801796526566,1.2697015086898564,1.2697015086898564
