name,theta_E_obs_arcsec,theta_E_BuP_arcsec,log_residual_BuP,Re_arcsec,sersic_n,logMs,Mstar_rel,J_spectral_over_h0,density_pearson,density_rmse,theta_E_baryon_arcsec,log_residual_baryon,name_key,sersic_n_measured,sersic_n_final,n_source,delta_kOR,C_obs,Re_arcsec_used,sersic_n_used,q_used,xi_used,S1_sum,S1_std,S1_phi_rms,S1_phi_abs_mean,S1_phi_std,S1_phi_inner_mean,S1_phi_mid_mean,S1_phi_outer_mean,S1_phi_inner_minus_outer,S1_grad_rms,S1_grad_abs_mean,S1_force_inner_mean,S1_force_outer_mean,S1_force_inner_minus_outer,S2_sum,S2_std,S2_phi_rms,S2_phi_abs_mean,S2_phi_std,S2_phi_inner_mean,S2_phi_mid_mean,S2_phi_outer_mean,S2_phi_inner_minus_outer,S2_grad_rms,S2_grad_abs_mean,S2_force_inner_mean,S2_force_outer_mean,S2_force_inner_minus_outer,S3_sum,S3_std,S3_phi_rms,S3_phi_abs_mean,S3_phi_std,S3_phi_inner_mean,S3_phi_mid_mean,S3_phi_outer_mean,S3_phi_inner_minus_outer,S3_grad_rms,S3_grad_abs_mean,S3_force_inner_mean,S3_force_outer_mean,S3_force_inner_minus_outer
J1100+5329,32.473,15.774301113996067,-0.7220268707707262,10.177,4.0,11.84000015258789,6.918312139914402,1.789213112714907,0.9999966581273918,0.0017882201169328,15.767677719890935,-0.7224468440537826,J1100+5329,4.55,4.55,measured,0.0091634329840274,0.7224468440538153,10.177,4.55,1.0,3.5619499999999995,0.001049808720326889,1.227943081109709e-05,1.092744913734669e-05,6.036293135376616e-06,1.092744913734669e-05,2.1436789630224976e-06,-5.132048551042799e-06,-3.4426673010471915e-06,5.586346264069689e-06,7.762181447091888e-05,3.213364648905182e-05,4.8106720995460305e-05,1.4887242318190854e-07,4.79578485722784e-05,0.4513838240016314,0.003285500664388211,0.002592701845866331,0.0020148291227394957,0.002592701845866331,0.0009796390053740827,-0.0023120383470974035,-0.0016065176743989263,0.0025861566797730088,0.004017926513265493,0.002283885153345755,0.003382861005560037,6.381468697845848e-05,0.003319046318581578,0.9513838240016314,0.005922621922005838,0.004696396105176014,0.003754368204045868,0.004696396105176014,0.002201000352829125,-0.0051301030637180434,-0.003673898347598455,0.0058748987004275804,0.007344821106080886,0.004099050544627533,0.00605463221413749,0.00013413147157551272,0.005920500742561977
J1103+5322,7.588,11.167256205953082,0.3864178912594798,7.779,4.0,11.539999961853027,3.467368199963294,1.7892131127149071,0.9999966581273916,0.001788220116933,11.162251642000626,0.3859696445654346,J1103+5322,3.05,3.05,measured,0.0081444070217517,-0.3859696445654767,7.779,3.05,1.0,2.72265,0.0005312073941571636,5.419722522684379e-06,4.9501353948548685e-06,2.970862617250608e-06,4.9501353948548685e-06,1.1939791273057924e-06,-2.8832577063441682e-06,-1.8926588028790016e-06,3.086637930184794e-06,4.313859677654405e-05,1.8025275005618722e-05,2.6976454013543538e-05,9.995643004668845e-08,2.6876497583496848e-05,0.4276476537350755,0.0027835593908511385,0.0023272843099861615,0.0018664059099697122,0.002327284309986162,0.0009947538651865835,-0.002390368475426832,-0.0015886469853195052,0.0025834008505060888,0.00388398370523595,0.002295905776951914,0.003390557668722503,8.078418749940411e-05,0.003309773481223099,0.9276476537350755,0.005297188404019274,0.004483681353253402,0.0037235282307437625,0.004483681353253402,0.002255096822312766,-0.005369782071142956,-0.0036506052181081083,0.005905702040420874,0.007559473890053147,0.004342350849914326,0.006394629581991147,0.0001749024031691886,0.0062197271788219585
J1106+5228,3.824,9.182199347424593,0.8759697610777837,2.449,4.0,11.369999885559082,2.3442281975923813,1.7892131127149071,0.999996658127392,0.0017882201169326,9.189335520197131,0.8767466339066325,J1106+5228,4.15,4.15,measured,0.0091153906227672,-0.8767466339067849,2.449,4.15,1.0,0.8571499999999999,0.000923683150117958,1.0544406801201299e-05,9.435946969160532e-06,5.288909616119653e-06,9.435946969160532e-06,1.928475852307438e-06,-4.629970389054444e-06,-3.083933020175309e-06,5.012408872482747e-06,0.0002752315429134211,0.00011397367806135903,0.00017061957123830818,5.466790376213207e-07,0.00017007289220068685,1.7538843265633473,0.012495343602552824,0.009981285148170264,0.007775759129302125,0.009981285148170265,0.003865457316458016,-0.0091601332818994,-0.006301695983932655,0.010167153300390672,0.061590298561976085,0.03529288375233856,0.052246357259827333,0.0010353418779152105,0.051211015381912126,2.2538843265633477,0.015054973189845125,0.012024666100250705,0.00948233330612462,0.012024666100250705,0.005095720946594898,-0.012013254338815928,-0.008369629447563667,0.013465350394158564,0.07418508335840862,0.04261509436382948,0.06301850782508145,0.0013290040814220036,0.061689503743659446
J1112+0826,25.802,13.897829394679489,-0.6187193390164496,5.502,4.0,11.729999542236328,5.3703123031766005,1.7892131127149071,0.9999966581273916,0.0017882201169332,13.907813518439596,-0.6180012024698223,J1112+0826,3.65,3.65,measured,0.0088811327771837,0.6180012024698556,5.502,3.65,1.0,1.9256999999999997,0.0007525145929972619,8.252536609714855e-06,7.44526190370013e-06,4.2771251587930965e-06,7.44526190370013e-06,1.6208462134040902e-06,-3.90502096006805e-06,-2.5783638935483094e-06,4.1992101069524e-06,9.480933156635822e-05,3.935447255297337e-05,5.890882195234371e-05,1.993264220761135e-07,5.87094955302676e-05,0.7070181962701464,0.004870729020662728,0.003961696646687946,0.0031264938697748977,0.003961696646687946,0.0015929678990683103,-0.0037969129215664208,-0.0025749586747068226,0.004167926573775133,0.010319418770118416,0.0059806687996264325,0.008846749589213667,0.00018704230785633808,0.008659707281357329,1.2070181962701467,0.007419921999390439,0.0060651185065635745,0.004875092829588066,0.0060651185065635745,0.0028358175676749206,-0.006701164709610574,-0.004642105561089108,0.007477923128764028,0.015833148804773347,0.009093545405229284,0.013422544171540748,0.00031870403601905574,0.013103840135521693
J1134+6027,7.788,10.788187223816744,0.325867672438624,5.369,4.0,11.510000228881836,3.2359382746997105,1.789213112714908,0.9999966581273916,0.0017882201169331,10.78491164165174,0.3255639995902677,J1134+6027,4.35,4.35,measured,0.0091467975678514,-0.3255639995903033,5.369,4.35,1.0,1.8791499999999999,0.000987977455924527,1.1424379918451085e-05,1.0194047756324924e-05,5.667704122168535e-06,1.0194047756324924e-05,2.039353498192689e-06,-4.889164665425796e-06,-3.268249327344963e-06,5.307602825537652e-06,0.0001364864532039609,5.6509176709214234e-05,8.459697321412867e-05,2.6613531591275574e-07,8.433083789821591e-05,0.8282771610794158,0.005967471390173041,0.00473684869745854,0.003683921027096909,0.00473684869745854,0.0018110844585719275,-0.004282804157354297,-0.0029615336769334144,0.004772618135505342,0.013618101886803234,0.007771495716343268,0.011507888529053961,0.0002224770960197569,0.011285411433034204,1.3282771610794157,0.008565263043053674,0.006808557572668523,0.005379333653614752,0.006808557572668523,0.0030367758665663285,-0.007117818203689363,-0.005029285262575955,0.008066061129142283,0.019641073261710842,0.011163694423635887,0.016499705347346395,0.0003560840816718127,0.016143621265674583
J1142+1001,12.591,11.29660086551371,-0.1084804009147881,4.435,4.0,11.550000190734863,3.548135450617081,1.7892131127149071,0.9999966581273916,0.001788220116933,11.304747056987676,-0.1077595419771131,J1142+1001,3.1500000000000004,3.1500000000000004,measured,0.0083253380787379,0.10775954197712202,4.435,3.1500000000000004,1.0,1.5522499999999997,0.0005688735922178142,5.890025940793848e-06,5.367216152967304e-06,3.1924513741962524e-06,5.367216152967304e-06,1.2691336921012214e-06,-3.064683898654416e-06,-2.0118508697504692e-06,3.2809845618516906e-06,8.257251703630516e-05,3.444789811299315e-05,5.1556635283481574e-05,1.8770231900480486e-07,5.136893296447677e-05,0.772275515099993,0.005082678440879573,0.00422766574602877,0.00338219147839352,0.00422766574602877,0.001786063735340899,-0.004285644518560136,-0.002858610422803463,0.004644674158144362,0.012593928679569854,0.007417516130386875,0.010957590629077918,0.0002554519604574044,0.010702138668620513,1.272275515099993,0.007584414556904102,0.006349738263634516,0.005178247606087499,0.006349738263634515,0.003043303444431778,-0.007251292969636556,-0.004921920808090563,0.007965224252522341,0.018954340341941198,0.011057191531021788,0.01630186177372375,0.00042021440452081086,0.015881647369202938
J1143-0144,6.349,11.965974046820085,0.6337698058668626,5.165,4.0,11.600000381469728,3.981075202376568,1.7892131127149071,0.9999966581273916,0.0017882201169332,11.974485195423206,0.6344808322407154,J1143-0144,5.0,5.0,measured,0.0091176481993885,-0.6344808322407895,5.165,5.0,1.0,1.80775,0.0011800352491434635,1.4105879732677e-05,1.2483520082055324e-05,6.825149444569442e-06,1.2483520082055324e-05,2.356253363012371e-06,-5.623949094567762e-06,-3.801064357481727e-06,6.157317720494098e-06,0.00017660459736934387,7.309803041639881e-05,0.00010943824111448612,3.282357984440976e-07,0.00010911000531604202,0.9452909344325112,0.007014045124644558,0.005469734153102278,0.00424616195484472,0.005469734153102278,0.0020209584000132554,-0.0047499256811993,-0.003333907918853723,0.005354866318866978,0.017123501186932594,0.009685445926663165,0.014350550065489766,0.0002620669329492429,0.014088483132540524,1.4452909344325113,0.00965000381736849,0.007518416084343384,0.0058887801069617595,0.007518416084343384,0.0032333869624368954,-0.00753357163403064,-0.005399976215716943,0.008633363178153839,0.02365753035937703,0.013350811471363466,0.019747860150043695,0.0003999420750577069,0.01934791807498599
J1153+4612,9.652,8.768947574729774,-0.0959483514610446,3.521,4.0,11.329999923706056,2.137961713919416,1.7892131127149065,0.9999966581273916,0.0017882201169331,8.77525772851837,-0.0952290080708335,J1153+4612,3.55,3.55,measured,0.0088128866711781,0.095229008070844,3.521,3.55,1.0,1.2323499999999998,0.0007166320536460313,7.782458841047866e-06,7.033965068674722e-06,4.064856058412693e-06,7.033965068674722e-06,1.5539583267189706e-06,-3.746213156331857e-06,-2.469620150544025e-06,4.023578477262996e-06,0.00013931986205328346,5.787281915635429e-05,8.662651355670849e-05,2.9692198465440906e-07,8.632959157205409e-05,1.0793651995068694,0.007376218769276402,0.0060241015469659235,0.004767614435406632,0.006024101546965924,0.002443817048470653,-0.005832275587891852,-0.003942992605990755,0.006386809654461408,0.024138839125150892,0.014031554443076327,0.02075088001433149,0.00044686441441089915,0.02030401559992059,1.5793651995068696,0.009902221590160696,0.008110888559777044,0.006467212236380175,0.008110888559777044,0.0036893955605017173,-0.008747900213975243,-0.006009682028031621,0.009699077588533339,0.03248867312555505,0.018844345452163833,0.027824102733007075,0.0006529335100632677,0.027171169222943808
J1204+0358,10.357,10.068081927913177,-0.0282924049101658,3.068,4.0,11.449999809265137,2.818381693478142,1.7892131127149071,0.9999966581273918,0.0017882201169334,10.075694839400816,-0.0275365474621778,J1204+0358,2.95,2.95,measured,0.0079411447588113,0.027536547462180632,3.068,2.95,1.0,1.0737999999999999,0.0004934336734785589,4.9534521151768505e-06,4.535435580730762e-06,2.749106788559449e-06,4.535435580730763e-06,1.1175044459120176e-06,-2.6978545255870325e-06,-1.7721632580610337e-06,2.889667703973051e-06,9.952199192858748e-05,4.1670167068303154e-05,6.236001601334494e-05,2.3540312583551733e-07,6.212461288750942e-05,1.0500490028891099,0.006752868245302009,0.005676712698573284,0.004564871712845256,0.005676712698573284,0.002457259882946145,-0.005913504472324774,-0.0039155350594598055,0.00637279494240595,0.023396689803125436,0.013896667743025096,0.020512752933244626,0.0005038148595319119,0.020008938073712713,1.5500490028891099,0.00922648676396997,0.007797689420236116,0.006359354635698159,0.007797689420236116,0.0037207797997617516,-0.008907243053296269,-0.005975876145750738,0.00969665594551249,0.03216867187587725,0.019009818790318014,0.028016448653339757,0.0007429383029613388,0.027273510350378418
J1205+4910,14.904,13.738786075654424,-0.0814067000693894,6.248,4.0,11.720000267028809,5.248077829311783,1.7892131127149071,0.9999966581273916,0.0017882201169331,13.748472142645085,-0.0807019322591804,J1205+4910,4.45,4.45,measured,0.0091575699982273,0.08070193225918618,6.248,4.45,1.0,2.1868,0.0010192010103954687,1.185512515967244e-05,1.0563905609926854e-05,5.8512481417664945e-06,1.0563905609926856e-05,2.0923145766997193e-06,-5.012585613947125e-06,-3.356672692851746e-06,5.448987269551465e-06,0.00012189258022968378,5.04632563497929e-05,7.554683034826425e-05,2.356685490876134e-07,7.531116179917663e-05,0.7233746552518485,0.005238735233416608,0.004145987594302987,0.00322358376275703,0.004145987594302987,0.001575756503652531,-0.00372254963290991,-0.0025804763817002157,0.004156232885352747,0.010337804335939936,0.005888559600041494,0.008720715272372762,0.00016676824400815008,0.008553947028364612,1.2233746552518483,0.007848874741101209,0.006222722179174675,0.004914141990141096,0.006222722179174675,0.0027992535384683253,-0.006548951027986109,-0.004648063125887199,0.007447316664355524,0.015590012643556812,0.008824739838775781,0.013042013629661845,0.0002814386253608528,0.012760575004300992
J1213+6708,6.917,10.542582467578384,0.421440379382503,3.315,4.0,11.489999771118164,3.09029380386682,1.7892131127149071,0.9999966581273916,0.0017882201169332,10.55049378316763,0.4221905133000192,J1213+6708,3.75,3.75,measured,0.0089574523705583,-0.42219051330006907,3.315,3.75,1.0,1.16025,0.0007878819495301648,8.719562831975173e-06,7.852859745115178e-06,4.486369613141952e-06,7.852859745115178e-06,1.685940589602335e-06,-4.059153028838333e-06,-2.684609329571009e-06,4.370549919173344e-06,0.0001666966427144915,6.914978754307273e-05,0.00010351091616379465,3.460092347448932e-07,0.00010316490692904975,1.1988491274682613,0.00832089478758763,0.006741519040046262,0.005306625302224223,0.006741519040046263,0.0026884537950357334,-0.006400176444367717,-0.004353638735775206,0.00704209253081094,0.029455138812200642,0.01703017632584864,0.02519556687677062,0.000525635592299547,0.024669931284471074,1.698849127468261,0.010860190086936432,0.008815097298907192,0.007009033481034981,0.008815097298907192,0.003928647221660451,-0.009293463434656563,-0.006421125451985242,0.010349772673645693,0.03850179847879669,0.022249206239906703,0.03286871943618854,0.0007438195535134048,0.03212489988267514
