model,galaxy,true_f_lambda_opt,pred_f_lambda,exact_factor_match,abs_factor_error,best_possible_error,best_possible_verdict,bridge_error_pred,bridge_verdict_pred,beta_grav_pred,beta_mod_bridge_pred,beta_mod_ML_pred
rf_regressor,ESO563-G021,1.0,1.5,False,0.5,0.0692329191269053,strong_bridge,0.2411115901838041,moderate_bridge,0.6513158575210247,1.6551711700812888,2.1810468425551184
rf_regressor,F561-1,0.5,0.5,True,0.0,0.0703859295313319,strong_bridge,0.0703859295313319,strong_bridge,0.4620087296565471,1.3284270673872005,1.4290092088617692
rf_regressor,F563-1,1.0,1.0,True,0.0,0.0488522289673015,strong_bridge,0.0488522289673015,strong_bridge,0.482527397064064,1.3638422873325746,1.433891061797682
rf_regressor,F563-V1,2.0,1.0,False,1.0,0.2285129626403231,moderate_bridge,0.2555735129553389,moderate_bridge,0.792289726709607,1.898492068300781,2.550274743497787
rf_regressor,F563-V2,0.5,1.0,False,0.5,0.2304293295177996,moderate_bridge,0.2803502404839968,moderate_bridge,0.7373894973403092,1.8037342724093737,2.506405718279495
rf_regressor,F565-V2,0.5,0.5,True,0.0,0.0336834135194078,strong_bridge,0.0336834135194078,strong_bridge,0.5251766984554376,1.4374549815340854,1.487561117800347
rf_regressor,F567-2,0.5,0.5,True,0.0,0.0767029850347504,strong_bridge,0.0767029850347504,strong_bridge,0.5429728150317104,1.468171078744732,1.590139527094637
rf_regressor,F568-1,1.0,1.0,True,0.0,0.0710361440313594,strong_bridge,0.0710361440313594,strong_bridge,0.6155828385684323,1.593495979369114,1.4878078468680114
rf_regressor,F568-3,0.5,0.5,True,0.0,0.0410342126483761,strong_bridge,0.0410342126483761,strong_bridge,0.519934689835559,1.428407274656175,1.4895289211526594
rf_regressor,F568-V1,3.0,2.0,False,1.0,0.2336924861939182,moderate_bridge,0.2451701361781453,moderate_bridge,0.7525848069243857,1.8299613767514893,2.424336217284818
rf_regressor,F571-8,2.0,1.5,False,0.5,0.0106469819354486,strong_bridge,0.1356647942869685,strong_bridge,0.4286405502586241,1.2708335897463852,1.4703017779982868
rf_regressor,F571-V1,0.5,0.5,True,0.0,0.0511370071332746,strong_bridge,0.0511370071332746,strong_bridge,0.5031703376364236,1.3994720027604672,1.4748936498538658
rf_regressor,F574-1,0.5,1.0,False,0.5,0.1837503507612235,strong_bridge,0.2781925001362047,moderate_bridge,0.6658212194204851,1.6802074247197574,2.3277777316484127
rf_regressor,F574-2,0.5,0.5,True,0.0,0.046482722658153,strong_bridge,0.046482722658153,strong_bridge,0.5905236359644284,1.5502437956746036,1.6258161572030154
rf_regressor,F579-V1,0.5,0.5,True,0.0,0.0737966946280181,strong_bridge,0.0737966946280181,strong_bridge,0.4641546703073214,1.3321309609504368,1.4382705753953515
