model,galaxy,true_f_lambda_opt,pred_f_lambda,exact_factor_match,abs_factor_error,best_possible_error,best_possible_verdict,bridge_error_pred,bridge_verdict_pred,beta_grav_pred,beta_mod_bridge_pred,beta_mod_ML_pred
fixed_f_0.5,NGC4389,0.5,0.5,True,0.0,0.0489131274046016,strong_bridge,0.0489131274046016,strong_bridge,0.6277410141683646,1.6144809904545974,1.6975115911850185
fixed_f_0.5,NGC4559,0.5,0.5,True,0.0,0.1449942366179899,strong_bridge,0.1449942366179899,strong_bridge,0.4321922613208278,1.2769638430397487,1.49351489513786
fixed_f_0.5,NGC5005,2.0,0.5,False,1.5,0.0890620940901948,strong_bridge,0.3961960577730372,failed_bridge,0.2015313970591603,0.8788431913241108,1.4555108535441856
fixed_f_0.5,NGC5033,3.0,0.5,False,2.5,0.0006773456954546,strong_bridge,0.2407073694517327,moderate_bridge,0.3335136024029594,1.106644477747508,1.4574676919337757
fixed_f_0.5,NGC5055,2.0,0.5,False,1.5,0.0742838614423799,strong_bridge,0.4201883520924649,failed_bridge,0.2758269338726677,1.007077287864225,1.7369042024226935
fixed_f_0.5,NGC5371,0.5,0.5,True,0.0,0.1757005985757199,strong_bridge,0.1757005985757199,strong_bridge,0.5426931777019206,1.467688424713515,1.7805283155338263
fixed_f_0.5,NGC5585,1.0,0.5,False,0.5,0.1511133549515187,strong_bridge,0.4703805498283958,failed_bridge,0.2234675006253033,0.9167049060792736,1.730874698393815
fixed_f_0.5,NGC5907,0.5,0.5,True,0.0,0.1382483503792292,strong_bridge,0.1382483503792292,strong_bridge,0.4175347547784804,1.2516649867476572,1.452466017672812
fixed_f_0.5,NGC5985,0.5,0.5,True,0.0,0.0795669424849281,strong_bridge,0.0795669424849281,strong_bridge,0.6181545519885061,1.5979347567321611,1.4801627336365666
fixed_f_0.5,NGC6015,0.5,0.5,True,0.0,0.1844965471070082,strong_bridge,0.1844965471070082,strong_bridge,0.4847164477877927,1.3676205888817303,1.6770261168485645
fixed_f_0.5,NGC6195,2.0,0.5,False,1.5,0.0195604417407559,strong_bridge,0.3883894475272918,failed_bridge,0.2014378461324821,0.8786817224246642,1.4366686756338685
fixed_f_0.5,NGC6503,1.0,0.5,False,0.5,0.0589696727216884,strong_bridge,0.3027938066497459,moderate_bridge,0.3972702785248951,1.216688500733969,1.745091355094638
fixed_f_0.5,NGC6674,0.5,0.5,True,0.0,0.2368010122459769,moderate_bridge,0.2368010122459769,moderate_bridge,0.4580431959246493,1.3215825561659449,1.7316356250093548
fixed_f_0.5,NGC6789,2.0,0.5,False,1.5,0.2426066952012918,moderate_bridge,0.2723802401359873,moderate_bridge,0.6851692506300431,1.7136021265874546,2.355079151379445
fixed_f_0.5,NGC6946,3.0,0.5,False,2.5,0.1131037374538088,strong_bridge,0.3099539896784685,moderate_bridge,0.2570552246710946,0.9746773177823094,1.4124816363015449
fixed_f_0.5,NGC7331,1.0,0.5,False,0.5,0.1614786671750333,strong_bridge,0.477820929053621,failed_bridge,0.2354008641622742,0.9373018915440854,1.7949817288643002
fixed_f_0.5,NGC7793,1.0,0.5,False,0.5,0.0689749510974511,strong_bridge,0.3765859421567115,failed_bridge,0.2519206926397976,0.9658151154962908,1.5492353811165962
fixed_f_0.5,NGC7814,2.0,0.5,False,1.5,0.0644552170614978,strong_bridge,0.4205537766444739,failed_bridge,0.2887927101317551,1.0294562176874094,1.77662080827089
fixed_f_0.5,PGC51017,0.5,0.5,True,0.0,0.0548601665547268,strong_bridge,0.0548601665547268,strong_bridge,0.4992783244791015,1.3927543880509292,1.473596116432833
fixed_f_0.5,UGC00128,1.0,0.5,False,0.5,0.0972052060851172,strong_bridge,0.3735531190985733,failed_bridge,0.320016307978842,1.0833481475714817,1.7293535662793884
fixed_f_0.5,UGC00191,0.5,0.5,True,0.0,0.1407297574407844,strong_bridge,0.1407297574407844,strong_bridge,0.4016242677051651,1.2242034860591149,1.4247013633487375
fixed_f_0.5,UGC00634,2.0,0.5,False,1.5,0.1029040877828663,strong_bridge,0.1449174137127227,strong_bridge,0.4004147131304201,1.2221157948631052,1.4292371455831727
fixed_f_0.5,UGC00731,0.5,0.5,True,0.0,0.1329156430380909,strong_bridge,0.1329156430380909,strong_bridge,0.4080743137323264,1.2353362655019953,1.4247013633487375
fixed_f_0.5,UGC00891,1.5,0.5,False,1.0,0.1335414543643895,strong_bridge,0.1664618890823681,strong_bridge,0.382574525134824,1.1913236303827062,1.4292371455831727
fixed_f_0.5,UGC01230,1.0,0.5,False,0.5,0.0692444639834719,strong_bridge,0.3860033667817164,failed_bridge,0.30098633151343,1.0505024081921803,1.7109253558703363
fixed_f_0.5,UGC01281,0.5,0.5,True,0.0,0.2518397939067665,moderate_bridge,0.2518397939067665,moderate_bridge,0.683099134906461,1.7100291068485518,2.285645631672975
fixed_f_0.5,UGC02023,0.5,0.5,True,0.0,0.0339452447731206,strong_bridge,0.0339452447731206,strong_bridge,0.6825759065142396,1.7091260146435774,1.6530140481652025
fixed_f_0.5,UGC02259,0.5,0.5,True,0.0,0.0144718546939287,strong_bridge,0.0144718546939287,strong_bridge,0.5925003868819951,1.5536556677583238,1.531492136099793
fixed_f_0.5,UGC02455,0.5,0.5,True,0.0,0.0238804245266532,strong_bridge,0.0238804245266532,strong_bridge,0.6022714466282566,1.570520516880371,1.5338905591504333
fixed_f_0.5,UGC02487,1.5,0.5,False,1.0,0.2011772028715429,moderate_bridge,0.3369178281640174,moderate_bridge,0.3465202054235798,1.1290938745610988,1.702796308690964
fixed_f_0.5,UGC02885,2.0,0.5,False,1.5,0.1381803432100891,strong_bridge,0.3750525276295616,failed_bridge,0.2122346910905821,0.8973170768223449,1.4358279959414877
fixed_f_0.5,UGC02916,3.0,0.5,False,2.5,0.0025125424878091,strong_bridge,0.2898601010104979,moderate_bridge,0.2675542125629837,0.99279857088371,1.3980323768547842
fixed_f_0.5,UGC02953,0.5,0.5,True,0.0,0.0029791832574005,strong_bridge,0.0029791832574005,strong_bridge,0.5379882389559141,1.4595677004379075,1.4639290132441878
fixed_f_0.5,UGC03205,3.0,0.5,False,2.5,0.052911589111756,strong_bridge,0.3056816217245786,moderate_bridge,0.3840431599506606,1.1938584940748402,1.7194683756466285
fixed_f_0.5,UGC03546,2.0,0.5,False,1.5,0.1073612702987559,strong_bridge,0.342726302762723,moderate_bridge,0.2444326342988856,0.9528907267998766,1.4497624517840415
fixed_f_0.5,UGC03580,3.0,0.5,False,2.5,0.1729658467105876,strong_bridge,0.2376738238963273,moderate_bridge,0.3248918887106256,1.0917633999145395,1.432147332910244
fixed_f_0.5,UGC04278,0.5,0.5,True,0.0,0.0029674735786408,strong_bridge,0.0029674735786408,strong_bridge,0.5585144054453193,1.494995863798621,1.4994454284902796
fixed_f_0.5,UGC04305,1.0,0.5,False,0.5,0.1994349499025243,strong_bridge,0.2536910340693532,moderate_bridge,0.635417269619651,1.6277302073635176,2.181040670379377
fixed_f_0.5,UGC04325,0.5,0.5,True,0.0,0.2727181775671535,moderate_bridge,0.2727181775671535,moderate_bridge,0.6684594586683663,1.6847610256616004,2.316517440276273
fixed_f_0.5,UGC04483,0.5,0.5,True,0.0,0.076672156016291,strong_bridge,0.076672156016291,strong_bridge,0.5108578995611985,1.4127407346426288,1.5300532133281524
fixed_f_0.5,UGC04499,1.5,0.5,False,1.0,0.1343833779007635,strong_bridge,0.1628305702161311,strong_bridge,0.385581486786668,1.196513646193789,1.4292371455831727
fixed_f_0.5,UGC05005,0.5,0.5,True,0.0,0.117137750817056,strong_bridge,0.117137750817056,strong_bridge,0.4383439892442329,1.2875817254355462,1.458417467308354
fixed_f_0.5,UGC05253,0.5,0.5,True,0.0,0.0045642533310297,strong_bridge,0.0045642533310297,strong_bridge,0.5366438414652936,1.4572472703690968,1.4639290132441878
fixed_f_0.5,UGC05414,0.5,0.5,True,0.0,0.0602756876988976,strong_bridge,0.0602756876988976,strong_bridge,0.5591796107006424,1.4961440080693087,1.5921095032709134
fixed_f_0.5,UGC05716,3.0,0.5,False,2.5,0.243865067627534,moderate_bridge,0.3048659855174788,moderate_bridge,0.4016370100633575,1.224225479369355,1.7611359160444846
fixed_f_0.5,UGC05721,1.5,0.5,False,1.0,0.0513874099983161,strong_bridge,0.4235447777007632,failed_bridge,0.2724493036616757,1.0012474981200523,1.7369042024226935
fixed_f_0.5,UGC05750,2.0,0.5,False,1.5,0.2108156599951271,moderate_bridge,0.28087341080073,moderate_bridge,0.6010685621059157,1.5684443381948108,2.181040670379377
fixed_f_0.5,UGC05764,0.5,0.5,True,0.0,0.0554388700827062,strong_bridge,0.0554388700827062,strong_bridge,0.4769608291271083,1.3542343910733892,1.433718102704445
fixed_f_0.5,UGC05829,2.0,0.5,False,1.5,0.2610321624327157,moderate_bridge,0.2668846174368732,moderate_bridge,0.6663751146323111,1.681163447855369,2.2931771557945835
fixed_f_0.5,UGC05918,1.0,0.5,False,0.5,0.1610496707873508,strong_bridge,0.17309859487756,strong_bridge,0.7363830287645534,1.80199710764762,2.1792164053473777
fixed_f_0.5,UGC05986,1.0,0.5,False,0.5,0.1747769885685193,strong_bridge,0.2203888841720993,moderate_bridge,0.6641743636882667,1.677364951725948,2.1515405792344127
fixed_f_0.5,UGC05999,0.5,0.5,True,0.0,0.0517236828454416,strong_bridge,0.0517236828454416,strong_bridge,0.5026690141819632,1.3986067184780686,1.4748936498538658
fixed_f_0.5,UGC06399,0.5,0.5,True,0.0,0.1428491464158061,strong_bridge,0.1428491464158061,strong_bridge,0.6800868327283434,1.7048298732891207,1.4917365766390025
fixed_f_0.5,UGC06446,1.0,0.5,False,0.5,0.0043482132181647,strong_bridge,0.3475106930333442,moderate_bridge,0.281912795401535,1.0175814848630496,1.5595374115687248
fixed_f_0.5,UGC06614,1.0,0.5,False,0.5,0.090967291201185,strong_bridge,0.4769535089553741,failed_bridge,0.2315953653641198,0.9307336006184708,1.7794471744942104
fixed_f_0.5,UGC06628,0.5,0.5,True,0.0,0.0488340667834896,strong_bridge,0.0488340667834896,strong_bridge,0.5709781070379969,1.5165082127475826,1.5943676700229186
fixed_f_0.5,UGC06667,2.0,0.5,False,1.5,0.2313851845421675,moderate_bridge,0.274243112909341,moderate_bridge,0.6827193642559646,1.7093736227057947,2.355297831975332
fixed_f_0.5,UGC06786,0.5,0.5,True,0.0,0.1313932628418167,strong_bridge,0.1313932628418167,strong_bridge,0.419714203090112,1.2554267145335332,1.4453338442215025
fixed_f_0.5,UGC06787,0.5,0.5,True,0.0,0.0064034882080604,strong_bridge,0.0064034882080604,strong_bridge,0.5358308144562645,1.4558439857515126,1.4652265466652206
fixed_f_0.5,UGC06818,0.5,0.5,True,0.0,0.0509007600812331,strong_bridge,0.0509007600812331,strong_bridge,0.4832337832591284,1.3650615099052557,1.4382705753953515
fixed_f_0.5,UGC06917,0.5,0.5,True,0.0,0.0014703484017694,strong_bridge,0.0014703484017694,strong_bridge,0.5478133625297383,1.4765258637263283,1.4787000680080202
fixed_f_0.5,UGC06923,0.5,0.5,True,0.0,0.0626836310224968,strong_bridge,0.0626836310224968,strong_bridge,0.4773198420427971,1.3548540473658677,1.4454607773934929
fixed_f_0.5,UGC06930,0.5,0.5,True,0.0,0.0345674133968302,strong_bridge,0.0345674133968302,strong_bridge,0.5166035401483984,1.4226577102961355,1.473596116432833
fixed_f_0.5,UGC06973,1.5,0.5,False,1.0,0.0266543180865003,strong_bridge,0.3854546319324641,failed_bridge,0.2080449004477544,0.8900854981728242,1.4483641801283704
fixed_f_0.5,UGC06983,1.0,0.5,False,0.5,0.0323893912271661,strong_bridge,0.2148591317440737,moderate_bridge,0.3886461961861525,1.2018033346172992,1.5306849805015583
fixed_f_0.5,UGC07089,0.5,0.5,True,0.0,0.2330150895688553,moderate_bridge,0.2330150895688553,moderate_bridge,0.6489677055606609,1.6511182597977003,2.152738909647595
fixed_f_0.5,UGC07125,0.5,0.5,True,0.0,0.0988386897434697,strong_bridge,0.0988386897434697,strong_bridge,0.4639145494472025,1.3317165123458716,1.477778170444065
fixed_f_0.5,UGC07151,0.5,0.5,True,0.0,0.1090553215628541,strong_bridge,0.1090553215628541,strong_bridge,0.4324238203844301,1.2773635139835269,1.433718102704445
fixed_f_0.5,UGC07232,0.5,0.5,True,0.0,0.0004148167261335,strong_bridge,0.0004148167261335,strong_bridge,0.6356653578143345,1.6281584075875415,1.6288340752060333
fixed_f_0.5,UGC07261,0.5,0.5,True,0.0,0.048746291890746,strong_bridge,0.048746291890746,strong_bridge,0.5893964722702929,1.5482983111385256,1.4763325726255063
fixed_f_0.5,UGC07323,2.0,0.5,False,1.5,0.2533041703214814,moderate_bridge,0.2761232883437545,moderate_bridge,0.6668925198026949,1.6820564891794514,2.3236781375807354
fixed_f_0.5,UGC07399,1.0,0.5,False,0.5,0.1078787269883864,strong_bridge,0.491184301545,failed_bridge,0.2161765387474847,0.9041207058781588,1.7769119715124508
fixed_f_0.5,UGC07524,0.5,0.5,True,0.0,0.061858148444756,strong_bridge,0.061858148444756,strong_bridge,0.4933037016888266,1.3824421891149148,1.473596116432833
fixed_f_0.5,UGC07559,0.5,0.5,True,0.0,0.0390209116607027,strong_bridge,0.0390209116607027,strong_bridge,0.6142829405860972,1.591252355451604,1.531492136099793
fixed_f_0.5,UGC07577,0.5,0.5,True,0.0,0.113336074004245,strong_bridge,0.113336074004245,strong_bridge,0.8086422660276416,1.9267165511637088,2.1729953082279043
fixed_f_0.5,UGC07603,0.5,0.5,True,0.0,0.0606292531863391,strong_bridge,0.0606292531863391,strong_bridge,0.4734497001790574,1.348174182509053,1.435188595218715
fixed_f_0.5,UGC07608,0.5,0.5,True,0.0,0.1206061979297792,strong_bridge,0.1206061979297792,strong_bridge,0.4288118474944615,1.2711292487754406,1.4454607773934929
