name,theta_E_obs_arcsec,theta_E_BuP_arcsec,log_residual_BuP,Re_arcsec,sersic_n,logMs,Mstar_rel,J_spectral_over_h0,density_pearson,density_rmse,theta_E_baryon_arcsec,log_residual_baryon,name_key,sersic_n_measured,sersic_n_final,n_source,delta_kOR,C_obs,ds_mean,ds_slope,ds_fit_r2,ds_nfit,sersic_n_used,sersic_n_source,q_used,xi_used,amp_used,dw_discrete_fixed,dw_discrete_fixed_slope,dw_discrete_fixed_r2,dw_discrete_fixed_nfit,dw_discrete_adaptive,dw_discrete_adaptive_slope,dw_discrete_adaptive_r2,dw_discrete_adaptive_nfit,dw_discrete_adaptive_method,dw_heat_norm_adaptive,dw_heat_norm_slope,dw_heat_norm_r2,dw_heat_norm_nfit,dw_heat_norm_method,dw_heat_raw_adaptive,dw_heat_raw_slope,dw_heat_raw_r2,dw_heat_raw_nfit,dw_heat_raw_method,alpha_eff_dw_discrete_fixed,alpha_eff_dw_discrete_adaptive,alpha_eff_dw_heat_norm_adaptive,alpha_eff_dw_heat_raw_adaptive
J1016+3859,8.984,10.421898259797375,0.1484639769419398,4.191,4.0,11.479999542236328,3.0199485372543653,1.7892131127149071,0.9999966581273916,0.0017882201169331,10.429375942377712,0.1491812168408923,J1016+3859,4.25,4.25,measured,0.0091283829740362,-0.1491812168408923,1.6881443128854567,-0.8440721564427284,0.8884757465563843,39,4.25,sersic_n_final,1.0,1.4668499999999998,1.0,4.774493478890973,0.418892602711139,0.7471488478737109,25,2.1676776305032512,0.9226464174636876,0.9946126758494449,6,best_contiguous,2.1364960358067293,0.9361121979544469,0.9993164080343196,33,fraction_window,2.6785339130465275,0.7466771244741224,0.9898175273763876,41,fraction_window,1.4816446438675692,-0.2747620670512836,-0.28321148099376625,-0.060967345710816634
J1020+1122,21.84,15.06426378096754,-0.371417848989565,6.782,4.0,11.800000190734863,6.309576215861531,1.7892131127149065,0.9999966581273916,0.0017882201169333,15.074920558051543,-0.3707106780583116,J1020+1122,4.05,4.05,measured,0.0091004436738286,0.3707106780583116,1.6882025763851614,-0.8441012881925807,0.8884702024188355,39,4.05,sersic_n_final,1.0,2.3737,1.0,4.771905275460237,0.4191198032125869,0.7471736531927979,25,2.1666371048248623,0.9230895176429039,0.994589516050448,6,best_contiguous,2.138128767430341,0.9353973579447472,0.9993197988423479,33,fraction_window,2.6700463298277106,0.7490506728881567,0.9898884332875016,41,fraction_window,1.479464407057768,-0.27500079325625126,-0.2827310029434633,-0.06540439435946421
J1023+4230,14.32,11.559690776324896,-0.2141330480988883,5.632,4.0,11.56999969482422,3.71534968021985,1.7892131127149071,0.9999966581273916,0.0017882201169333,11.567795508573568,-0.2134321736086297,J1023+4230,3.75,3.75,measured,0.0089574523705613,0.2134321736086297,1.688306011365568,-0.844153005682784,0.8884603344580723,39,3.75,sersic_n_final,1.0,1.9711999999999998,1.0,4.7678235185698865,0.4194786137134333,0.7471941150378953,25,2.1649130069738205,0.9238246495620899,0.9945484554301687,6,best_contiguous,2.1407735353318604,0.9342417434593155,0.9993262947915412,33,fraction_window,2.6561778564493115,0.7529616268518751,0.9900127503117171,41,fraction_window,1.476031783741571,-0.27538828372281365,-0.2819405131171284,-0.07259250260907013
J1029+0420,3.666,8.374269081873141,0.8260626506786912,2.979,4.0,11.289999961853027,1.949844428490234,1.789213112714908,0.9999966581273918,0.0017882201169331,8.380405346163293,0.8267951345703795,J1029+0420,3.25,3.25,measured,0.0084633731612585,-0.8267951345703795,1.6885378536971818,-0.8442689268485909,0.8884381261096016,39,3.25,sersic_n_final,1.0,1.04265,1.0,4.76053410380694,0.4201209268515953,0.7471534438184386,25,2.1614912660572116,0.9252871068261179,0.9944565415838612,6,best_contiguous,2.1457753102480264,0.9320640378553072,0.9993423280813956,33,fraction_window,2.656229386889826,0.752947019512421,0.9894184359035023,42,fraction_window,1.4699241919262036,-0.27612642852894,-0.2803992797634445,-0.07239106883498048
J1100+5329,32.473,15.774301113996067,-0.7220268707707262,10.177,4.0,11.84000015258789,6.918312139914402,1.789213112714907,0.9999966581273918,0.0017882201169328,15.767677719890935,-0.7224468440537826,J1100+5329,4.55,4.55,measured,0.0091634329840274,0.7224468440537826,1.6880695658659959,-0.8440347829329979,0.8884828409748524,39,4.55,sersic_n_final,1.0,3.5619499999999995,1.0,4.778176131541278,0.41856975233662386,0.747100511798668,25,2.1690998999791185,0.9220414421757401,0.994642429904724,6,best_contiguous,2.134223156267814,0.9371091275653975,0.9993124262869366,33,fraction_window,2.6681848313311383,0.7495732591367047,0.9897104305931287,42,fraction_window,1.4847509916528,-0.27443000301682297,-0.2838714455938032,-0.06648336253320508
J1103+5322,7.588,11.167256205953082,0.3864178912594798,7.779,4.0,11.539999961853027,3.467368199963294,1.7892131127149071,0.9999966581273916,0.001788220116933,11.162251642000626,0.3859696445654346,J1103+5322,3.05,3.05,measured,0.0081444070217517,-0.3859696445654346,1.6886599299606315,-0.8443299649803158,0.8884263952409189,39,3.05,sersic_n_final,1.0,2.72265,1.0,4.757490420528214,0.4203897061715879,0.7470944666878718,25,2.1598767616839516,0.9259787574364643,0.9944081266413385,6,best_contiguous,2.1480106665312872,0.9310940728379613,0.9993512722529394,33,fraction_window,2.6438737356576736,0.7564657771005439,0.9895550525441212,42,fraction_window,1.4673856723080982,-0.27646001463835557,-0.279688081643402,-0.0787128181661072
J1106+5228,3.824,9.182199347424593,0.8759697610777837,2.449,4.0,11.369999885559082,2.3442281975923813,1.7892131127149071,0.999996658127392,0.0017882201169326,9.189335520197131,0.8767466339066325,J1106+5228,4.15,4.15,measured,0.0091153906227672,-0.8767466339066325,1.688172500963182,-0.844086250481591,0.8884730657111634,39,4.15,sersic_n_final,1.0,0.8571499999999999,1.0,4.773212771721785,0.41900499635145394,0.7471621538890438,25,2.1671673556627167,0.9228636610707911,0.9946014678022803,6,best_contiguous,2.1373000293188147,0.9357600582813008,0.999318020678701,33,fraction_window,2.674361187042721,0.7478421425236049,0.9898518956897441,41,fraction_window,1.480565484328488,-0.2748795895793674,-0.2829755727909884,-0.06315227288754022
J1112+0826,25.802,13.897829394679489,-0.6187193390164496,5.502,4.0,11.729999542236328,5.3703123031766005,1.7892131127149071,0.9999966581273916,0.0017882201169332,13.907813518439596,-0.6180012024698223,J1112+0826,3.65,3.65,measured,0.0088811327771837,0.6180012024698223,1.6883456413316305,-0.8441728206658152,0.8884565462257694,39,3.65,sersic_n_final,1.0,1.9256999999999997,1.0,4.766411315200116,0.4196028978074106,0.7471949376841236,25,2.1642886842641955,0.9240911411408826,0.9945327371334325,6,best_contiguous,2.1417115090346335,0.933832587425134,0.9993289130936364,33,fraction_window,2.6512211910474286,0.7543693475118355,0.9900597275033872,41,fraction_window,1.4748460388033795,-0.27552606539742275,-0.2816563122527027,-0.07514260912677795
J1134+6027,7.788,10.788187223816744,0.325867672438624,5.369,4.0,11.510000228881836,3.2359382746997105,1.789213112714908,0.9999966581273916,0.0017882201169331,10.78491164165174,0.3255639995902677,J1134+6027,4.35,4.35,measured,0.0091467975678514,-0.3255639995902677,1.6881178534608838,-0.8440589267304419,0.888478260391615,39,4.35,sersic_n_final,1.0,1.8791499999999999,1.0,4.775747471141617,0.4187826119545451,0.7471339934145234,25,2.1681691068151983,0.9224372737870893,0.9946232025885423,6,best_contiguous,2.1357158320723286,0.9364541714612655,0.9993149465369349,33,fraction_window,2.682571022942898,0.7455534197957273,0.9897851791210186,41,fraction_window,1.4827018751010659,-0.2746480626070307,-0.2834391621359895,-0.058846938391117654
J1142+1001,12.591,11.29660086551371,-0.1084804009147881,4.435,4.0,11.550000190734863,3.548135450617081,1.7892131127149071,0.9999966581273916,0.001788220116933,11.304747056987676,-0.1077595419771131,J1142+1001,3.1500000000000004,3.1500000000000004,measured,0.0083253380787379,0.1077595419771131,1.688596310598841,-0.8442981552994205,0.8884325113667036,39,3.1500000000000004,sersic_n_final,1.0,1.5522499999999997,1.0,4.7590182903569955,0.4202547412041929,0.7471279902231238,25,2.160704509629515,0.925624022667926,0.9944333637638767,6,best_contiguous,2.1468750625945265,0.9315865812810615,0.9993465804968902,33,fraction_window,2.6501711215856334,0.7546682490462626,0.9894843710465538,42,fraction_window,1.4686588958660662,-0.27629018069176725,-0.2800512732508853,-0.07549885734876005
J1143-0144,6.349,11.965974046820085,0.6337698058668626,5.165,4.0,11.600000381469728,3.981075202376568,1.7892131127149071,0.9999966581273916,0.0017882201169332,11.974485195423206,0.6344808322407154,J1143-0144,5.0,5.0,measured,0.0091176481993885,-0.6344808322407154,1.6879794101657704,-0.8439897050828852,0.8884913648411843,39,5.0,sersic_n_final,1.0,1.80775,1.0,4.783266881357091,0.4181242756483133,0.7470128493961655,25,2.170972617773115,0.9212460735923557,0.9946783902548482,6,best_contiguous,2.1311643343967552,0.9384541434558671,0.9993083412924725,33,fraction_window,2.683438476711556,0.7453124106839661,0.9895907886839618,42,fraction_window,1.4890520495419208,-0.27398297830692897,-0.28474439406498675,-0.05848951991289386
J1153+4612,9.652,8.768947574729774,-0.0959483514610446,3.521,4.0,11.329999923706056,2.137961713919416,1.7892131127149065,0.9999966581273916,0.0017882201169331,8.77525772851837,-0.0952290080708335,J1153+4612,3.55,3.55,measured,0.0088128866711781,0.0952290080708335,1.6883882949627884,-0.8441941474813942,0.8884524649318266,39,3.55,sersic_n_final,1.0,1.2323499999999998,1.0,4.764974689794976,0.4197294068074167,0.7471919433222561,25,2.1636365573223206,0.9243696651507708,0.9945158251000461,6,best_contiguous,2.1426795194024053,0.933410704629221,0.9993317965713912,33,fraction_window,2.6460834876503982,0.7558340503367522,0.9901098338833384,41,fraction_window,1.4736409073002932,-0.27566851981844565,-0.2813607725086493,-0.07777514882671444
