xi,h0,j0,ground_state_energy,mean_single_site_entropy,max_single_site_entropy,mean_mutual_information,max_mutual_information,corr_rho_sigma,rmse_normalized,kl_rho_ent_to_sigma,kl_sigma_to_rho_ent,R_ent_fit,R_sigma_fit,R_d_target,R_d_relative_error,verdict
1.2,0.8,1.0,-9.61014764114028,0.006136571441498967,0.017484513358151273,0.0011740326093868981,0.014435440245739641,0.9803214084602967,0.1839237889325126,0.20654500580282997,0.3633506055259371,1.119172614854191,2.999999999747567,3.0,0.6269424617152697,weak_or_failed_closure
1.2,1.0,1.0,-12.008010407948309,0.004063370364386869,0.01158486722880285,0.0007729097969766776,0.009616377855193689,0.9801092577634498,0.18473210228580497,0.2084379546041647,0.3671928106664505,1.1106575408416837,2.999999999747567,3.0,0.6297808197194388,weak_or_failed_closure
1.6,0.1,1.0,-1.6224219161921822,0.47309642076955655,0.9374531464635889,0.21632918687425698,0.8821239961459282,0.9523912569665849,0.08150368564257376,0.040070899773303525,0.040199915331158,3.9545577591524954,2.999999999747567,3.0,0.3181859197174985,moderate_closure
1.6,0.2,1.0,-2.5892709920075982,0.24292408949738872,0.6111882258286135,0.07010254819545005,0.5017184039003607,0.9999614739761955,0.06953068446338358,0.052987675393288566,0.0926661315725284,2.2711318499208555,2.999999999747567,3.0,0.24295605002638151,moderate_closure
1.6,0.3,1.0,-3.7067449421828993,0.11877597761322438,0.3175997594715294,0.02825217674377468,0.24902204389247484,0.9946133613189774,0.11790219384851802,0.09563608042128949,0.16212253842550717,1.7492772295212933,2.999999999747567,3.0,0.4169075901595689,weak_or_failed_closure
1.6,0.5,1.0,-6.054721431835663,0.043039338978769354,0.11811204364495159,0.009120071295605468,0.09191539562589754,0.9888959204088145,0.14640690938063478,0.13275670355697278,0.21803736737109988,1.4769676651897619,2.999999999747567,3.0,0.507677444936746,weak_or_failed_closure
1.6,0.8,1.0,-9.63138553326566,0.017207198764105088,0.047602122799719544,0.0034743672660955275,0.03735235059425539,0.9864783116137974,0.15680460533433122,0.14912025086567682,0.2424301832066276,1.3780530767134687,2.999999999747567,3.0,0.5406489744288437,weak_or_failed_closure
1.6,1.0,1.0,-12.02442826575048,0.011244396725939508,0.031171293678167296,0.002238784276950146,0.024576087061270575,0.9858016952406821,0.1595969883095568,0.15382991760176837,0.2495969253803853,1.3512492018578255,2.999999999747567,3.0,0.5495835993807249,weak_or_failed_closure
2.0,0.1,1.0,-2.022565867808057,0.6187764657504384,0.9760767066901656,0.3768443884450099,0.9517820750765822,0.8535813796906562,0.14796864954631814,0.0833729825913431,0.07804469737964205,6.11569389390286,2.999999999747567,3.0,1.0385646313009531,weak_or_failed_closure
2.0,0.2,1.0,-2.841493365887089,0.4057442578002211,0.8472988773568928,0.16573588732563035,0.7473596915757849,0.971580987206331,0.06285242067917715,0.029497872757177645,0.03132489077765371,3.6388482116976486,2.999999999747567,3.0,0.2129494038992162,moderate_closure
2.0,0.3,1.0,-3.8513944842427215,0.23873593607628907,0.5747877556087961,0.07210556822253461,0.46040156207372895,0.998884024575344,0.04563331964100278,0.033357530715938305,0.051863693279553306,2.603604963238684,2.999999999747567,3.0,0.13213167892043862,strong_closure
2.0,0.5,1.0,-6.119986177625704,0.08857253308731838,0.23127595255343003,0.021064012882023926,0.17597921449496667,0.9969330339869742,0.10023749440137601,0.07280483097595689,0.11498353257721428,1.9161254733778537,2.999999999747567,3.0,0.36129150887404876,weak_or_failed_closure
2.0,0.8,1.0,-9.665394461733895,0.03398676181197412,0.09091276443337873,0.007343834773366306,0.0689046682424058,0.9927867323684578,0.1250380319864086,0.09974620807913556,0.15488692174926402,1.6717013220648542,2.999999999747567,3.0,0.44276622597838194,weak_or_failed_closure
2.0,1.0,1.0,-12.05007634144608,0.021844248539822298,0.058755898915856704,0.004598620430550684,0.04463861866875761,0.9915162888153359,0.13145870242557495,0.1078505475577239,0.16672395406445223,1.6103234320411284,2.999999999747567,3.0,0.4632255226529572,weak_or_failed_closure
2.5,0.1,1.0,-2.5879878373183884,0.7463996805763279,0.9882042835165255,0.5558093256954049,0.9762163866424451,0.7906174670831977,0.19024005223271748,0.15995584648422861,0.1491700313563718,9.825413943891258,2.999999999747567,3.0,2.2751379812970858,weak_or_failed_closure
