mode,omega2,omega,k2_line,k_line
121,52.75542485077538,7.263292975694659,52.75323127882889,7.263141970168895
122,52.75542485077568,7.2632929756946805,52.75323127882891,7.263141970168896
123,52.85516214693345,7.270155579279817,52.85296005168643,7.270004130101057
124,52.93290719953479,7.275500477598417,52.930698020380305,7.275348652839965
125,52.93290719953488,7.275500477598423,52.930698020380284,7.2753486528399645
126,53.0061950975892,7.280535357897055,53.00397040906832,7.280382572988065
127,53.01612355319159,7.281217175252472,53.01386567899404,7.281062125747455
128,53.026490152881834,7.281929013172391,53.024338028413155,7.281781240082206
129,53.22316920348956,7.295421112142161,53.22096738345162,7.295270206335857
130,53.23450094062555,7.2961977043269295,53.23231015934951,7.296047571072266
131,53.262676933872754,7.298128317169598,53.26056104361591,7.297983354572406
132,53.26267693387323,7.298128317169631,53.26056104361594,7.297983354572408
133,53.42521352375694,7.309255333052536,53.42302892392966,7.3091058908685715
134,53.42521352375741,7.309255333052568,53.423028923929664,7.309105890868572
135,53.42994122341759,7.309578730913129,53.42774079205047,7.309428212387783
136,53.48721505825979,7.31349540631973,53.484993039239235,7.313343492496386
137,53.48721505825992,7.313495406319738,53.48499303923924,7.3133434924963865
138,53.64985115807731,7.324605870494146,53.647599494065226,7.3244521634088935
139,53.649851158077595,7.324605870494166,53.64759949406524,7.324452163408895
140,53.661904808451155,7.325428643325328,53.65974128746573,7.32528096986496
141,53.67378791387062,7.326239684440485,53.67160640650978,7.326090799772398
142,53.72509684865851,7.329740571715926,53.72286028534854,7.329588002428823
143,53.78847969502636,7.334062973211122,53.78616121923274,7.333904909339413
144,53.84057230788751,7.337613529471794,53.838279480573036,7.337457289863638
145,53.920546784442784,7.343061131738097,53.918240920689776,7.342904120352504
146,53.92054678444296,7.343061131738109,53.918240920689755,7.342904120352502
147,53.99045267196471,7.347819586242215,53.98821605747682,7.347667388870894
148,54.02283242983586,7.350022614239759,54.02062928679621,7.349872739496665
149,54.02283242983604,7.350022614239771,54.020629286796215,7.349872739496665
150,54.10079046090857,7.355323953498484,54.09854402317862,7.355171243633871
151,54.100790460908875,7.355323953498504,54.098544023178604,7.35517124363387
152,54.12489939498517,7.356962647382762,54.12261770604894,7.3568075757116915
153,54.13408987379181,7.357587231816678,54.13179576052385,7.357431328970992
154,54.13418001601093,7.357593357614358,54.13199753115584,7.357445040987791
155,54.17440865004517,7.360326667346034,54.17215550720571,7.360173605778991
156,54.26744197375126,7.366643874502911,54.265271323203976,7.3664965433511185
157,54.26744197375132,7.366643874502915,54.26527132320398,7.3664965433511185
158,54.38649257440344,7.374719830231074,54.38433399438508,7.37457347881117
159,54.39462613944349,7.375271258702522,54.392434603787756,7.375122683982129
160,54.46520142129488,7.380054296635959,54.46294799678626,7.379901625142862
161,54.558744952689494,7.386389168781286,54.556508778184345,7.386237795940795
162,54.59071718683048,7.388553118630906,54.58846994323296,7.388401041039459
163,54.59071718683063,7.388553118630916,54.58846994323295,7.388401041039458
164,54.622447748472,7.39070008513889,54.6202056610212,7.390548400560083
165,54.65559824316932,7.39294246177862,54.653358335235914,7.392790970616978
166,54.6555982431694,7.392942461778626,54.653358335235914,7.392790970616978
167,54.72533409919318,7.397657338589911,54.723153058610436,7.397509922846365
168,54.73245377952159,7.398138534761403,54.73021209266903,7.397987029771614
169,54.767863314794106,7.40053128598171,54.7657192568703,7.40038642618548
170,54.801354080114365,7.402793667266052,54.79913017801104,7.402643458793017
171,54.852688100728635,7.406260061645732,54.85049161344725,7.406111774301496
172,54.852688100728905,7.4062600616457495,54.85049161344723,7.406111774301495
173,54.9250841218353,7.411145938506089,54.92297660989562,7.411003751847359
174,54.925084121835475,7.411145938506101,54.92297660989562,7.411003751847359
175,55.001197340106565,7.416279211309845,54.99905413882597,7.416134716874146
176,55.09223006187472,7.422414031962561,55.089977944187495,7.422262319817826
177,55.139538479191486,7.4256002100295895,55.13731710589997,7.425450633187185
178,55.13953847919181,7.425600210029612,55.13731710589996,7.425450633187185
179,55.152214252147175,7.426453679391475,55.14998254376425,7.42630342389565
180,55.15505372568887,7.426644849842281,55.15288785760662,7.426499031010953
181,55.24811227273129,7.432907390296968,55.245871924935685,7.432756684093438
182,55.24811227273175,7.432907390296999,55.2458719249357,7.432756684093439
183,55.49501613798995,7.449497710449339,55.49282532486426,7.449350664646166
184,55.502410401095254,7.449993986648261,55.50020738685536,7.449846131757042
185,55.66145102759323,7.460660227325276,55.65921661845555,7.460510479749731
186,55.69646669251638,7.463006545120832,55.694232218040234,7.46285684024826
187,55.69646669251655,7.463006545120844,55.69423221804023,7.462856840248259
188,55.72541106888418,7.464945483316283,55.72319902491482,7.464797319747859
189,55.725411068884235,7.464945483316287,55.72319902491481,7.464797319747858
190,55.76967911953326,7.467909956576422,55.76743656203415,7.467759808807066
191,55.85729818003493,7.4737740252187805,55.85508161904046,7.47362573447724
192,55.89085948202479,7.476018959447922,55.88864983258537,7.475871175494222
193,55.97816649532689,7.48185581893469,55.97594104922234,7.481707094588931
194,55.97816649532713,7.481855818934707,55.97594104922235,7.4817070945889315
195,56.133752506067935,7.492246158934444,56.131559090093965,7.492099778439551
196,56.294455787661086,7.502963133833265,56.29229261365092,7.502818977801005
197,56.29445578766111,7.5029631338332665,56.29229261365093,7.502818977801006
198,56.35504127370095,7.506999485393678,56.352929508832524,7.506858831017973
199,56.45769111459686,7.513833316929307,56.45609489875649,7.5137270977030095
200,56.497206509070985,7.516462366637046,56.49554588953971,7.516351900326362
201,56.49720650907108,7.516462366637052,56.4955458895397,7.516351900326361
202,56.50745675681454,7.517144188906752,56.50564459582049,7.517023652737864
203,56.51687336862988,7.517770505185023,56.51463111416746,7.517621373424406
204,56.53176044854585,7.518760565980663,56.52957661396344,7.518615338874802
205,56.53176044854593,7.518760565980668,56.529576613963464,7.5186153388748025
206,56.57605136137434,7.521705349279134,56.574494548876395,7.521601860566431
207,56.61503109634444,7.524296053209525,56.612879548949635,7.5241530785165205
208,56.617326692812405,7.524448597260294,56.61504328528517,7.524296863181647
209,56.65062674256349,7.526661062022355,56.6484740704678,7.526518057539476
210,56.67735211154128,7.528436232813643,56.675132688426636,7.52828882870647
211,56.70034289888882,7.529963007803479,56.69888341343261,7.529866095318868
212,56.70034289888906,7.529963007803495,56.69888341343261,7.529866095318868
213,56.73892429698442,7.532524430560078,56.73687253205381,7.532388235616497
214,56.74830822264595,7.5331472986160275,56.74639367822731,7.533020222873911
215,56.837742049594496,7.539080981763925,56.836415580748294,7.538993008402932
216,56.87741438994426,7.541711635295019,56.87530929965721,7.541572070838892
