name,theta_E_obs_arcsec,theta_E_BuP_arcsec,log_residual_BuP,Re_arcsec,sersic_n,logMs,Mstar_rel,J_spectral_over_h0,density_pearson,density_rmse,theta_E_baryon_arcsec,log_residual_baryon,name_key,sersic_n_measured,sersic_n_final,n_source,delta_kOR,C_obs,sqrtM_proxy,sqrtM_shuffle,Phi_true_phi_mid_mean,Phi_true_phi_inner_minus_outer,Phi_true_force_mid_mean,Phi_true_force_inner_minus_outer,Phi_true_grad_rms,Phi_true_amp_used,Phi_shuffle_phi_mid_mean,Phi_shuffle_phi_inner_minus_outer,Phi_shuffle_force_mid_mean,Phi_shuffle_force_inner_minus_outer,Phi_shuffle_grad_rms,Phi_shuffle_amp_used
J0819+4534,8.795,9.504888129156264,0.0776228279978816,6.379,4.0,11.399999618530272,2.511884225153631,1.789213112714907,0.9999966581273916,0.0017882201169331,9.500781009690517,0.0771906285841512,J0819+4534,,4.0,default_4,0.009080097432055,-0.07719062858415984,1.5848924964027153,2.264644407052447,253235.3090794638,1648789.8748117606,82184.17505494367,-193258.39848948253,92732.21239412056,1.5848924964027153,177224.61863796916,1153891.840097745,57515.909345504275,-135250.27804767797,64897.865284330735,2.264644407052447
J0822+2652,16.934,13.27234315362485,-0.2436410272092062,6.926,4.0,11.6899995803833,4.897783461428336,1.7892131127149076,0.999996658127392,0.0017882201169334,13.26801455856834,-0.2439672168666202,J0822+2652,3.85,3.85,measured,0.009010033581788,0.24396721686663672,2.213093640456349,1.678803649471296,174593.85688127295,1136307.8229951295,52153.561755446266,-122677.64627215288,58861.93371775841,2.213093640456349,230159.4684427967,1497945.054608291,68751.76628683554,-161720.59166735352,77595.12051739675,1.678803649471296
J0841+3824,6.218,12.675044145686796,0.7121867207289594,8.844,4.0,11.649999618530272,4.466831997992276,1.7892131127149071,0.999996658127392,0.001788220116933,12.669370534721166,0.7117389999090513,J0841+3824,4.05,4.05,measured,0.0091004436738303,-0.7117389999091329,2.1134881116278548,2.2908683570453765,192262.10777615965,1251957.5607751424,45014.19951773693,-105842.05349546442,50787.61542813788,2.1134881116278548,177375.39512632502,1155019.4137050027,41528.78337019545,-97646.78164607244,46855.167961992454,2.2908683570453765
J0903+4116,40.562,15.774254236515423,-0.9444525354449178,9.986,4.0,11.84000015258789,6.918312139914402,1.7892131127149076,0.9999966581273918,0.0017882201169334,15.767724165688126,-0.9448665913317952,J0903+4116,,4.0,default_4,0.0090800974320563,0.9448665913318339,2.6302684539632835,1.698243727045763,152589.26890315447,993493.5318316615,31633.625804206233,-74387.36056350789,35693.68562120452,2.6302684539632835,236332.82673546387,1538739.4959219075,48994.691811466466,-115212.39542762947,55282.98074946988,1.698243727045763
J0912+0029,12.89,18.11130150197408,0.3400843188431066,11.286,4.0,11.960000038146973,9.120109194638909,1.7892131127149076,0.9999966581273916,0.001788220116933,18.10393876936026,0.3396777092135639,J0912+0029,4.966666666666666,4.966666666666666,measured,0.0091229702730837,-0.33967770921358653,3.0199518530332417,2.5409739330975256,164675.6368465237,1074284.9328162286,30302.0290023765,-71150.27304714483,34149.421389187686,3.0199518530332417,195717.27432714638,1276789.4691744708,36014.013013588585,-84562.22055275172,40586.64541527572,2.5409739330975256
J0935-0003,20.926,18.11126926009622,-0.144458049373878,10.561,4.0,11.960000038146973,9.120109194638909,1.789213112714907,0.999996658127392,0.0017882201169329,18.10440432934307,-0.1448371631748912,J0935-0003,3.35,3.35,measured,0.0085885603812804,0.14483716317489878,3.0199518530332417,2.187762392612296,111650.49439141164,725472.8396555308,21815.387010705897,-51377.67395003936,24646.229209165438,3.0199518530332417,154120.53788791958,1001430.9824017384,30113.607650817015,-70920.91076537601,34021.256473713176,2.187762392612296
J0936+0913,10.933,13.120446372218384,0.1823860667575783,6.687,4.0,11.68000030517578,4.786304286528679,1.7892131127149071,0.9999966581273916,0.0017882201169331,13.116307414594004,0.18207055839154,J0936+0913,4.300000000000001,4.300000000000001,measured,0.0091387687815895,-0.18207055839155523,2.187762392612296,1.5848924964027153,197147.9703979498,1284522.1082294732,61104.40038079147,-143611.54452404237,68916.4444609978,2.187762392612296,272140.17138539295,1773135.5081191435,84347.61946632559,-198239.272972028,95131.25070084972,1.5848924964027153
J0946+1006,17.706,11.829080313405298,-0.4033426321136346,8.406,4.0,11.59000015258789,3.890452816839944,1.7892131127149065,0.9999966581273918,0.001788220116933,11.823682944946782,-0.4037990158767699,J0946+1006,3.65,3.65,measured,0.0088811327771859,0.40379901587679823,1.9724230826168974,1.949844428490238,185834.08817227898,1208747.7277010889,45694.32753926063,-107531.79895050477,51590.77070993914,1.9724230826168974,187985.9937227026,1222744.6808407381,46223.45483101557,-108776.98655329457,52188.17714235454,1.949844428490238
J0955+0101,3.7,6.136895563285108,0.505986186060156,2.972,4.0,11.020000457763672,1.047129651766654,1.7892131127149071,0.9999966581273918,0.0017882201169327,6.141180765435188,0.5066842110942646,J0955+0101,3.95,3.95,measured,0.0090629906528052,-0.5066842110943721,1.0232935315766702,2.3173934286556954,387338.00380550337,2521591.751674014,269753.692110374,-634395.5795924589,304400.1620971066,1.0232935315766702,171037.19594407146,1113461.571730956,119115.38406440633,-280130.635163596,134414.25743621337,2.3173934286556954
J0956+5100,19.217,15.238727800587103,-0.231955234827994,8.334,4.0,11.8100004196167,6.456548528681109,1.7892131127149071,0.9999966581273918,0.0017882201169332,15.23341520531518,-0.2323039202043206,J0956+5100,4.666666666666667,4.666666666666667,measured,0.0091643463168532,0.23230392020433446,2.5409739330975256,1.8620870548831205,184094.07003920004,1200348.4830637884,45836.33796556288,-107667.53098389687,51672.71008801391,2.5409739330975256,251211.7958345536,1637976.1607582374,62547.52676893844,-146921.37449959587,70511.74593563305,1.8620870548831205
J0959+4416,13.567,13.738734193593542,0.0125787833989887,7.441,4.0,11.720000267028809,5.248077829311783,1.7892131127149071,0.9999966581273918,0.001788220116933,13.734021912067178,0.012235732155462,J0959+4416,3.45,3.45,measured,0.0087105748452182,-0.012235732155462956,2.2908683570453765,2.3173934286556954,151423.9749692754,984271.3343110206,42017.06526640801,-98927.68237155666,47458.58444530501,2.2908683570453765,149690.76441156695,973005.2881603842,41536.13465720788,-97795.34839055284,46915.369779125605,2.3173934286556954
J0959+0410,5.054,7.127653798835318,0.3438021108359625,2.91,4.0,11.149999618530272,1.412536303897626,1.7892131127149071,0.999996658127392,0.001788220116933,7.1327790263265305,0.3445209147845838,J0959+0410,2.75,2.75,measured,0.0074795686488241,-0.3445209147846414,1.1885017054668563,1.5667516893900197,237300.37369591394,1537495.2430500197,167506.35154301795,-395335.7177845316,189575.18014205576,1.1885017054668563,180010.59208966565,1166308.441526958,127066.45609258136,-299892.5602723821,143807.36062762624,1.5667516893900197
J1016+3859,8.984,10.421898259797375,0.1484639769419398,4.191,4.0,11.479999542236328,3.0199485372543653,1.7892131127149071,0.9999966581273916,0.0017882201169331,10.429375942377712,0.1491812168408923,J1016+3859,4.25,4.25,measured,0.0091283829740362,-0.1491812168409076,1.7377999128939918,2.213093640456349,245322.59448164317,1598228.0888794274,121298.14091196697,-285106.7238264364,136815.25146794264,1.7377999128939918,192636.03530868626,1254985.596279269,95247.61873773515,-223875.95001114564,107432.20639182274,2.213093640456349
