N,A_size,state_kind,Jxy,Jz,eta_micro,energy_baseline,energy_perturbed,S_A_baseline,S_A_perturbed,fit_rel_err_baseline,fit_r2_baseline,fit_rel_err_perturbed,fit_r2_perturbed,xxz_regime_baseline,xxz_regime_perturbed,mean_abs_xx_baseline,mean_abs_yy_baseline,mean_abs_zz_baseline,mean_abs_cross_baseline,eta_eff_baseline,amplification_baseline,delta_near,delta_far,locality_score,compact_locality,xi_upper_bound
10,4,random,1.0,1.0,1.0,0.20187756078408198,-0.06702467856491366,2.6408856944370527,2.6428509763537837,0.15951835442159362,0.9745538946026269,0.16099021369504,0.9740821510944253,generic_anisotropic,generic_anisotropic,0.02387927558338521,0.034339285156101136,0.017357243247352636,0.023406671575708502,0.5962786790632632,0.5962786790632632,0.042998227880684116,0.03783659155274367,0.005161636327940443,False,nan
10,5,random,1.0,1.0,1.0,0.20187756078408198,-0.06702467856491366,2.954792504883467,2.9571422063699373,0.44390035716600673,0.8029524729078917,0.3724278405297957,0.861297503598313,generic_anisotropic,generic_anisotropic,0.05074222863705223,0.0755656616065188,0.04689578372541815,0.05837284145880368,0.7425630122549705,0.7425630122549705,0.06619341208932263,0.06256097634099089,0.003632435748331733,False,nan
10,6,random,1.0,1.0,1.0,0.20187756078408198,-0.06702467856491366,2.6440486990844843,2.6455521302527734,0.43736833735523906,0.8087089374791138,0.438563780798726,0.807661810171527,generic_anisotropic,generic_anisotropic,0.15148321804020048,0.1599625481685078,0.1273967727112336,0.139354826570801,0.8180992425234096,0.8180992425234096,0.21269591106329158,0.1967968700053232,0.015899041057968383,False,nan
10,3,ground,1.0,1.1,1.1,-18.672905457259557,-18.685994505509935,1.0509015214562794,1.0404924338984813,1.195121741461631e-15,1.0,0.004772582636082704,0.9999772224549818,xxz_like,xxz_like,0.46739102983605824,0.46739102983605924,0.5292814185408993,2.7900935201582517e-16,1.1324167233730376,1.0294697485209432,0.004296860681466094,0.005444913677834272,-0.0011480529963681782,False,nan
10,4,ground,1.0,1.1,1.1,-18.672905457259557,-18.685994505509935,1.1066518258426121,1.0989065960759619,0.002839527648399528,0.9999919370827339,0.0034292230142935315,0.9999882404295183,xxz_like,xxz_like,0.47514297422423235,0.4751429742242233,0.5338835009489411,7.893377309800246e-15,1.123627055247149,1.0214791411337718,0.0071129623880446325,0.0022332098255861263,0.004879752562458506,False,nan
10,5,ground,1.0,1.1,1.1,-18.672905457259557,-18.685994505509935,1.1237739801139364,1.1156240482948112,0.0036403593515877027,0.9999867477837913,0.004418163768622532,0.9999804798289136,xxz_like,xxz_like,0.4950120911549331,0.49501209116130307,0.5517245165668305,5.797547699438558e-13,1.1145677578824984,1.0132434162568167,0.007864718102883526,0.0012279626973697956,0.0066367554055137305,False,nan
10,6,ground,1.0,1.1,1.1,-18.672905457259557,-18.685994505509935,1.106651827163781,1.0997838438795342,0.1265136986174526,0.9839942840621324,0.12705377323830191,0.9838573387059102,heisenberg_like,heisenberg_like,0.7826285125247145,0.7826285125247172,0.8273935503889903,1.0005129888973223e-14,1.0571983222536385,0.961089383866944,0.00978711340035558,0.002473092105453501,0.007314021294902079,False,nan
10,3,thermal,1.0,1.1,1.1,-18.513109720113235,-18.527691014977,1.0723784464798867,1.063263750209717,3.805651952667657e-15,1.0,0.004352581704892047,0.9999810550325022,xxz_like,xxz_like,0.44330351373320176,0.443303513733202,0.5114595459352261,3.1130043181299615e-16,1.1537457522681478,1.0488597747892252,0.004451116817237476,0.004826032795455188,-0.00037491597821771167,False,nan
10,4,thermal,1.0,1.1,1.1,-18.513109720113235,-18.527691014977,1.148684391469905,1.1418903821449449,0.004140193599965182,0.9999828587969548,0.004501629338073194,0.9999797353333026,xxz_like,xxz_like,0.4207312772449096,0.4207312772449207,0.4772639561624136,6.561109680250057e-16,1.1343676640531524,1.0312433309574112,0.006937614430494906,0.0011351355725321885,0.005802478857962718,False,nan
10,5,thermal,1.0,1.1,1.1,-18.513109720113235,-18.527691014977,1.1940492928250472,1.1865111754308089,0.014159035523399968,0.9997995217130471,0.014177584541978783,0.9997989960965551,xxz_like,xxz_like,0.40828483718234976,0.4082848371824208,0.45989174852959536,1.9000353952229137e-14,1.1263992846350959,1.0239993496682689,0.0068668261654335466,0.0003493986220542675,0.006517427543379279,False,nan
10,6,thermal,1.0,1.1,1.1,-18.513109720113235,-18.527691014977,1.2146001738302887,1.2078805805008508,0.02804088395409463,0.9992137088270729,0.028034471217751794,0.999214068423541,xxz_like,xxz_like,0.3853213965841801,0.3853213965851029,0.43080381035074095,2.167501930567385e-12,1.1180376022957463,1.0163978202688602,0.005956875216319504,0.0003675463150224402,0.005589328901297064,False,nan
10,3,random,1.0,1.1,1.1,-0.04422661168482544,0.20280137032294732,2.0536886884864978,2.0491539967881764,0.07745071437795385,0.9940013868423446,0.0841389992795351,0.9929206288002383,generic_anisotropic,generic_anisotropic,0.025759269685235602,0.03372618207950504,0.024405885974144278,0.022064947080586726,0.8205665503110663,0.7459695911918783,0.03767813407223364,0.03403086682593797,0.003647267246295667,False,nan
10,4,random,1.0,1.1,1.1,-0.04422661168482544,0.20280137032294732,2.66420123804315,2.653638160286403,0.14675721683626872,0.9784623193064724,0.15893542058900106,0.9747395320821973,generic_anisotropic,generic_anisotropic,0.03378607103316836,0.03168109897549656,0.02014394423275243,0.022833291954437514,0.6153907135465386,0.559446103224126,0.03167739592036936,0.0390075394047974,-0.007330143484428037,False,nan
10,5,random,1.0,1.1,1.1,-0.04422661168482544,0.20280137032294732,2.970247136760808,2.9841635477549877,0.35726454200555957,0.8723620470255578,0.3566028853454634,0.8728343821632902,generic_anisotropic,generic_anisotropic,0.059221576668686146,0.07339148645617806,0.04983183251876683,0.04254429557446863,0.751537312306055,0.68321573846005,0.06795059272301343,0.05749165704415059,0.010458935678862843,False,nan
10,6,random,1.0,1.1,1.1,-0.04422661168482544,0.20280137032294732,2.655622053112597,2.651986578034859,0.4392756876802274,0.8070368702130633,0.4387609910972887,0.807488792691325,generic_anisotropic,generic_anisotropic,0.13594414406582075,0.18264070837605448,0.12824814833463316,0.12211906162092961,0.8051114003170105,0.7319194548336458,0.2087675694515798,0.1522436212490599,0.05652394820251988,False,nan
10,3,ground,1.0,1.25,1.25,-19.623670839024832,-19.638568477376744,1.0493037105125014,1.0351004408650704,1.1904909411921727e-15,1.0,0.005859524651333565,0.9999656659708605,xxz_like,xxz_like,0.4378672195545796,0.4378672195545806,0.5897399233402661,1.9960993282569182e-16,1.3468464799447157,1.0774771839557726,0.004171654754218897,0.006738218514305086,-0.0025665637600861893,False,nan
10,4,ground,1.0,1.25,1.25,-19.623670839024832,-19.638568477376744,1.1047535548904492,1.0931014624806157,0.003017433806952881,0.9999908950932207,0.003611262792914245,0.9999869587810405,xxz_like,xxz_like,0.44765816263080055,0.447658162630884,0.5904613711163654,9.123681748373574e-15,1.3190005687515738,1.055200455001259,0.0071704587595652815,0.0022273783191467268,0.004943080440418555,False,nan
10,5,ground,1.0,1.25,1.25,-19.623670839024832,-19.638568477376744,1.1217840113214532,1.1097315688427922,0.0036454464067044302,0.9999867107204958,0.004119128060214285,0.9999830327840236,xxz_like,xxz_like,0.46881188294728987,0.46881188294695936,0.6057178628508266,5.402047515909448e-13,1.2920275378752357,1.0336220303001886,0.00789251620177898,0.0011706776614260278,0.0067218385403529516,False,nan
10,6,ground,1.0,1.25,1.25,-19.623670839024832,-19.638568477376744,1.1047535562117117,1.0941657529851512,0.12682845955648195,0.9839145418465298,0.12735987773772103,0.9837794615426327,xxz_like,xxz_like,0.7593232976445213,0.7593232976445169,0.8664093055720933,1.8938832819892792e-14,1.1410282132258598,0.9128225705806878,0.010115192614225752,0.0024309203565320027,0.007684272257693749,False,nan
10,3,thermal,1.0,1.25,1.25,-19.477425918976337,-19.49447599846664,1.0675689362622307,1.0558374923465543,8.342889436458985e-16,1.0,0.005311913631942752,0.9999717835735668,xxz_like,xxz_like,0.4131951088422004,0.4131951088422001,0.5815778034212093,2.0929321390373522e-16,1.4075137652302527,1.1260110121842022,0.0042070380134409825,0.005656758466423951,-0.0014497204529829687,False,nan
10,4,thermal,1.0,1.25,1.25,-19.477425918976337,-19.49447599846664,1.140660247588822,1.1310139609075656,0.005472390172416209,0.9999700529458009,0.005816427253260675,0.9999661691740075,xxz_like,xxz_like,0.39997726089897784,0.39997726089897645,0.54736598092192,1.2266422445684889e-15,1.3684927480419171,1.0947941984335336,0.006846519958974594,0.0011559643021542497,0.0056905556568203446,False,nan
10,5,thermal,1.0,1.25,1.25,-19.477425918976337,-19.49447599846664,1.1822880659881623,1.171861688536744,0.015234712962866609,0.999767903520939,0.015265305189932321,0.9997669704574582,xxz_like,xxz_like,0.38857568599055725,0.38857568599060255,0.5168170954626451,2.883736363127702e-14,1.3300294230843206,1.0640235384674566,0.006822921052630459,0.00036959289203761307,0.006453328160592846,False,nan
10,6,thermal,1.0,1.25,1.25,-19.477425918976337,-19.49447599846664,1.1983960890532008,1.1887081301943847,0.0289226599508651,0.9991634797413667,0.028934034490218176,0.9991628216481189,xxz_like,xxz_like,0.36885766883189147,0.36885766882909293,0.4816489580082661,3.7761204920757084e-12,1.3057853982957501,1.0446283186366,0.005837722071670613,0.00042845778420892976,0.005409264287461683,False,nan
10,3,random,1.0,1.25,1.25,-0.04655487798266676,0.21959180079291934,2.0520992278984185,2.0526623417196577,0.08823103981115824,0.9922152836138418,0.07018425711937874,0.9950741700526009,generic_anisotropic,generic_anisotropic,0.021179673065903928,0.02182943380903239,0.029032400585640866,0.01859883120879592,1.3500582874256142,1.0800466299404914,0.02862992471514525,0.04575108576138602,-0.01712116104624077,False,nan
10,4,random,1.0,1.25,1.25,-0.04655487798266676,0.21959180079291934,2.6521802289729157,2.65135387137937,0.15673573927237,0.9754339080347436,0.15722936694206924,0.9752789261709961,generic_anisotropic,generic_anisotropic,0.02825303483225182,0.02053821279753251,0.025966686939000155,0.02741975084654035,1.0643993831036591,0.8515195064829273,0.03473973031343957,0.055981853343920335,-0.021242123030480765,False,nan
10,5,random,1.0,1.25,1.25,-0.04655487798266676,0.21959180079291934,2.9774448279738106,2.952153857226474,0.3726687654543778,0.86111799125471,0.3944879670964674,0.8443792438160964,generic_anisotropic,generic_anisotropic,0.04368561967452544,0.037248525276120596,0.049906323534608686,0.05209943937010683,1.2332575716971315,0.9866060573577051,0.06532401336005823,0.06854630511556463,-0.0032222917555063957,False,nan
10,6,random,1.0,1.25,1.25,-0.04655487798266676,0.21959180079291934,2.652849325022305,2.6425579413555096,0.4381204628799345,0.8080504600058719,0.43843992339037047,0.807770433577446,generic_anisotropic,generic_anisotropic,0.11628141939719473,0.11985710506865543,0.1582813640974184,0.13302975689755472,1.3405806143275762,1.072464491462061,0.17548946629861575,0.1877605902674393,-0.012271123968823544,False,nan
10,3,ground,1.0,1.5,1.5,-21.29919816556989,-21.318393363983798,1.0425452602558791,1.01774705834538,8.029877169212301e-16,1.0,0.008281845228572657,0.9999314110396099,xxz_like,xxz_like,0.39253922284900566,0.39253922284900605,0.6865267130696449,2.8246732481469536e-16,1.748937871958146,1.1659585813054307,0.004192934448537686,0.009534169583385037,-0.005341235134847351,False,nan
10,4,ground,1.0,1.5,1.5,-21.29919816556989,-21.318393363983798,1.096589148509815,1.0739652451470674,0.0038849718537092895,0.9999849069936959,0.00488891647461251,0.9999760984957042,xxz_like,xxz_like,0.40667911940801876,0.40667911940800683,0.6792009312144907,1.7150632765824032e-15,1.6701150828770785,1.1134100552513857,0.007703750721708056,0.002382795396562184,0.005320955325145872,False,nan
10,5,ground,1.0,1.5,1.5,-21.29919816556989,-21.318393363983798,1.1131849286923248,1.0900674998644946,0.0037364451165432843,0.9999860389778911,0.003969772851932273,0.999984240903504,xxz_like,xxz_like,0.43011938403277516,0.4301193840330714,0.6889884809259142,1.1386912246447168e-12,1.601854058437822,1.0679027056252146,0.008289973559720895,0.0011308875712627614,0.007159085988458134,False,nan
10,6,ground,1.0,1.5,1.5,-21.29919816556989,-21.318393363983798,1.096589149831466,1.0752962864632942,0.12746447821106854,0.98375280679438,0.12800271536089655,0.9836153048602373,xxz_like,xxz_like,0.7201787992500892,0.7201787992501146,0.921210482006016,1.9649846204804295e-14,1.2791413506829716,0.8527609004553144,0.011139489622957063,0.002487545743434324,0.00865194387952274,False,nan
