galaxy,f_lambda_opt,class_P14_lambda,bridge_best_error,bridge_best_verdict,beta_grav,beta_mod_bridge,beta_mod_ML,mi_ds_graph,mi_dw_graph,mi_norm_lambda2,delta3_proxy,Rd_fit,lambda_corr,mean_MI,max_MI,sigma_source,d_min,regime_LOW_HIGH
ESO116-G012,0.5,short_0p5Rd,0.0582929365245487,strong_bridge,0.4930048822679516,1.3819264267944844,1.4674695352654206,1.986012299466668,1.9863820572999296,0.279088738247692,0.0105872090790777,1.4414755365749838,0.7207377682874919,0.0466675240732962,4.53244447265756,SBdisk+SBbul,,
ESO444-G084,0.5,short_0p5Rd,0.1382267810830451,strong_bridge,0.423042758322492,1.261171800864621,1.463461352917901,1.7947220678970104,2.2526627130317864,0.2275291684292073,0.0044957060734323,0.4616459500778223,0.2308229750389111,0.0190517965359168,3.5458716963508974,SBdisk+SBbul,,
ESO563-G021,1.0,standard_1Rd,0.0692329191269053,strong_bridge,0.5318160849878484,1.4489145626890263,1.5566886630002963,1.932260410351032,2.545387679328194,0.2863797111387806,0.0067917888094148,2.7552391828439164,2.7552391828439164,0.0571869034872122,6.706353667006639,SBdisk+SBbul,,
F561-1,0.5,short_0p5Rd,0.0703859295313319,strong_bridge,0.4620087296565471,1.3284270673872005,1.4290092088617692,1.879152640203832,2.263957359129897,0.1536876213823981,0.0154759080726461,1.928800574618546,0.964400287309273,0.0234795285033071,1.150467535209282,SBdisk+SBbul,,
F563-1,1.0,standard_1Rd,0.0488522289673015,strong_bridge,0.482527397064064,1.3638422873325746,1.433891061797682,1.9648114055760333,1.9543836773819323,0.258668745843533,0.0106589668467807,1.5260186071093271,1.5260186071093271,0.0359440301584238,4.482031864220903,SBdisk+SBbul,,
F563-V1,2.0,extended_1p5_2Rd,0.2285129626403231,moderate_bridge,0.8738964233617526,2.039345226722385,2.6433953235323338,2.433281154356425,3.250721331845122,0.8190199798650957,0.0774476950601465,3.6514465706831896,7.302893141366379,0.4540763101771669,1.8648355509969416,SBdisk+SBbul,,
F563-V2,0.5,short_0p5Rd,0.2304293295177996,moderate_bridge,0.6561957880327371,1.6635939301445042,2.161716907820985,2.270957646165744,2.483709122110344,0.4277549437481674,0.0256884411718016,2.7685467104399866,1.3842733552199933,0.0820880297498668,3.085046559673363,SBdisk+SBbul,,
F565-V2,0.5,short_0p5Rd,0.0336834135194078,strong_bridge,0.5251766984554376,1.4374549815340854,1.487561117800347,2.002637691814312,2.335120687489332,0.2213041927362446,0.0165377770399005,1.7876047351902258,0.8938023675951129,0.028227611896612,1.6883882387949252,SBdisk+SBbul,,
F567-2,0.5,short_0p5Rd,0.0767029850347504,strong_bridge,0.5429728150317104,1.468171078744732,1.590139527094637,2.0301431944559685,2.3797984881129848,0.19103233808549,0.0211234376925615,2.287813248781353,1.1439066243906766,0.0311746654658548,1.3365340332047744,SBdisk+SBbul,,
F568-1,1.0,standard_1Rd,0.0710361440313594,strong_bridge,0.6155828385684323,1.593495979369114,1.4878078468680114,2.187155118614114,2.4339859001382576,0.3352151219048143,0.0226929046431737,1.6899741764519112,1.6899741764519112,0.0752098207540955,3.887312243979863,SBdisk+SBbul,,
F568-3,0.5,short_0p5Rd,0.0410342126483761,strong_bridge,0.519934689835559,1.428407274656175,1.4895289211526594,1.9990520819938924,2.3063469577524387,0.2480675778563715,0.0147034481177462,3.5264737681431364,1.7632368840715682,0.0525743624429039,3.309955276446275,SBdisk+SBbul,,
F568-V1,3.0,very_extended_3Rd,0.2336924861939182,moderate_bridge,0.8118970903998561,1.932334378030152,2.521617422792411,2.4290902526557576,1.6142670657536935,0.7833378316792332,0.0689173417240622,1.690231829361957,5.070695488085871,0.1860419636711485,6.195199142504538,SBdisk+SBbul,,
F571-8,2.0,extended_1p5_2Rd,0.0106469819354486,strong_bridge,0.5573321577397716,1.492955304258846,1.5090218324491294,2.110672083958969,2.16349919288838,0.3359330074126123,0.0168954090106579,0.6439528366869588,1.2879056733739176,0.0734869603121272,8.91594407937845,SBdisk+SBbul,,
F571-V1,0.5,short_0p5Rd,0.0511370071332746,strong_bridge,0.5031703376364236,1.3994720027604672,1.4748936498538658,1.9892592507681528,1.818311201940841,0.2249811149233274,0.0138205950374877,2.3896484207893915,1.1948242103946958,0.0223244947413018,1.775589112807168,SBdisk+SBbul,,
F574-1,0.5,short_0p5Rd,0.1837503507612235,strong_bridge,0.3687917353390455,1.1675345351951925,1.430364516890169,1.6986156567511832,2.177257676034537,0.1318829168421788,0.0085124408285627,1.8641842144337355,0.9320921072168676,0.0348672192103285,3.2782843198589138,SBdisk+SBbul,,
F574-2,0.5,short_0p5Rd,0.046482722658153,strong_bridge,0.5905236359644284,1.5502437956746036,1.6258161572030154,2.124457627836094,2.4389110881692213,0.21849609149739,0.0261458469896922,3.021066645325999,1.5105333226629996,0.0406118997857015,1.2599822947082842,SBdisk+SBbul,,
F579-V1,0.5,short_0p5Rd,0.0737966946280181,strong_bridge,0.4641546703073214,1.3321309609504368,1.4382705753953515,1.872678907672692,2.2996330653563595,0.2052970693928616,0.0100628635654855,2.440960278478003,1.2204801392390014,0.0446235350063692,3.6857508133007184,SBdisk+SBbul,,
F583-1,3.0,very_extended_3Rd,0.2365428962443859,moderate_bridge,0.8088787006389353,1.927124637302802,2.5242081419150475,2.429704911753522,1.6222120924824777,0.7951234385002324,0.0689894201833959,1.5006595409888257,4.501978622966476,0.1823874775962062,6.429679554462645,SBdisk+SBbul,,
F583-4,1.0,standard_1Rd,0.1915310130719069,strong_bridge,0.8279262141143349,1.960000645561342,2.424336217284818,2.419198279880998,1.5657950583421123,0.6770696546293439,0.0637893473056482,1.9997120224442189,1.9997120224442189,0.1840941849851851,3.033382296470348,SBdisk+SBbul,,
IC2574,1.0,standard_1Rd,0.168878578499504,strong_bridge,0.8341698629381109,1.97077718343118,2.3712265530025247,2.416819116082439,1.5501349677429792,0.6414346088250366,0.0640566303555803,3.016235481441424,3.016235481441424,0.1734982319641348,2.8177730855550243,SBdisk+SBbul,,
IC4202,2.0,extended_1p5_2Rd,0.0013180183106114,strong_bridge,0.5686277926730074,1.512451570153611,1.51046075522077,2.0972865218706063,2.359570915770955,0.3234412248234708,0.014590887391117,1.2228788680015756,2.445757736003152,0.0630192658493812,6.665104181256192,SBdisk+SBbul,,
KK98-251,0.5,short_0p5Rd,0.1090688597278308,strong_bridge,0.810438222288731,1.9298163716703496,2.16606680857604,2.385379880394249,1.55720185950198,0.5171665028894369,0.0509321524060625,1.41544135805818,0.70772067902909,0.1220299383399617,1.935617040935325,SBdisk+SBbul,,
NGC0024,0.5,short_0p5Rd,0.1056032598902375,strong_bridge,0.4480902830125886,1.304403828479728,1.458417467308354,1.8524995047931905,2.248184836748052,0.237699123822234,0.0056809365935679,1.208543838297003,0.6042719191485015,0.0406729629233904,5.6395314685753695,SBdisk+SBbul,2.4973536407983,HIGH_massive
NGC0055,1.0,standard_1Rd,0.1075708906335833,strong_bridge,0.6495967605902391,1.6522040087787526,1.4917365766390025,2.2123587183473203,1.7068227816287276,0.3387797907088285,0.0245194712213569,1.733398620856963,1.733398620856963,0.0539724531181701,3.0095544832827645,SBdisk+SBbul,,
NGC0100,0.5,short_0p5Rd,0.0019715793444442,strong_bridge,0.564002706455998,1.5044686713430526,1.501508328536998,2.083746796246652,2.3683274996694026,0.3195369532535391,0.0145582254502954,1.8205655611464595,0.9102827805732298,0.0604985822055607,3.9110334110522142,SBdisk+SBbul,,
NGC0247,0.5,short_0p5Rd,0.0500606238544846,strong_bridge,0.5966622028106268,1.5608389620511418,1.4864274753220723,2.1493136615053223,2.408695966503059,0.3166075909729572,0.0201109172000158,3.4217429868918825,1.7108714934459412,0.0511007071956778,2.588458603626524,SBdisk+SBbul,,
NGC0289,2.0,extended_1p5_2Rd,0.0770296422682353,strong_bridge,0.5142474803937143,1.4185911511595508,1.5369845188157434,1.7877442949438325,2.708296702268332,0.2383283024335271,0.0040994568894855,1.6166487805012546,3.233297561002509,0.0432589151422924,9.128792400458764,SBdisk+SBbul,,
NGC0300,0.5,short_0p5Rd,0.0488514185793131,strong_bridge,0.4825280703016614,1.3638434493406677,1.433891061797682,1.9649925231152072,1.9617313565320496,0.2701755290981191,0.0098895397797906,1.7531079007033643,0.8765539503516822,0.0264809188409992,3.0317245723596287,SBdisk+SBbul,,
NGC0801,2.0,extended_1p5_2Rd,0.0839878800940183,strong_bridge,0.4696025682682316,1.341534032830968,1.4645374266103175,1.904589250921804,2.2344719230173364,0.248131445097034,0.0085970355958624,1.8766472803598129,3.753294560719625,0.054072032797853,7.938638024983856,SBdisk+SBbul,,
NGC0891,3.0,very_extended_3Rd,0.2390280384644019,moderate_bridge,0.8052442764062695,1.920851621077221,2.5242081419150475,2.430652580251742,1.6323059334651189,0.8051795105093741,0.0692812466352938,1.600850733706925,4.802552201120776,0.1545634492237553,6.313579877901648,SBdisk+SBbul,,
NGC1003,1.0,standard_1Rd,0.1059868775489814,strong_bridge,0.491583955005602,1.379473906339669,1.5430130405219509,1.954564794169744,2.2309102207941023,0.2832377554317791,0.0148836182331031,1.7687131242549856,1.7687131242549856,0.0346975017963826,6.402250153545574,SBdisk+SBbul,,
NGC1090,1.5,extended_1p5_2Rd,0.099514679675443,strong_bridge,0.503570242976731,1.400162239377838,1.554897351211883,1.978806587573548,2.2416470024362423,0.2987639985169139,0.0086436665892474,1.274761999531,1.9121429992965,0.059543365601658,7.463756244559783,SBdisk+SBbul,,
NGC1705,1.0,standard_1Rd,0.2337031184381571,moderate_bridge,0.4811209129154026,1.3614146956919848,1.7766152106963962,1.8061724051255108,2.5401336688876937,0.2981296324474604,0.0022867449733635,0.2472056687014497,0.2472056687014497,0.0250697385275983,6.342820088078169,SBdisk+SBbul,,
NGC2366,0.5,short_0p5Rd,0.0206096034702696,strong_bridge,0.5384019677499152,1.4602817963363537,1.4910109405917842,2.0662625054291843,2.18859374937713,0.3487503017084917,0.0097289010192894,0.8299642621692492,0.4149821310846246,0.0491677964752921,4.848983155297533,SBdisk+SBbul,,
NGC2403,1.0,standard_1Rd,0.0842131031311052,strong_bridge,0.511472136431335,1.4138009074804845,1.5438099325446952,1.890631843347768,2.526017050840276,0.3277959934684765,0.0039323209105711,0.9439389931226244,0.9439389931226244,0.0579514791224917,8.826959103094936,SBdisk+SBbul,2.4733085493949534,HIGH_massive
NGC2683,1.5,extended_1p5_2Rd,0.2091532182836483,moderate_bridge,0.6808275069985958,1.7061082770795766,2.15731835359671,2.34141255537571,2.451352005945163,0.5521139998786091,0.0190785006748822,1.832712276555032,2.749068414832548,0.0298289893911963,5.36070924278731,SBdisk+SBbul,,
NGC2841,1.0,standard_1Rd,0.2434667842298832,moderate_bridge,0.6379391607684894,1.632082991486413,2.15731835359671,2.2650688721167005,2.339547967406672,0.5630197097832487,0.0155004114414921,4.474235296773433,4.474235296773433,0.0359186506393629,5.9103995864887935,SBdisk+SBbul,2.4733427835956734,HIGH_massive
NGC2903,1.5,extended_1p5_2Rd,0.0503265221449583,strong_bridge,0.5241683671077042,1.4357146016278974,1.511798144421851,1.873795973786448,2.615493684362574,0.2755642038756398,0.005436328588519,0.830253921440087,1.2453808821601309,0.0544998144540668,8.599332290740243,SBdisk+SBbul,,
NGC2915,2.0,extended_1p5_2Rd,0.1332466164770046,strong_bridge,0.4194660664376943,1.2549984306714603,1.4479302354383767,1.8050668645188048,2.1918926641997074,0.2000769470126183,0.0122619986595427,0.2703234742908706,0.5406469485817412,0.0370962193519968,7.968701389489514,SBdisk+SBbul,,
