galaxy,rotmod,n_points_rotmod,sigma_source,Rd_fit,lambda_corr,n_rings,n_theta,ml_mode,beta_grav,beta_mod_bridge,beta_mod_ML,bridge_consistency,verdict,N_graph,n_edges_input,mi_rho_graph,mi_mean_degree_weighted,mi_std_degree_weighted,mi_mean_degree_binary,mi_std_degree_binary,mi_lambda2,mi_norm_lambda2,mi_clustering_binary,mi_effective_diameter_90,mi_mean_shortest_path,mi_laplacian_trace,mi_ds_graph,mi_ds_fit_r2,mi_dw_graph,mi_dw_fit_r2,mi_ds_over_dw,mi_alpha_eff_graph,delta3_proxy,mean_MI,max_MI,lambda_corr_factor,result_dir
NGC2915,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC2915_rotmod.dat,30,SBdisk+SBbul,0.2703234742908706,0.2703234742908706,12,12,trained_gradient_boosting,0.2564914597508987,0.9737042595300512,1.752141357125618,0.4442775660935202,failed_bridge,144,3564.0,0.3461538461538461,2.3427702505928405,7.546757834135692,49.5,29.55080371157441,5.8611805268536175e-08,0.0834638742408095,0.775817169238243,9998700.233978102,4289323.442775295,337.358916085369,1.445609432320914,0.9499079320463027,2.1969950165311083,0.9991340826410492,0.6579939514853447,-0.4870170804982026,0.0017548260165929,0.0163830087454044,5.754552413689286,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC2955,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC2955_rotmod.dat,24,SBdisk+SBbul,1.6983849850275647,1.6983849850275647,12,12,trained_gradient_boosting,0.3201245490440554,1.0835349716500398,1.5555499179536545,0.3034392794829472,moderate_bridge,144,8766.0,0.8513986013986014,5.853088466039094,17.023341021774257,121.75,18.872930350107268,0.0003959963739305,0.1141525514126812,0.906191571368986,2744.853279764952,1133.1416107481157,842.8447391096296,1.5214240216544466,0.9451785043377408,2.3397449207808965,0.9975371013333022,0.6502520886536072,-0.3597509019118892,0.0036269216297892,0.0409306885736999,7.347211833177691,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC2976,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC2976_rotmod.dat,27,SBdisk+SBbul,1.5073265208686957,1.5073265208686957,12,12,trained_gradient_boosting,0.8163047974544586,1.939942080406396,2.6271474357473728,0.2615785265761,moderate_bridge,144,10296.0,1.0,56.00874104587103,29.330240479919617,143.0,0.0,13.764183258025898,0.7954559564859124,1.0,6.858498707720138,3.802054034862597,8065.258710605428,2.432013047725251,0.8775959076939683,3.0242891329167896,0.9593535290726076,0.8041602309960637,0.6326095949089172,0.0760870737605562,0.3916695178032938,1.906987385343232,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC2998,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC2998_rotmod.dat,13,SBdisk+SBbul,2.4809703096576694,2.4809703096576694,12,12,trained_gradient_boosting,0.4545673441133138,1.3155832359395796,1.4703017779982868,0.1052291062786754,strong_bridge,144,9480.0,0.9207459207459208,8.832848223334516,23.881284755452576,131.66666666666666,13.262310842718508,0.0003802979706317,0.1943352566669761,0.9430932614261832,4364.969116311513,1450.4576439905447,1271.93014416017,1.7661116572338915,0.9256592296565044,2.491326310695513,0.993680216564477,0.7089041887655574,-0.0908653117733724,0.006560440287829,0.0617681693939476,7.642583069476191,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC3109,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC3109_rotmod.dat,25,SBdisk+SBbul,1.692354344217481,1.692354344217481,12,12,trained_gradient_boosting,0.8260965455293601,1.956842637583676,2.424336217284818,0.1928336409645031,strong_bridge,144,10296.0,1.0,24.55064439839128,27.28550799592077,143.0,0.0,0.0072851869023096,0.6789303950294541,1.0,2760.3464850073187,473.0811702286352,3535.292793368344,2.419798352750922,0.8782321259988247,1.5703661480847566,0.9832735253164648,1.5409134714869817,0.6521930910587201,0.0636574655009229,0.1716828279607781,3.135360389781805,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC3198,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC3198_rotmod.dat,43,SBdisk+SBbul,1.1804470594404606,1.1804470594404606,12,12,trained_gradient_boosting,0.4818589582886277,1.3626885620061713,1.7329862572159405,0.2136760713871188,moderate_bridge,144,4140.0,0.4020979020979021,6.574038854900431,21.19947846572534,57.5,31.276988346066823,2.442859883495135e-07,0.2272278736342831,0.7802765921384825,4245361.856955263,999806.2681309336,946.661595105662,1.6292279692444454,0.927843298967668,2.799972026305509,0.984368570362512,0.5818729451358733,-0.0362820834227446,0.000974392625794,0.0459722996846184,8.5940227944321,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC3521,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC3521_rotmod.dat,41,SBdisk+SBbul,0.989594988188126,0.989594988188126,12,12,trained_gradient_boosting,0.4227171176428146,1.260609745051498,1.4479302354383767,0.1293712126469722,strong_bridge,144,9084.0,0.8822843822843823,5.699043092226567,15.406234802313666,126.16666666666669,17.544388149934314,3.910989902424683e-05,0.2028631273102054,0.923902945619686,39291.54878552781,7514.691211465981,820.6622052806256,1.795610269549589,0.9235202568491,2.2477103104600102,0.9956685182427304,0.7988619624128095,-0.1545657647143707,0.0070856014928646,0.0398534481973885,6.637003050442416,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC3726,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC3726_rotmod.dat,12,SBdisk+SBbul,3.353812833931353,3.353812833931353,12,12,trained_gradient_boosting,0.6446871024125169,1.6437299387640043,2.1515405792344127,0.2360218744519816,moderate_bridge,144,10266.0,0.997086247086247,5.435757839533043,9.968495449098029,142.58333333333334,1.3819269959814169,0.0002360947039389,0.456690582130666,0.9972385476920144,17410.579642347053,3174.50657548676,782.7491288927582,2.2960749367280986,0.8853044223980506,2.057894857376453,0.9999202657840212,1.1157396737242902,0.2893742048250338,0.0230407821823545,0.0380122925841471,3.8217890291304006,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC3741,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC3741_rotmod.dat,21,SBdisk+SBbul,0.1868714778365809,0.1868714778365809,12,12,trained_gradient_boosting,0.1426967133806198,0.7772945272949499,1.0043365984348829,0.2260617321859485,moderate_bridge,144,3042.0,0.2954545454545454,2.46191595211268,7.9927493784763985,42.25,27.18493761871329,2.2348752684148304e-08,0.0292885052227221,0.7418232362067076,22137768.098151013,11274635.750841314,354.5158971042259,1.2867170688486391,0.9647029423976664,1.996276060139182,0.9995180628209538,0.6445586833110287,-0.7146065732387603,0.0038055662445172,0.0172161954693194,6.032980570229862,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC3769,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC3769_rotmod.dat,12,SBdisk+SBbul,1.439257105286022,1.439257105286022,12,12,trained_gradient_boosting,0.4301071563296299,1.2733649518249412,1.488773505689154,0.1446885997373388,strong_bridge,144,6342.0,0.615967365967366,2.599433263206629,7.832655355416332,88.08333333333333,30.020710443884493,2.3260197497119365e-06,0.1304046397673004,0.8280104849207522,925035.1425752623,175761.13060188774,374.3183899017545,1.6109874336334846,0.9387651238001034,2.6395708746746074,0.9846781692761988,0.6103217189923262,-0.1397856873407401,0.0044089078331379,0.0181778549874589,5.564702423982715,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
