name,theta_E_obs_arcsec,theta_E_BuP_arcsec,log_residual_BuP,Re_arcsec,sersic_n,logMs,Mstar_rel,J_spectral_over_h0,density_pearson,density_rmse,theta_E_baryon_arcsec,log_residual_baryon,name_key,sersic_n_measured,sersic_n_final,n_source,delta_kOR,C_obs
J0959+4416,13.567,13.738734193593542,0.0125787833989887,7.441,4.0,11.720000267028809,5.248077829311783,1.7892131127149071,0.9999966581273918,0.001788220116933,13.734021912067178,0.012235732155462,J0959+4416,3.45,3.45,measured,0.008710574845218255,-0.012235732155462
J0959+0410,5.054,7.127653798835318,0.3438021108359625,2.91,4.0,11.149999618530272,1.412536303897626,1.7892131127149071,0.999996658127392,0.001788220116933,7.1327790263265305,0.3445209147845838,J0959+0410,2.75,2.75,measured,0.007479568648824153,-0.3445209147845838
J1016+3859,8.984,10.421898259797375,0.1484639769419398,4.191,4.0,11.479999542236328,3.0199485372543653,1.7892131127149071,0.9999966581273916,0.0017882201169331,10.429375942377712,0.1491812168408923,J1016+3859,4.25,4.25,measured,0.009128382974036287,-0.1491812168408923
J1020+1122,21.84,15.06426378096754,-0.371417848989565,6.782,4.0,11.800000190734863,6.309576215861531,1.7892131127149065,0.9999966581273916,0.0017882201169333,15.074920558051543,-0.3707106780583116,J1020+1122,4.05,4.05,measured,0.009100443673828673,0.3707106780583116
J1023+4230,14.32,11.559690776324896,-0.2141330480988883,5.632,4.0,11.56999969482422,3.71534968021985,1.7892131127149071,0.9999966581273916,0.0017882201169333,11.567795508573568,-0.2134321736086297,J1023+4230,3.75,3.75,measured,0.008957452370561336,0.2134321736086297
J1029+0420,3.666,8.374269081873141,0.8260626506786912,2.979,4.0,11.289999961853027,1.949844428490234,1.789213112714908,0.9999966581273918,0.0017882201169331,8.380405346163293,0.8267951345703795,J1029+0420,3.25,3.25,measured,0.008463373161258503,-0.8267951345703795
J1032+5322,5.765,7.210190714604466,0.2236902486274201,1.914,4.0,11.15999984741211,1.4454392628956645,1.7892131127149076,0.9999966581273916,0.0017882201169331,7.2157917724988225,0.2244667722618845,J1032+5322,,4.0,default_4,0.0090800974320569,-0.2244667722618845
J1100+5329,32.473,15.774301113996067,-0.7220268707707262,10.177,4.0,11.84000015258789,6.918312139914402,1.789213112714907,0.9999966581273918,0.0017882201169328,15.767677719890935,-0.7224468440537826,J1100+5329,4.55,4.55,measured,0.009163432984027498,0.7224468440537826
J1103+5322,7.588,11.167256205953082,0.3864178912594798,7.779,4.0,11.539999961853027,3.467368199963294,1.7892131127149071,0.9999966581273916,0.001788220116933,11.162251642000626,0.3859696445654346,J1103+5322,3.05,3.05,measured,0.008144407021751732,-0.3859696445654346
J1106+5228,3.824,9.182199347424593,0.8759697610777837,2.449,4.0,11.369999885559082,2.3442281975923813,1.7892131127149071,0.999996658127392,0.0017882201169326,9.189335520197131,0.8767466339066325,J1106+5228,4.15,4.15,measured,0.009115390622767283,-0.8767466339066325
J1112+0826,25.802,13.897829394679489,-0.6187193390164496,5.502,4.0,11.729999542236328,5.3703123031766005,1.7892131127149071,0.9999966581273916,0.0017882201169332,13.907813518439596,-0.6180012024698223,J1112+0826,3.65,3.65,measured,0.008881132777183776,0.6180012024698223
J1134+6027,7.788,10.788187223816744,0.325867672438624,5.369,4.0,11.510000228881836,3.2359382746997105,1.789213112714908,0.9999966581273916,0.0017882201169331,10.78491164165174,0.3255639995902677,J1134+6027,4.35,4.35,measured,0.009146797567851472,-0.3255639995902677
J1142+1001,12.591,11.29660086551371,-0.1084804009147881,4.435,4.0,11.550000190734863,3.548135450617081,1.7892131127149071,0.9999966581273916,0.001788220116933,11.304747056987676,-0.1077595419771131,J1142+1001,3.1500000000000004,3.1500000000000004,measured,0.00832533807873792,0.1077595419771131
J1143-0144,6.349,11.965974046820085,0.6337698058668626,5.165,4.0,11.600000381469728,3.981075202376568,1.7892131127149071,0.9999966581273916,0.0017882201169332,11.974485195423206,0.6344808322407154,J1143-0144,5.0,5.0,measured,0.00911764819938854,-0.6344808322407154
J1153+4612,9.652,8.768947574729774,-0.0959483514610446,3.521,4.0,11.329999923706056,2.137961713919416,1.7892131127149065,0.9999966581273916,0.0017882201169331,8.77525772851837,-0.0952290080708335,J1153+4612,3.55,3.55,measured,0.008812886671178133,0.0952290080708335
J1204+0358,10.357,10.068081927913177,-0.0282924049101658,3.068,4.0,11.449999809265137,2.818381693478142,1.7892131127149071,0.9999966581273918,0.0017882201169334,10.075694839400816,-0.0275365474621778,J1204+0358,2.95,2.95,measured,0.007941144758811358,0.0275365474621778
J1205+4910,14.904,13.738786075654424,-0.0814067000693894,6.248,4.0,11.720000267028809,5.248077829311783,1.7892131127149071,0.9999966581273916,0.0017882201169331,13.748472142645085,-0.0807019322591804,J1205+4910,4.45,4.45,measured,0.009157569998227366,0.0807019322591804
J1213+6708,6.917,10.542582467578384,0.421440379382503,3.315,4.0,11.489999771118164,3.09029380386682,1.7892131127149071,0.9999966581273916,0.0017882201169332,10.55049378316763,0.4221905133000192,J1213+6708,3.75,3.75,measured,0.008957452370558394,-0.4221905133000192
J1218+0830,8.303,11.828951699995631,0.3539331650895727,6.461,4.0,11.59000015258789,3.890452816839944,1.7892131127149071,0.9999966581273916,0.0017882201169331,11.824850494862288,0.353586395877532,J1218+0830,4.6,4.6,measured,0.009164650680127118,-0.353586395877532
J1250+0523,15.46,14.55282263159587,-0.06047107305774,4.882,4.0,11.770000457763672,5.888442760205689,1.789213112714907,0.9999966581273918,0.0017882201169334,14.563625387888994,-0.0597290349642487,J1250+0523,3.35,3.35,measured,0.008588560381287746,0.0597290349642487
J1251-0208,10.913,10.664635998279763,-0.0230215182842568,9.4,4.0,11.5,3.1622776601683795,1.7892131127149076,0.9999966581273918,0.0017882201169333,10.659084723830071,-0.0235421848834347,J1251-0208,3.1500000000000004,3.1500000000000004,measured,0.008325338078735589,0.0235421848834347
J1306+0600,11.376,9.838895165584168,-0.1451624482208795,3.674,4.0,11.43000030517578,2.691536695250786,1.7892131127149065,0.9999966581273918,0.0017882201169335,9.846076949810955,-0.1444327764181121,J1306+0600,,4.0,default_4,0.009080097432056788,0.1444327764181121
J1313+4615,13.185,11.693566219397464,-0.1200410250276577,4.933,4.0,11.579999923706056,3.801893295314423,1.789213112714908,0.9999966581273916,0.0017882201169332,11.70193006240468,-0.1193260290076727,J1313+4615,,4.0,default_4,0.009080097432058787,0.1193260290076727
J1318-0313,22.8,12.970294614029036,-0.5640988228530577,9.522,4.0,11.670000076293944,4.677352234557798,1.7892131127149071,0.9999966581273916,0.0017882201169331,12.96426069313054,-0.5645641418790373,J1318-0313,,4.0,default_4,0.009080097432052792,0.5645641418790373
J1330-0148,2.016,4.101537893997885,0.7102466492669784,1.466,4.0,10.670000076293944,0.4677352234557798,1.7892131127149071,0.9999966581273918,0.0017882201169332,4.104551610964752,0.7109811567569432,J1330-0148,2.85,2.85,measured,0.007741682483321244,-0.7109811567569432
J1402+6321,15.239,14.891793159318208,-0.0230476647760489,7.704,4.0,11.789999961853027,6.165949477018448,1.789213112714907,0.9999966581273916,0.0017882201169331,14.887005285501743,-0.0233692273714365,J1402+6321,3.95,3.95,measured,0.009062990652799252,0.0233692273714365
J1403+0006,8.268,9.9528290133296,0.185464191886548,3.598,4.0,11.4399995803833,2.7542260421949853,1.7892131127149076,0.9999966581273918,0.0017882201169334,9.960127050236572,0.1861971857434552,J1403+0006,3.45,3.45,measured,0.008710574845223418,-0.1861971857434552
J1416+5136,27.02,12.529880184396902,-0.7684611259684826,4.355,4.0,11.640000343322754,4.365161773191001,1.7892131127149071,0.9999966581273916,0.0017882201169331,12.539130251952496,-0.7677231576311305,J1416+5136,4.25,4.25,measured,0.009128382974027294,0.7677231576311305
J1420+6019,1.528,7.293691701944933,1.563050133397781,2.729,4.0,11.170000076293944,1.4791086480080775,1.7892131127149071,0.9999966581273918,0.0017882201169334,7.299000302797708,1.5637777032094689,J1420+6019,3.1500000000000004,3.1500000000000004,measured,0.008325338078730926,-1.5637777032094689
J1430+4105,28.064,17.496440217354646,-0.4724901721033174,10.959,4.0,11.93000030517578,8.511386362914989,1.7892131127149076,0.999996658127392,0.0017882201169328,17.48928686873557,-0.4728991016477089,J1430+4105,5.2,5.2,measured,0.009071064564467879,0.4728991016477089
J1432+6317,6.143,13.58146401874111,0.7933927011144337,6.718,4.0,11.710000038146973,5.12861429039393,1.7892131127149071,0.9999966581273916,0.0017882201169327,13.577360541141855,0.7930905173714347,J1432+6317,3.65,3.65,measured,0.008881132777184386,-0.7930905173714347
J1436-0000,20.629,13.272295175448455,-0.4410190597052441,7.005,4.0,11.6899995803833,4.897783461428336,1.7892131127149071,0.9999966581273916,0.0017882201169333,13.267883189828042,-0.4413515356668096,J1436-0000,2.95,2.95,measured,0.00794114475880986,0.4413515356668096
