file_N,G_proxy,T_proxy,n,pearson_r,pearson_p,spearman_r,spearman_p,score_mean_r,abs_pearson,abs_spearman
9,G_kappa_minus_halfR,T_grad2_plus_abslap,220,-0.783603647845581,5.897235265456586e-47,-0.1809944328288424,0.007111998936981317,-0.4822990403372117,0.783603647845581,0.1809944328288424
9,kappa,T_abs_grad_plus_abslap,220,-0.8439698856068438,6.791698378685792e-61,-0.13450112266558387,0.046297285060242,-0.48923550413621386,0.8439698856068438,0.13450112266558387
9,kappa,T_lap_only,220,-0.5197721642062947,1.267169889563268e-16,-0.470812991568658,1.5482856035405664e-13,-0.4952925778874764,0.5197721642062947,0.470812991568658
9,minus_kappa,T_minus_lap_only,220,-0.5197721642062947,1.267169889563268e-16,-0.470812991568658,1.5482856035405664e-13,-0.4952925778874764,0.5197721642062947,0.470812991568658
9,G_kappa_minus_halfR,T_grad2_plus_lap,220,-0.783603647845581,5.897235265456586e-47,-0.21762660006307777,0.0011599087452426279,-0.5006151239543294,0.783603647845581,0.21762660006307777
9,G_kappa_plus_halfR,T_grad2_minus_lap,220,-0.7665715672210046,8.172416580851908e-44,-0.24022659423858292,0.0003236021538454962,-0.5033990807297938,0.7665715672210046,0.24022659423858292
9,G_kappa_plus_halfR,T_grad2_plus_abslap,220,-0.7665715672210046,8.172416580851908e-44,-0.24859576899484237,0.00019538415287453538,-0.5075836681079235,0.7665715672210046,0.24859576899484237
9,G_kappa_plus_halfR,T_grad2_only,220,-0.7665715672210046,8.172416580851908e-44,-0.2545726843314131,0.00013481151790021973,-0.5105721257762088,0.7665715672210046,0.2545726843314131
9,G_kappa_plus_halfR,T_grad2_plus_lap,220,-0.7665715672210046,8.172416580851908e-44,-0.26109880885798137,8.897107732731835e-05,-0.513835188039493,0.7665715672210046,0.26109880885798137
9,G_kappa_minus_halfR,T_abs_grad_plus_abslap,220,-0.8548106176246335,4.9564679687465425e-64,-0.18101041958226372,0.007106846196251429,-0.5179105186034486,0.8548106176246335,0.18101041958226372
9,G_kappa_minus_halfR,T_lap_only,220,-0.5180534187327807,1.6587579346042485e-16,-0.5222105221234349,8.625503173909262e-17,-0.5201319704281078,0.5180534187327807,0.5222105221234349
