defect_strength,mode,metric,n,mean,std,median,q25,q75,min,max,positive_frac,negative_frac,nonzero_frac,t_stat,t_pvalue,sign_pvalue
0.6,frozen_baseline,delta_near_minus_far,20,0.09272773509540226,0.07985752427929509,0.08865851630350344,0.04505314029207356,0.1341461488495833,-0.09357610190880089,0.23020816358148521,0.95,0.05,1.0,5.192886229423757,5.176811741284089e-05,4.00543212890625e-05
0.6,frozen_baseline,common_edge_delta_mean,20,0.07575910021117535,0.029627853622270592,0.06878612596276379,0.051952866276860715,0.09382945444901974,0.03321266591723709,0.12508753060749953,1.0,0.0,1.0,11.435354052044508,5.821675058874216e-10,1.9073486328125e-06
0.6,frozen_baseline,common_edge_delta_mean_near,20,0.09795350594514236,0.033960980080411186,0.0917539924973017,0.07650315116480538,0.11959381426544632,0.039438660078565495,0.17395863293707495,1.0,0.0,1.0,12.898962127073936,7.576848062290653e-11,1.9073486328125e-06
0.6,frozen_baseline,common_edge_delta_mean_far,20,0.005225770849740088,0.07173912753358315,0.0033576936206264943,-0.02568822567031243,0.03298538434763734,-0.1554372440317463,0.18635309167512779,0.5,0.5,1.0,0.32576863579461596,0.7481598911180987,1.0
0.6,frozen_baseline,edge_jaccard,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,inf,0.0,1.9073486328125e-06
0.6,frozen_baseline,edges_only_baseline,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
0.6,frozen_baseline,edges_only_perturbed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
0.6,frozen_baseline,n_common_edges,20,40.0,0.0,40.0,40.0,40.0,40.0,40.0,1.0,0.0,1.0,inf,0.0,1.9073486328125e-06
0.6,frozen_baseline,support_jaccard,20,0.5686696445966625,0.07237124266977862,0.5535444947209653,0.5094339622641509,0.6081632653061224,0.48148148148148145,0.7021276595744681,1.0,0.0,1.0,35.140587204253755,9.43278343282338e-19,1.9073486328125e-06
0.8,frozen_baseline,delta_edge_mean,20,0.09582239969227772,0.033946949593932484,0.09046770693862458,0.07976450177414286,0.11716827370328535,0.0364323076553012,0.18063284041336922,1.0,0.0,1.0,12.62354361980051,1.0961040830146277e-10,1.9073486328125e-06
0.8,frozen_baseline,delta_node_mean,20,0.09404465226685635,0.03757741621600642,0.08522816833945131,0.07333099261853707,0.11513050696080117,0.041858202901839836,0.18704712011697783,1.0,0.0,1.0,11.192373322327871,8.326029149997096e-10,1.9073486328125e-06
0.8,frozen_baseline,delta_near_edge_mean,20,0.12072970537099703,0.03359726957201965,0.11856042187756352,0.10219659941865775,0.13915233239018615,0.054196548557158636,0.19429116131097718,1.0,0.0,1.0,16.070343307772706,1.627601851440448e-12,1.9073486328125e-06
0.8,frozen_baseline,delta_far_edge_mean,20,0.021383506173310196,0.10969833056470397,0.015554852047878098,-0.028448319133469922,0.061262508114605055,-0.20516162692823292,0.31230687378495237,0.55,0.45,1.0,0.871753893694946,0.3942253371408724,0.8238029479980469
0.8,frozen_baseline,delta_near_minus_far,20,0.09934619919768684,0.11379868926541915,0.09837979079453796,0.0323137828674476,0.160289600452297,-0.17556537782877757,0.3071127685115394,0.85,0.15,1.0,3.904172467121159,0.0009536778435742245,0.0025768280029296875
0.8,frozen_baseline,common_edge_delta_mean,20,0.09582239969227774,0.03394694959393248,0.0904677069386246,0.07976450177414288,0.11716827370328538,0.036432307655301185,0.18063284041336916,1.0,0.0,1.0,12.623543619800513,1.0961040830146225e-10,1.9073486328125e-06
0.8,frozen_baseline,common_edge_delta_mean_near,20,0.12072970537099703,0.033597269572019674,0.11856042187756352,0.10219659941865775,0.13915233239018615,0.054196548557158615,0.19429116131097723,1.0,0.0,1.0,16.0703433077727,1.6276018514404596e-12,1.9073486328125e-06
0.8,frozen_baseline,common_edge_delta_mean_far,20,0.021383506173310196,0.10969833056470399,0.015554852047878074,-0.028448319133469926,0.06126250811460505,-0.20516162692823292,0.3123068737849524,0.55,0.45,1.0,0.8717538936949459,0.3942253371408724,0.8238029479980469
0.8,frozen_baseline,edge_jaccard,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,inf,0.0,1.9073486328125e-06
0.8,frozen_baseline,edges_only_baseline,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
0.8,frozen_baseline,edges_only_perturbed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
0.8,frozen_baseline,n_common_edges,20,40.0,0.0,40.0,40.0,40.0,40.0,40.0,1.0,0.0,1.0,inf,0.0,1.9073486328125e-06
0.8,frozen_baseline,support_jaccard,20,0.5128565861866051,0.07487617104563239,0.5094339622641509,0.45454545454545453,0.5686274509803921,0.40350877192982454,0.7021276595744681,1.0,0.0,1.0,30.63143249466739,1.227596469486134e-17,1.9073486328125e-06
1,frozen_baseline,delta_edge_mean,20,0.10871860867501956,0.049249815421613406,0.09727842074245993,0.08151068445859508,0.12689905881706362,0.045144581275056606,0.21059273544961196,1.0,0.0,1.0,9.87220753358828,6.4719963850635985e-09,1.9073486328125e-06
1,frozen_baseline,delta_node_mean,20,0.10688519127910842,0.05371226651295833,0.09111352504966343,0.07232165392200635,0.13437001477495586,0.03214606994534258,0.21388004578513453,1.0,0.0,1.0,8.899365787533604,3.3255198539035574e-08,1.9073486328125e-06
1,frozen_baseline,delta_near_edge_mean,20,0.1342414539024434,0.05658173456512799,0.1333458162297566,0.08774576009600288,0.14892887999143153,0.06386871536176392,0.27211786337434196,1.0,0.0,1.0,10.610244405948917,2.0101454680471788e-09,1.9073486328125e-06
1,frozen_baseline,delta_far_edge_mean,20,0.03960671928999122,0.12374209606032685,0.02300438482663144,-0.014858475859751582,0.05703952035320209,-0.15459380042667603,0.38242651395958394,0.65,0.35,1.0,1.4314177554418686,0.1685548567658116,0.26317596435546875
1,frozen_baseline,delta_near_minus_far,20,0.09463473461245218,0.13565459157050455,0.1083031712768591,0.030536498411757006,0.16690013354209382,-0.22911170467996272,0.3631380185940185,0.85,0.15,1.0,3.1198309939419064,0.005640070998246794,0.0025768280029296875
1,frozen_baseline,common_edge_delta_mean,20,0.10871860867501956,0.04924981542161341,0.09727842074245993,0.08151068445859508,0.12689905881706362,0.04514458127505659,0.210592735449612,1.0,0.0,1.0,9.872207533588279,6.47199638506362e-09,1.9073486328125e-06
1,frozen_baseline,common_edge_delta_mean_near,20,0.1342414539024434,0.05658173456512801,0.1333458162297566,0.08774576009600286,0.14892887999143156,0.0638687153617639,0.272117863374342,1.0,0.0,1.0,10.610244405948913,2.010145468047189e-09,1.9073486328125e-06
1,frozen_baseline,common_edge_delta_mean_far,20,0.0396067192899912,0.12374209606032684,0.023004384826631457,-0.01485847585975158,0.05703952035320204,-0.15459380042667603,0.38242651395958394,0.65,0.35,1.0,1.4314177554418681,0.1685548567658118,0.26317596435546875
1,frozen_baseline,edge_jaccard,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,inf,0.0,1.9073486328125e-06
1,frozen_baseline,edges_only_baseline,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
1,frozen_baseline,edges_only_perturbed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
1,frozen_baseline,n_common_edges,20,40.0,0.0,40.0,40.0,40.0,40.0,40.0,1.0,0.0,1.0,inf,0.0,1.9073486328125e-06
1,frozen_baseline,support_jaccard,20,0.4573576497176985,0.06597944792599283,0.45454545454545453,0.4223057644110275,0.4884696016771488,0.3559322033898305,0.6,1.0,0.0,1.0,31.00004098080432,9.821901984528611e-18,1.9073486328125e-06
