width,center,logM_low,logM_high,n,frac_Phi_better_logM,mean_delta_logM_minus_Phi,median_delta_logM_minus_Phi,p_mean_delta_one_sided,p_frac_one_sided,mean_abs_err_logM,mean_abs_err_Phi,names,tag
0.1,11.595000076293957,11.545000076293956,11.645000076293957,12,0.75,0.07125306455510262,0.0637881760988793,0.002999000333222259,0.016661112962345886,0.49769121690477097,0.4264381523496683,J0008-0004;J0029-0055;J0330-0020;J0946+1006;J1023+4230;J1142+1001;J1143-0144;J1218+0830;J1313+4615;J1416+5136;J1636+4707;J2321-0939,measured_plus_fallback
0.1,11.570000076293956,11.520000076293956,11.620000076293957,10,0.8,0.06902010274818357,0.06640591928035011,0.007997334221926024,0.01766077974008664,0.4410543946706925,0.37203429192250886,J0029-0055;J0330-0020;J0946+1006;J1023+4230;J1103+5322;J1142+1001;J1143-0144;J1218+0830;J1313+4615;J2321-0939,measured_plus_fallback
0.1,11.545000076293956,11.495000076293955,11.595000076293957,10,0.8,0.05447390816885178,0.061405329124114644,0.019326891036321226,0.013995334888370544,0.29540764076668263,0.24093373259783082,J0029-0055;J0330-0020;J0946+1006;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1218+0830;J1251-0208;J1313+4615,measured_plus_fallback
0.15,11.570000076293955,11.495000076293955,11.645000076293954,15,0.7333333333333333,0.05213814899822898,0.06293513964407733,0.00433188937020993,0.008997000999666778,0.44476465583278474,0.3926265068345557,J0008-0004;J0029-0055;J0330-0020;J0946+1006;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1143-0144;J1218+0830;J1251-0208;J1313+4615;J1416+5136;J1636+4707;J2321-0939,measured_plus_fallback
0.1,11.620000076293957,11.570000076293956,11.670000076293958,13,0.6153846153846154,0.050793355901248116,0.028462251947873107,0.008997000999666778,0.10963012329223593,0.5420227215237232,0.49122936562247504,J0008-0004;J0029-0055;J0330-0020;J0841+3824;J0946+1006;J1143-0144;J1218+0830;J1313+4615;J1318-0313;J1416+5136;J1636+4707;J2300+0022;J2321-0939,measured_plus_fallback
0.15,11.620000076293955,11.545000076293956,11.695000076293955,20,0.65,0.04738856335501934,0.039073783276035515,0.0006664445184938354,0.019993335554815063,0.41787328973191473,0.37048472637689533,J0008-0004;J0029-0055;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J1023+4230;J1142+1001;J1143-0144;J1218+0830;J1313+4615;J1318-0313;J1416+5136;J1436-0000;J1531-0105;J1636+4707;J2300+0022;J2321-0939,measured_plus_fallback
0.15,11.545000076293954,11.470000076293955,11.620000076293953,16,0.6875,0.044055177385575336,0.05216267342270413,0.01166277907364212,0.022325891369543487,0.38612340768176995,0.3420682302961946,J0029-0055;J0044+0113;J0330-0020;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1143-0144;J1213+6708;J1218+0830;J1251-0208;J1313+4615;J1614+4522;J2321-0939,measured_plus_fallback
0.15,11.595000076293955,11.520000076293956,11.670000076293954,16,0.625,0.0386118426418737,0.039073783276035515,0.01866044651782739,0.06597800733088971,0.486069558439407,0.44745771579753335,J0008-0004;J0029-0055;J0330-0020;J0841+3824;J0946+1006;J1023+4230;J1103+5322;J1142+1001;J1143-0144;J1218+0830;J1313+4615;J1318-0313;J1416+5136;J1636+4707;J2300+0022;J2321-0939,measured_plus_fallback
0.2,11.595000076293955,11.495000076293955,11.695000076293955,23,0.6521739130434783,0.038035075104895226,0.04968531460419792,0.003332222592469177,0.00866377874041986,0.39376700127273095,0.3557319261678358,J0008-0004;J0029-0055;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1143-0144;J1218+0830;J1251-0208;J1313+4615;J1318-0313;J1416+5136;J1436-0000;J1531-0105;J1636+4707;J2300+0022;J2321-0939,measured_plus_fallback
0.2,11.570000076293955,11.470000076293955,11.670000076293954,22,0.5909090909090909,0.02874869513442496,0.01826802245129109,0.013328890369876709,0.05931356214595135,0.4338428868741776,0.4050941917397527,J0008-0004;J0029-0055;J0044+0113;J0330-0020;J0841+3824;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1143-0144;J1213+6708;J1218+0830;J1251-0208;J1313+4615;J1318-0313;J1416+5136;J1614+4522;J1636+4707;J2300+0022;J2321-0939,measured_plus_fallback
