width,center,logM_low,logM_high,n,frac_Phi_better_logM,mean_delta_logM_minus_Phi,median_delta_logM_minus_Phi,p_mean_delta_one_sided,p_frac_one_sided,mean_abs_err_logM,mean_abs_err_Phi,names,tag
0.25,11.670000076293956,11.545000076293956,11.795000076293956,30,0.5333333333333333,0.022728391471269208,0.01776589372904311,0.009663445518160613,0.13495501499500168,0.3694910230402684,0.34676263156899917,J0008-0004;J0029-0055;J0037-0942;J0157-0056;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J0959+4416;J1023+4230;J1112+0826;J1142+1001;J1143-0144;J1205+4910;J1218+0830;J1250+0523;J1402+6321;J1416+5136;J1432+6317;J1436-0000;J1531-0105;J1621+3931;J1627-0053;J1636+4707;J2300+0022;J2303+1422;J2321-0939;J2341+0000,measured_n_only
0.3,11.645000076293956,11.495000076293955,11.795000076293956,33,0.5454545454545454,0.020840386980942295,0.03140912447862265,0.010996334555148283,0.07097634121959347,0.35611348702927226,0.33527310004833005,J0008-0004;J0029-0055;J0037-0942;J0157-0056;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J0959+4416;J1023+4230;J1103+5322;J1112+0826;J1134+6027;J1142+1001;J1143-0144;J1205+4910;J1218+0830;J1250+0523;J1251-0208;J1402+6321;J1416+5136;J1432+6317;J1436-0000;J1531-0105;J1621+3931;J1627-0053;J1636+4707;J2300+0022;J2303+1422;J2321-0939;J2341+0000,measured_n_only
0.2,11.670000076293956,11.570000076293956,11.770000076293956,26,0.5,0.01848161453660847,-0.001155342062574144,0.04231922692435855,0.2992335888037321,0.39755492055963004,0.37907330602302164,J0008-0004;J0029-0055;J0037-0942;J0157-0056;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J0959+4416;J1112+0826;J1143-0144;J1205+4910;J1218+0830;J1416+5136;J1432+6317;J1436-0000;J1531-0105;J1621+3931;J1627-0053;J1636+4707;J2300+0022;J2303+1422;J2321-0939;J2341+0000,measured_n_only
0.25,11.645000076293956,11.520000076293956,11.770000076293956,29,0.5172413793103449,0.01722306030010633,0.004122662979463565,0.026657780739753417,0.18160613128957015,0.38286440558968243,0.36564134528957615,J0008-0004;J0029-0055;J0037-0942;J0157-0056;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J0959+4416;J1023+4230;J1103+5322;J1112+0826;J1142+1001;J1143-0144;J1205+4910;J1218+0830;J1416+5136;J1432+6317;J1436-0000;J1531-0105;J1621+3931;J1627-0053;J1636+4707;J2300+0022;J2303+1422;J2321-0939;J2341+0000,measured_n_only
0.3,11.595000076293955,11.445000076293955,11.745000076293955,37,0.5135135135135135,0.016379336501932473,0.004122662979463565,0.009996667777407531,0.1372875708097301,0.37211638010339554,0.35573704360146313,J0008-0004;J0029-0055;J0037-0942;J0044+0113;J0157-0056;J0252+0039;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J0959+4416;J1016+3859;J1023+4230;J1103+5322;J1112+0826;J1134+6027;J1142+1001;J1143-0144;J1204+0358;J1205+4910;J1213+6708;J1218+0830;J1251-0208;J1416+5136;J1432+6317;J1436-0000;J1531-0105;J1621+3931;J1627-0053;J1636+4707;J2238-0754;J2300+0022;J2303+1422;J2321-0939;J2341+0000,measured_n_only
0.3,11.620000076293955,11.470000076293955,11.770000076293956,34,0.5,0.015943002997195733,-0.001155342062574144,0.015661446184605132,0.22059313562145952,0.3713939962791995,0.3554509932820038,J0008-0004;J0029-0055;J0037-0942;J0044+0113;J0157-0056;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J0959+4416;J1016+3859;J1023+4230;J1103+5322;J1112+0826;J1134+6027;J1142+1001;J1143-0144;J1205+4910;J1213+6708;J1218+0830;J1251-0208;J1416+5136;J1432+6317;J1436-0000;J1531-0105;J1621+3931;J1627-0053;J1636+4707;J2300+0022;J2303+1422;J2321-0939;J2341+0000,measured_n_only
0.1,11.520000076293956,11.470000076293955,11.570000076293956,8,0.5,0.007692515494104352,-0.001591536179727862,0.3032322559146951,0.5044985004998334,0.28637099236780006,0.27867847687369574,J0044+0113;J1016+3859;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1213+6708;J1251-0208,measured_n_only
0.25,11.695000076293956,11.570000076293956,11.820000076293956,30,0.4666666666666667,0.006841496969352116,-0.010419319056109773,0.08797067644118627,0.461512829056981,0.3604158696905094,0.3535743727211573,J0008-0004;J0029-0055;J0037-0942;J0157-0056;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J0956+5100;J0959+4416;J1020+1122;J1112+0826;J1143-0144;J1205+4910;J1218+0830;J1250+0523;J1402+6321;J1416+5136;J1432+6317;J1436-0000;J1531-0105;J1621+3931;J1627-0053;J1636+4707;J2300+0022;J2303+1422;J2321-0939;J2341+0000,measured_n_only
0.3,11.670000076293956,11.520000076293956,11.820000076293956,33,0.48484848484848486,0.0067936872676311105,-0.006433347104611853,0.05664778407197601,0.31322892369210265,0.3508823005535057,0.3440886132858747,J0008-0004;J0029-0055;J0037-0942;J0157-0056;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J0956+5100;J0959+4416;J1020+1122;J1023+4230;J1103+5322;J1112+0826;J1142+1001;J1143-0144;J1205+4910;J1218+0830;J1250+0523;J1402+6321;J1416+5136;J1432+6317;J1436-0000;J1531-0105;J1621+3931;J1627-0053;J1636+4707;J2300+0022;J2303+1422;J2321-0939;J2341+0000,measured_n_only
0.3,11.695000076293956,11.545000076293956,11.845000076293957,34,0.47058823529411764,0.004394212183137971,-0.010419319056109773,0.08230589803398868,0.4161946017994002,0.3623593535129475,0.35796514132980967,J0008-0004;J0029-0055;J0037-0942;J0157-0056;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J0956+5100;J0959+4416;J1020+1122;J1023+4230;J1100+5329;J1112+0826;J1142+1001;J1143-0144;J1205+4910;J1218+0830;J1250+0523;J1402+6321;J1416+5136;J1432+6317;J1436-0000;J1531-0105;J1621+3931;J1627-0053;J1636+4707;J2300+0022;J2303+1422;J2321-0939;J2341+0000;J2347-0005,measured_n_only
