lambda_bup,weight_width,x_center_cap,x_center_used,r_cut_factor,r_cut_kpc,alpha_bary_max_arcsec,alpha_bup_max_arcsec,delta_alpha_max_arcsec,enhancement_max_raw,enhancement_mean_robust,enhancement_median_robust,R_alpha_bup_max_kpc,R_delta_alpha_max_kpc,R_ratio_max_kpc,thetaE_bary_arcsec,thetaE_bup_arcsec,delta_thetaE_arcsec,score
3.0,0.5,3.0,3.0,2.0,6.341139187878698,0.20834474031126876,0.24066028337103973,0.036092809335525666,1.1939350371713904,1.074268453726745,1.0562657183654693,6.1,7.06,8.04,0.07570895818061268,0.07744243640622848,0.0017334782256158004,4.429227590853409
1.0,0.6,3.0,3.0,5.0,15.852847969696743,0.20834474031126876,0.23629927740466253,0.03465490116739703,1.2033215716779846,1.0850344192912573,1.0653722369446794,6.1,9.04,10.04,0.07570895818061268,0.07729906468057152,0.0015901064999588321,4.42903465560986
3.0,0.8,2.0,2.0,2.0,6.341139187878698,0.20834474031126876,0.24340121010828736,0.03617161513414893,1.1797495103996696,1.0761724550386977,1.0580576401745594,6.1,6.43,7.06,0.07570895818061268,0.07749562953582723,0.001786671355214542,4.425940537436164
3.0,0.6,4.0,4.0,2.0,6.341139187878698,0.20834474031126876,0.2370762313916647,0.035078102915208825,1.2020425819160205,1.079104906965635,1.056863646279939,6.1,9.04,10.04,0.07570895818061268,0.07731406577297562,0.001605107592362931,4.417206080712131
1.0,0.8,4.0,4.0,4.0,12.682278375757395,0.20834474031126876,0.23283475021659847,0.03256050485530154,1.2030027225581486,1.0907976929401566,1.08579658961275,6.1,10.04,12.05,0.07570895818061268,0.07714371765203142,0.0014347594714187312,4.397695218106459
2.0,0.6,2.0,2.0,3.0,9.511708781818047,0.20834474031126876,0.24185527838816023,0.03490734505055379,1.1748336309691507,1.0725519184351318,1.0517033458803997,6.1,6.74,7.06,0.07570895818061268,0.077526329603175,0.0018173714225623167,4.3931366030056695
2.0,0.4,2.0,2.0,4.0,12.682278375757395,0.20834474031126876,0.2429465068433642,0.035694985906961935,1.174930728775233,1.0641732229618925,1.0437535265788618,6.1,6.43,6.74,0.07570895818061268,0.07752104529433916,0.0018120871137264766,4.378232453935675
3.0,0.5,4.0,4.0,2.0,6.341139187878698,0.20834474031126876,0.2336678950295301,0.03374857524637337,1.1969736577795427,1.0718017506745332,1.050225887789826,6.1,9.04,10.04,0.07570895818061268,0.07712780431828048,0.0014188461376677952,4.36844014898963
3.0,0.4,3.0,3.0,2.0,6.341139187878698,0.20834474031126876,0.23753041975681555,0.03424190689759002,1.1849070635916057,1.0654928308269143,1.043654150137522,6.1,8.04,8.04,0.07570895818061268,0.07723527904576581,0.0015263208651531274,4.367098443081262
1.0,0.4,4.0,4.0,5.0,15.852847969696743,0.20834474031126876,0.22784263691549095,0.03534262881806052,1.222354536290549,1.0734185201585429,1.0586603778477321,6.1,11.04,12.05,0.07570895818061268,0.07689720200722572,0.0011882438266130335,4.358061512657317
1.0,0.5,3.0,3.0,5.0,15.852847969696743,0.20834474031126876,0.2342777055219974,0.03269075318252199,1.1893910232247096,1.0735231092105961,1.056050929632581,6.1,9.04,10.04,0.07570895818061268,0.07716032388033094,0.0014513656997182517,4.356714064437736
1.0,0.8,3.0,3.0,4.0,12.682278375757395,0.20834474031126876,0.23413133972040223,0.030668692046143836,1.1809131245121178,1.081915926610383,1.0772639261857873,6.1,9.04,11.04,0.07570895818061268,0.07717529848464971,0.0014663403040370282,4.354346346084546
3.0,0.6,2.0,2.0,2.0,6.341139187878698,0.20834474031126876,0.24087696744517098,0.03343647269551686,1.163798985909725,1.0655182492197137,1.0495273305439334,6.1,6.43,6.74,0.07570895818061268,0.07746124535521656,0.0017522871746038782,4.341227046491875
