N_input,N_actual,m_grid,k,epsilon,mode_index,graph_lambda_raw,scale_c,graph_lambda_scaled,target_lambda,abs_error,rel_error
144,144,12,12,0.017361111111111105,15,327.4794897341445,0.5764295684901278,188.76886095682016,197.39208802178717,8.623227064967011,0.04368577865195499
144,144,12,12,0.017361111111111105,16,327.4794897341447,0.5764295684901278,188.76886095682028,197.39208802178717,8.623227064966898,0.043685778651954416
144,144,12,12,0.017361111111111105,17,327.47948973414475,0.5764295684901278,188.7688609568203,197.39208802178717,8.62322706496687,0.04368577865195428
144,144,12,12,0.017361111111111105,18,327.47948973414486,0.5764295684901278,188.76886095682036,197.39208802178717,8.623227064966812,0.043685778651953985
144,144,12,12,0.017361111111111105,19,327.4794897341449,0.5764295684901278,188.7688609568204,197.39208802178717,8.623227064966784,0.04368577865195384
144,144,12,12,0.017361111111111105,20,327.47948973414503,0.5764295684901278,188.76886095682048,197.39208802178717,8.623227064966699,0.04368577865195341
256,256,16,16,0.009765625000000002,1,142.76331398370934,0.28025738362513625,40.01047285472821,39.47841760435743,0.5320552503707745,0.013477116932671812
256,256,16,16,0.009765625000000002,2,151.6580932003964,0.28025738362513625,42.50330040592016,39.47841760435743,3.0248828015627254,0.07662117645842152
256,256,16,16,0.009765625000000002,3,156.13232929562753,0.28025738362513625,43.75723810769078,39.47841760435743,4.27882050333335,0.10838378949770962
256,256,16,16,0.009765625000000002,4,166.93062776236968,0.28025738362513625,46.78354098358326,39.47841760435743,7.305123379225826,0.18504093685911877
256,256,16,16,0.009765625000000002,5,287.96001863917354,0.28025738362513625,80.70292141246024,78.95683520871486,1.746086203745378,0.02211444011312973
256,256,16,16,0.009765625000000002,6,288.40845377435693,0.28025738362513625,80.82859867017233,78.95683520871486,1.871763461457462,0.02370616117666867
256,256,16,16,0.009765625000000002,7,303.84131347436403,0.28025738362513625,85.15377155155012,78.95683520871486,6.196936342835258,0.07848511565153603
256,256,16,16,0.009765625000000002,8,310.3423079802946,0.28025738362513625,86.97572326274361,78.95683520871486,8.01888805402875,0.10156040364119945
256,256,16,16,0.009765625000000002,9,526.1630600099899,0.28025738362513625,147.4610825585953,157.91367041742973,10.45258785883442,0.06619178587391453
256,256,16,16,0.009765625000000002,10,543.2817785530868,0.28025738362513625,152.2587298284988,157.91367041742973,5.654940588930941,0.035810329618598855
256,256,16,16,0.009765625000000002,11,548.0975849927979,0.28025738362513625,153.6083951413373,157.91367041742973,4.305275276092431,0.027263474179986102
256,256,16,16,0.009765625000000002,12,582.4228546210497,0.28025738362513625,163.2283053995785,157.91367041742973,5.31463498214876,0.033655319188642945
256,256,16,16,0.009765625000000002,13,640.0362093157373,0.28025738362513625,179.3748734481786,197.39208802178717,18.017214573608584,0.09127627532679998
256,256,16,16,0.009765625000000002,14,647.5276457042606,0.28025738362513625,181.47440381002028,197.39208802178717,15.917684211766897,0.08063993025905872
256,256,16,16,0.009765625000000002,15,653.1902714405918,0.28025738362513625,183.0613964833328,197.39208802178717,14.330691538454374,0.07260013145447158
256,256,16,16,0.009765625000000002,16,661.8360826541874,0.28025738362513625,185.48444891337198,197.39208802178717,11.907639108415196,0.06032480444252097
256,256,16,16,0.009765625000000002,17,665.9294893140828,0.28025738362513625,186.63165635398798,197.39208802178717,10.760431667799196,0.05451298365419546
256,256,16,16,0.009765625000000002,18,673.1911339878568,0.28025738362513625,188.66678589107528,197.39208802178717,8.725302130711896,0.04420289697603705
256,256,16,16,0.009765625000000002,19,689.462162772199,0.28025738362513625,193.2268618470643,197.39208802178717,4.165226174722875,0.021101282308048423
256,256,16,16,0.009765625000000002,20,697.2485651686775,0.28025738362513625,195.40905861055387,197.39208802178717,1.9830294112333036,0.010046144357186326
576,576,24,24,0.0078125,1,160.48102697155477,0.25838815904251666,41.4663971204325,39.47841760435743,1.9879795160750646,0.05035610940636185
576,576,24,24,0.0078125,2,160.4810269715555,0.25838815904251666,41.46639712043269,39.47841760435743,1.9879795160752565,0.050356109406366714
576,576,24,24,0.0078125,3,160.48102697155718,0.25838815904251666,41.46639712043312,39.47841760435743,1.98797951607569,0.05035610940637769
576,576,24,24,0.0078125,4,160.48102697155946,0.25838815904251666,41.46639712043371,39.47841760435743,1.9879795160762797,0.05035610940639263
576,576,24,24,0.0078125,5,310.996797767221,0.25838815904251666,80.35789004319008,78.95683520871486,1.401054834475218,0.01774456677210609
576,576,24,24,0.0078125,6,310.9967977672215,0.25838815904251666,80.35789004319022,78.95683520871486,1.4010548344753602,0.01774456677210789
576,576,24,24,0.0078125,7,310.9967977672217,0.25838815904251666,80.35789004319028,78.95683520871486,1.401054834475417,0.01774456677210861
576,576,24,24,0.0078125,8,310.9967977672262,0.25838815904251666,80.35789004319143,78.95683520871486,1.401054834476568,0.017744566772123188
576,576,24,24,0.0078125,9,606.3314938657579,0.25838815904251666,156.66887846947216,157.91367041742973,1.244791947957566,0.007882737097219495
576,576,24,24,0.0078125,10,606.3314938657601,0.25838815904251666,156.66887846947273,157.91367041742973,1.2447919479569975,0.007882737097215894
576,576,24,24,0.0078125,11,606.3314938657646,0.25838815904251666,156.6688784694739,157.91367041742973,1.2447919479558323,0.007882737097208516
576,576,24,24,0.0078125,12,606.3314938657676,0.25838815904251666,156.66887846947466,157.91367041742973,1.2447919479550649,0.007882737097203656
576,576,24,24,0.0078125,13,729.1616609325266,0.25838815904251666,188.4067392127393,197.39208802178717,8.985348809047878,0.04552030883860005
576,576,24,24,0.0078125,14,729.1616609325271,0.25838815904251666,188.4067392127394,197.39208802178717,8.985348809047764,0.04552030883859948
576,576,24,24,0.0078125,15,729.1616609325279,0.25838815904251666,188.4067392127396,197.39208802178717,8.985348809047565,0.045520308838598464
576,576,24,24,0.0078125,16,729.1616609325296,0.25838815904251666,188.40673921274006,197.39208802178717,8.98534880904711,0.04552030883859616
576,576,24,24,0.0078125,17,729.1616609325299,0.25838815904251666,188.40673921274015,197.39208802178717,8.985348809047025,0.04552030883859573
576,576,24,24,0.0078125,18,729.1616609325308,0.25838815904251666,188.40673921274038,197.39208802178717,8.985348809046798,0.04552030883859458
576,576,24,24,0.0078125,19,729.1616609325316,0.25838815904251666,188.40673921274058,197.39208802178717,8.985348809046599,0.04552030883859357
576,576,24,24,0.0078125,20,729.1616609325323,0.25838815904251666,188.40673921274077,197.39208802178717,8.9853488090464,0.045520308838592566
1024,1024,32,32,0.004882812500000001,1,261.07247027200543,0.1568961677809424,40.96127009878166,39.47841760435743,1.482852494424229,0.03756109247551399
1024,1024,32,32,0.004882812500000001,2,262.02069952603495,0.1568961677809424,41.11004363491667,39.47841760435743,1.6316260305592394,0.04132957016947783
