center,alpha,R2_free,R2_newton,n_pairs
589,0.7808477206765232,0.8574168090235844,0.8558285950662317,89
605,0.01120787879019504,0.8979038012665717,0.863094468136093,112
282,0.6688827005745792,0.828842024423904,0.8254394510593348,128
180,0.5840703294632973,0.8745752968769973,0.8685551632908641,99
266,0.4286765025936268,0.8591587862080652,0.8467437280398117,96
289,0.14399757837990945,0.8735334212325171,0.8508546675016262,120
777,-0.4217961942769265,0.8653516399062477,0.7990185548526659,93
40,1.4370934979682166,0.8367917589980356,0.8337866614464178,100
53,0.5144726581986412,0.9314499467726012,0.9226194822566194,125
437,0.20913764412299674,0.8032418892126936,0.7802005832554905,103
624,0.6846803122610691,0.8317024296736071,0.8289845114185034,107
60,1.0248596287037315,0.9235823649802344,0.9235599054709362,117
697,0.9022806159241611,0.8403663676220037,0.8400548908984754,125
153,0.44448180559537076,0.9458975885695132,0.9365638767208786,101
236,0.4772914904057864,0.8531041748252179,0.8420043256429206,101
291,0.9158955887569161,0.9183727439760206,0.9180734082925884,129
255,0.4400306089661949,0.8810693982701474,0.868381482653495,91
44,0.4001131166744382,0.8906724173398528,0.8777533406513848,108
238,0.21556574765746123,0.8758470012313314,0.8532423124956813,110
704,0.6864127980347232,0.8599990439759669,0.8566914802876243,115
485,0.4338191362236368,0.8350054679705896,0.8259098800897389,93
331,0.4472193138772015,0.9308238027687763,0.9207263512762967,122
782,0.39746706398496784,0.9298555281537414,0.9164662230483849,100
377,0.8594306057423943,0.940802342899789,0.9404248260617823,107
509,0.8881474303861517,0.8774029684550994,0.8769634090043891,147
536,0.7266200892871163,0.8741861776976073,0.8721447881324427,93
62,-0.11396245006840772,0.9131906318833892,0.8749579722922933,97
402,0.8677513327373628,0.9074969716059318,0.9068201862112881,120
415,0.5231140466063222,0.8878615261039519,0.880690699476777,100
591,0.5619771561463403,0.8830166410566224,0.875806332053605,110
344,0.5333414506992794,0.9208581063662613,0.913861031140896,121
387,0.6722912210046783,0.8524410087167489,0.8494284329546413,94
436,0.30670407280701906,0.8817846174096784,0.8670093419094276,135
733,0.8788419361023265,0.8015949754600188,0.8011408255261057,104
562,0.6965564093483831,0.8923950674555885,0.890516521410561,105
421,0.22086685655312177,0.8934146504013912,0.8657307995498185,93
645,0.5620552299737722,0.900083818671132,0.8921344278841972,110
451,0.4120367989859266,0.8564440941232712,0.8476482598747195,105
70,0.649904685815515,0.9138378364451638,0.9095028999415553,113
761,1.141143348363018,0.9108986926241223,0.9101751728240629,125
243,0.6467059862025191,0.8132356639397532,0.8087105710773315,88
464,0.47738861286822765,0.9293338666358102,0.9217876255999625,109
532,0.28676346691907,0.889114433706414,0.8665489273168654,108
55,0.11658064863805394,0.9231519577163005,0.8935744105246248,96
567,0.6174924217613119,0.8528857622098702,0.8477506378957438,117
429,0.6828810957113045,0.8979871156592535,0.8934775714279366,112
754,0.36163431538631086,0.878301695415713,0.8644010303330714,112
576,0.24407460135220344,0.9147999322621172,0.8951297914844045,105
223,0.11002622725418508,0.8704883177097659,0.8420092456986941,97
707,0.7111522925378643,0.8934584063726112,0.8900400442516514,105
607,0.8851614815986049,0.8773837247730524,0.8769875063576453,129
268,1.9865413437104689,0.8505228873715015,0.8379150020339758,86
755,0.5716135028319358,0.8786533776900715,0.8744551579521535,109
540,1.2545793595105748,0.912344068315765,0.9098521417404329,133
625,0.5963686586981408,0.8677581171974897,0.862029792521756,102
333,0.6571769272724484,0.8612135143279449,0.8564653305027323,105
740,0.03620154386477908,0.8938131838363863,0.8630581179956963,105
736,0.8150565822698415,0.8662084783046748,0.8652336582110528,107
325,0.840605139986533,0.9085595978639295,0.9078461015034254,85
269,0.15338846968326894,0.8806599954172366,0.851112871094869,90
660,0.4023434183081821,0.8005098898045261,0.7873390054783657,94
83,0.878599572318871,0.9227246764007162,0.9222728298031467,130
277,0.6212028408623698,0.8622440466052633,0.8572238519036518,107
10,0.4988856072241558,0.8822251887163275,0.8725739475229712,109
