name,R_kpc,theta_arcsec,x_over_Rd,d_used,f_d,v_bary_kms,alpha_bary_arcsec,alpha_bup_arcsec,alpha_ratio_bup_over_bary
NGC3198,11.04,2.4784998809594825,3.4820241830058967,2.670363319708575,1.5087164660324626,122.84793568775946,0.1610652685936025,0.3277673261558316,2.0349969240286634
NGC3198,12.05,2.705246699779145,3.800578931632343,2.651470520386671,1.5925560779746188,122.00134134986331,0.15364565275170297,0.32906860602232124,2.1417371733524293
NGC3198,14.05,3.15425030140224,4.431380414060947,2.6191095237722175,1.7630334835631083,116.9369822598278,0.1380816027295435,0.32579118852976663,2.3594105376071317
NGC3198,16.07,3.6077439390415655,5.068489911313837,2.5921859129073277,1.938471486412614,108.66167780308548,0.12426993187537519,0.32012048818619515,2.57600920315326
NGC3198,18.13,4.070217648713353,5.7182154382153,2.5696135415763477,2.1179449643461914,102.82203387079151,0.11472076641306934,0.31821815297637523,2.773849608279141
NGC3198,20.05,4.501261106271524,6.323784861346761,2.5522453282664483,2.283711466374498,99.51044195092643,0.10813428477393824,0.3178840663220171,2.9397158078640313
NGC3198,22.12,4.965979833951427,6.976664395660367,2.5368160626176435,2.4590316848859963,95.7928373932207,0.10199690253761529,0.31664337159817996,3.1044410537997025
NGC3198,24.03,5.394778273501482,7.579079811379684,2.5251270967921213,2.61641139417365,92.31793437101986,0.09734970640724053,0.31554671675206525,3.2413730703207957
NGC3198,26.1,5.859497001181385,8.23195934569329,2.5147812316253964,2.781117535388918,89.58980061395982,0.09345484591814239,0.3151319132811612,3.372023250214194
NGC3198,28.16,6.321970710853173,8.881684872594752,2.506514229051819,2.9381161745739703,87.49500847388046,0.09020268384619043,0.3145278407941172,3.48690113622823
NGC3198,30.08,6.753014168411343,9.487254295726212,2.500357182644651,3.0776643442831446,85.0260063760706,0.08746380834631311,0.313316836366365,3.5822455286395307
NGC3198,32.14,7.215487878083131,10.136979822627676,2.4951689855335046,3.219688452116091,82.39929440123726,0.08514257133493815,0.31252331612584516,3.670588181985075
NGC3198,34.06,7.646531335641303,10.742549245759136,2.4914696543475268,3.344639995184085,80.6690574093673,0.08362027108857156,0.3127608436210286,3.740251491049923
NGC3198,36.12,8.109005045313088,11.392274772660596,2.488548554486836,3.4706030382692825,79.5012057249732,0.08241231711463912,0.3134737496944604,3.8037244998026787
NGC3198,38.19,8.573723772992992,12.045154306974204,2.486555260946694,3.5887022274733305,78.44473418405701,0.08141510917626661,0.3140778969311537,3.8577347633491943
NGC3198,40.1,9.002522212543049,12.647569722693522,2.485439844444771,3.6901917676193414,77.56638550305397,0.08068391723247292,0.31464094131574777,3.8996735918160645
NGC3198,42.17,9.46724094022295,13.300449257007129,2.484910209011528,3.7922072400605016,77.1824386820977,0.0800087599809137,0.31504218740161366,3.9375961766782512
NGC3198,44.08,9.896039379773004,13.902864672726444,2.484967143652135,3.879147294082143,75.41600736367866,0.07940607438484526,0.3149609389667868,3.9664590071574857
